"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"92";2;5;7;9;10;13;13;16;16;16;16;16;16;16;30;30;30;30;30;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;75;75;75;75;75;75;75;89;89;89;89;89;89
"93";2;5;6;6;6;6;14;14;14;14;22;22;22;22;22;22;22;36;36;36;36;36;36;36;36;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52
"94";2;5;7;8;8;8;8;8;18;18;18;24;24;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62
"95";2;5;7;8;8;8;8;8;18;18;18;24;24;28;28;28;28;28;28;28;28;28;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46
"96";2;5;7;9;10;12;12;12;12;20;20;20;27;27;27;27;27;27;27;27;42;42;42;42;42;42;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55
"97";2;5;6;6;6;6;14;14;14;14;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;79;79;79;79;79;79;79;79;79;79;79
"98";2;5;7;8;8;8;8;8;18;18;18;24;24;28;28;28;28;28;28;28;28;28;47;47;47;47;47;47;58;58;58;58;58;58;58;58;58;58;58;58;58;58;87;87;87;87;87;87;87
"99";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;39;39;39;45;45;45;45;45;45;56;56;56;56;56;56;56;56;56;56;56;56;56;56;84;84;84;84;84;84;84;84
"100";2;5;7;8;8;8;8;8;18;18;18;24;24;28;28;28;28;28;28;28;28;28;47;47;47;47;47;47;58;58;58;58;58;58;58;58;58;58;58;58;58;58;87;87;87;87;87;87;87
"101";2;5;7;9;10;13;13;17;17;17;17;17;17;17;17;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64
