98;0;0;1;0;2;2;1;0;1;0;1;5;2
quelconque;0;0;0;0;2;3;2;0;1;2;2;3;0
bye;0;0;0;0;0;0;0;0;2;3;0;1;2
700;4;1;0;0;4;0;2;0;0;0;1;2;0
65;0;0;0;0;0;2;3;0;0;0;2;6;2
36;4;0;3;0;2;0;3;0;0;2;1;0;0
28;9;1;0;0;0;0;1;0;1;1;0;1;1
250;4;0;0;3;1;0;2;0;0;0;1;0;3
2007;5;0;0;0;0;0;0;0;0;1;1;3;5
toutefois;1;0;0;0;1;0;3;1;3;2;0;3;0
telles;7;0;0;0;1;0;0;0;3;0;1;2;0
soudain;2;0;0;0;0;1;0;0;2;2;0;5;2
mien;0;0;0;0;2;0;0;0;2;0;0;1;8
hormis;3;0;2;1;1;0;1;1;0;2;0;3;0
diverses;2;0;0;0;1;0;0;1;2;1;2;4;1
ceux_ci;4;0;0;0;3;0;2;0;1;0;0;2;2
c_est_à_dire;1;0;0;0;7;0;0;0;1;1;1;2;1
auquel;1;0;0;0;1;1;1;0;1;5;0;4;0
4000;3;0;0;0;0;0;7;0;2;0;2;0;0
2500;2;0;0;0;0;1;4;1;0;0;5;0;1
2020;5;0;0;0;2;0;2;0;0;0;2;1;2
mm;1;0;0;0;0;0;0;0;3;2;2;2;2
ho;3;4;0;0;0;0;2;0;2;0;0;0;2
diable;5;0;0;0;1;0;0;0;0;1;1;1;2
7000;3;0;0;0;0;0;4;0;1;1;1;0;2
57;5;0;1;1;1;1;0;0;0;0;0;2;1
49;7;0;0;0;0;0;0;0;0;0;0;1;3
31;3;0;0;0;0;0;2;1;0;1;2;1;3
23;1;0;0;0;1;0;0;0;1;0;1;4;4
2005;6;0;0;0;1;0;1;0;1;0;0;2;2
nôtre;1;1;0;0;0;0;3;0;1;0;1;5;0
jusque;3;0;0;1;1;0;0;2;2;0;0;0;3
extra;0;1;0;0;1;0;4;0;0;2;1;3;0
72;3;0;0;1;0;0;0;0;0;1;0;1;3
6000;0;0;0;0;3;0;3;0;0;1;3;0;2
2008;2;1;0;0;0;0;1;1;0;1;0;3;2
1945;10;0;0;0;0;0;0;0;1;0;0;1;0
à_l_encontre;3;0;0;0;0;1;0;1;0;2;1;2;1
vous_même;3;0;0;0;1;0;1;0;1;2;0;2;1
vis_à_vis;1;0;2;0;1;0;0;3;1;1;0;2;0
to;1;0;1;0;0;0;1;0;0;2;1;1;4
tienne;2;0;0;0;0;0;0;0;1;3;1;2;2
parce;2;0;0;0;1;0;1;0;0;1;0;4;2
néanmoins;0;0;1;0;0;1;1;1;2;2;0;1;1
na;4;0;0;0;0;2;2;1;0;1;0;0;0
moi_même;0;0;0;0;0;1;1;0;1;6;0;1;1
debout;1;1;0;1;0;1;1;1;1;0;1;1;2
chouette;0;0;1;0;0;0;0;1;1;2;0;1;5
celles_ci;2;0;0;0;0;2;0;1;0;2;1;3;0
auparavant;3;0;0;0;2;0;1;0;2;2;0;0;1
alerte;2;0;0;1;1;1;1;0;0;2;1;2;0
51;0;0;1;0;0;1;0;0;0;0;6;1;1
41;1;0;0;0;0;4;0;0;2;0;0;3;0
34;1;0;1;0;0;1;0;0;0;0;1;5;2
2030;0;1;0;0;1;0;1;0;3;0;1;1;2
2014;4;0;1;1;0;0;1;0;1;0;0;0;0
2010;0;0;2;0;2;0;1;0;0;1;0;3;2
2002;7;0;0;0;0;0;0;0;0;0;0;2;0
10000;6;0;0;0;0;0;0;0;0;1;1;2;0
mme;2;1;0;0;0;0;0;0;1;1;1;2;1
hello;1;2;0;0;0;0;2;0;1;2;0;0;2
cinq;1;0;1;0;1;0;0;1;1;0;0;2;3
celui_là;0;0;0;0;0;1;0;0;1;3;0;1;3
auxquels;2;0;0;0;0;1;1;0;2;1;0;2;1
67;8;0;0;0;0;0;0;0;0;0;0;0;1
2045;0;0;0;2;1;0;1;0;1;0;0;1;4
2027;0;1;0;1;0;0;0;0;1;2;1;2;2
tandis_qu;2;0;1;0;4;0;0;0;1;0;0;1;0
quoique;1;0;0;0;0;0;0;1;0;1;0;4;1
mienne;0;0;0;0;0;0;0;0;4;1;0;1;3
elles_mêmes;1;0;0;0;2;2;0;0;1;1;1;1;0
ceux_là;3;0;0;0;0;0;0;0;1;1;1;0;2
cent;1;0;0;0;4;1;2;0;0;0;0;0;1
