"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"gagner";-26,822;-3,897;-16,75;-0,677;-31,934;-3,444;234,857
"terroriste";1009,943;-12,447;-40,898;-8,161;-75,448;-7,124;-86,425
"solution";-0,65;-10,681;-11,305;-0,082;-4,921;-0,601;57,228
"malheureusement";-0,176;-9,339;-26,677;2,268;34,14;-2,632;0
"liberté";2,971;-12,184;-25,238;10,053;45,758;-2,141;-12,014
"civil";589,792;-12,658;-34,82;0,144;-58,208;-7,244;-33,385
"canton";-34,029;-10,055;-16,449;-6,102;-38,184;64,189;195,951
"étranger";-7,232;-12,026;-13,413;-0,205;2,23;-0,421;33,584
"pire";1,028;-6,173;7,593;-1,912;0,587;1,054;-5,646
"manière";-4,769;-10,733;-28,986;-0,089;47,366;-1,365;1,796
"expliquer";-1,57;-7,348;-14,459;0;17,36;-3,83;3,711
"emji_mains_levées";-13,468;1362,396;-13,912;-1,371;-22,669;-2,662;-34,715
"aide";33,948;-4,284;-19,704;-0,859;-6,825;-5,32;11,85
"argument";-19,547;-10,42;-20,726;9,427;117,196;-7,124;-5,4
"simple";-8,196;-10,002;-5,525;0,788;-0,738;-3,362;48,682
"international";626,029;-12,184;-29,119;-7,949;-59,227;-5,055;-30,486
"apprendre";-5,646;-7,559;-0,6;8,048;58,423;-3,595;-18,163
"ouvrir";-1,601;-2,868;-2,352;-3,387;46,23;-2,19;-5,584
"étude";-46,162;-11,816;-14,237;0,903;4,488;-4,849;75,588
"bas";-8,93;-3,686;-2,411;0,339;-4,445;-2,022;50,266
"acheter";-17,538;-8,012;-7,079;-3,107;-38,617;-0,383;204,068
"possible";-3,219;-1,74;-3,812;-0,011;-3,991;-0,408;35,963
"propre";-5,705;-9,742;-4,197;0,083;27,942;-3,226;0,152
"honte";1,601;-2,528;-4,292;0,903;37,483;-4,849;-19,555
"avis";-7,794;-11,5;-10,713;-0,443;170,872;-3,09;-31,246
"triste";-6,835;23,526;-8,118;-3,107;59,211;-4,878;-16,06
"emji_drapeau_suisse";-15,467;379,452;0,004;-4,167;-6,595;-0,323;-5,958
"façon";-5,583;-7,86;-3,37;2,758;23,94;-3,199;-0,028
"terre";102,029;-11,395;-2,863;-2,797;-6,948;2,257;-7,838
"sécurité";1,687;-9,742;-12,705;-0,529;-20,458;-0,995;71,503
"interdire";-0,23;-9,169;3,617;-0,878;-5,458;3,893;5,751
"emji_visage_roulant_des_yeux";-11,221;-3,965;345,961;-6,807;-24,81;-2,715;-16,623
"voter";-21,543;-7,404;-10,045;0,19;63,42;-0,814;-0,009
"mauvais";-14,186;-11,29;-8,982;3,252;40,779;-1,741;0,224
"voiture";-38,947;-3,106;-18,61;-9,121;-56,502;2405,999;0,01
"choix";-17,196;-5,882;-15,862;17,627;-0,001;-4,585;46,48
"égalité";-40,118;-8,337;-10,273;2131,449;-54,986;-5,92;-7,241
"répondre";-7,254;-7,1;-19,52;-0,769;133,979;-0,184;-16,175
"initiative";-27,905;0,253;-21,622;0,022;6,421;-4,41;37,092
"terme";1,805;-8,597;-24,072;-1,344;55,833;-2,635;-5,048
"majorité";-3,899;-11,29;-24,31;3,252;-1,82;-1,741;68,021
"important";-7,517;-9,377;-16,014;3,123;19,89;-6,522;7,091
"foutre";-0,809;-1,335;103,04;-1,707;-1,434;-2,982;-18,083
"équipe";-14,124;14,684;1,388;0,675;0,429;-0,444;-0,128
"mériter";-0,565;13,425;-17,923;-0,566;0,09;-2,529;8,004
"sembler";-0,001;-11,027;-14,958;-0,041;21,923;-6,311;1,002
"entendre";1,281;-8,909;-4,242;-2,495;46,18;0;-16,175
"taxe";-34,875;-10,187;-28,927;-2,039;-61,082;-5,83;407,941
"respect";4,784;4,479;-11,943;2,446;30,312;-1,604;-34,931
"victime";42,266;3,158;-18,137;46,102;-2,589;-2,848;-14,288
"super";-23,009;2,481;60,215;-6,765;-10,478;-0,148;3,045
"risque";-17,043;-7,05;-13,046;-0,263;-18,246;0,685;140,536
"également";-0,018;-2,666;-15,283;4,195;-3,66;8,997;15,09
"feu";149,885;-2,905;-0,009;-8,907;-12,489;1,507;-26,077
"emji_mains_en_prière";-0,871;1069,454;-15,462;-4,96;-20,184;-2,991;-33,532
"pareil";-20,577;-5,545;-2,235;0,263;13,395;6,015;1,837
"manifestant";657,537;-10,659;-26,238;-5,006;-41,96;-4,205;-62,897
"maladie";-42,059;-8,805;-33,225;-3,653;-68,324;-6,191;465,682
"israel";861,486;-10,187;-28,927;-8,307;-71,467;-5,83;-72,461
"baisser";-40,549;-10,449;-13,319;-8,521;-76,174;0,009;395,359
"classe";-35,517;-8,337;-10,273;-8,436;-41,796;-2,503;301,561
"taxer";-41,012;-9,977;-22,068;-8,136;-59,516;-5,71;423,808
"nombre";1,269;-9,557;-20,736;-0,027;-6,595;61,449;14,819
"occuper";5,494;-8,493;-5,139;-0,004;-6,864;0,859;12,372
"nouvelle";-10,829;121,262;0,803;0;-4,453;-0,504;-0,733
"manger";-31,621;-9,924;-0,312;-1,881;-5,544;-3,798;109,191
"crime";664,533;-10,082;-33,125;-6,26;-48,487;-5,77;-46,985
"arme";182,25;-8,337;-16,102;-0,547;-10,874;-1,338;-8,123
"absolument";-3,438;-2,745;-12,612;-0,224;31,762;-6,13;0,422
"effet";-22,794;-8,181;-2,29;0,001;-9,169;-1,273;101,867
"éviter";-8,948;-5,019;-4,926;-2,167;0,02;-0,101;36,057
"suivre";-0,005;-6,697;-14,978;-4,885;40,197;-4,118;-0,075
"retrouver";-4,776;-1,291;-4,87;0,221;5,445;1,191;1,412
"parent";-31,833;-0,231;-4,978;1,412;-3,649;-2,32;76,681
"base";-3,191;-8,233;-14,22;0,14;0,191;-3,972;36,281
"valoir";-10,343;-0,032;14,863;-1,082;1,117;0,034;-0,791
"poser";-15,764;-10,502;-13,467;0,088;86,989;-0,581;-1,905
"citoyen";2,8;-8,129;-24,547;-0,473;0,002;-2,398;22,054
"source";-4,063;-7,611;-27,041;-4,206;57,403;-0,336;0,431
"langue";-4,978;-0,626;8,464;0,936;-5,835;-1,28;5,818
"info";-0,249;-2,204;0,726;-3,064;41,912;-0,431;-25,178
"eau";0,223;-4,359;-15,71;-5,923;-45,454;117,768;56,616
"train";-2,462;-6,396;-7,473;-3,21;-21,381;692,283;0,096
"rue";16,35;-4,877;-1,785;-0,123;0,014;5,214;-4,562
"suffire";-3,463;-10,029;-20,343;-4,525;23,075;3,705;4,253
"jouer";-18,424;-0,801;-0,002;2,343;24,505;-5,169;-0,457
"garder";-10,667;-6,396;-3,686;0,152;-1,239;-1,273;47,405
"exactement";-4,236;-5,019;-11,751;-0,001;52,572;-4,06;-0,963
"représenter";0;-3,712;-7,895;0;0,018;-3,249;13,656
"préférer";-4,122;-8,337;-0,031;-0,143;4,356;-0,535;2,582
"groupe";110,577;-2,556;-4,879;-5,42;-2,74;-5,169;-8,348
"reconnaître";274,635;-7,766;-21,401;-7,965;-4,998;-5,589;-22,33
"face";12,733;-1,981;-8,523;-0,038;0,63;-2,165;-0,046
"couper";-17,18;-2,341;-0,01;-0,526;-1,06;0,979;28,409
"clairement";-0,161;-6,045;-6,617;0,017;48,826;-1,125;-9,765
"ultra";-21,388;-9,347;-18,215;-5,671;-27,453;-0,942;238,977
"oeil";5,02;-0,736;-0,219;-1,107;43,674;-1,252;-47,356
"profiter";-9,386;-5,995;-12,871;-0,354;-18,955;-2,216;139,597
"média";25,217;-7,766;-14,404;-2,919;33,046;-5,589;-16,568
"réponse";-4,636;-9,504;-4,926;-1,636;132,467;-2,087;-29,046
"européen";26,261;-7,774;-5,121;-0,193;-0,534;-1,274;0,016
"imaginer";-10,767;-4,5;0,108;-0,057;2,138;-0,035;5,131
"haine";89,29;-7,766;-11,423;2,665;1,407;-5,589;-25,533
"fortune";-29,286;-9,347;-24,057;-7,622;-43,188;-5,349;347,409
"peur";-3,108;-4,219;-4,036;1,836;40,828;-1,002;-6,592
"logique";-3,389;-2,761;-2,194;-3,969;-1,867;1,646;28,202
"journée";-23,861;-1,051;41,122;10,474;11,676;-2,087;-22,33
"ia";-31,554;-5,101;-5,409;-1,256;27,055;-3,192;13,252
"concerner";-9,627;-7,456;-7,998;-0,792;0,433;-0,01;35,526
"choisir";-8,452;-5,696;-4,817;10,631;13,24;-2,062;0,641
"détruire";50,004;-4,173;-9,237;-1,606;-6,194;-0,298;0,402
"peine";0,424;-5,646;-1,751;-0,769;19,007;-0,008;-5,393
"vidéo";6,096;-9,084;-7,099;-2,457;86,11;-5,199;-39,98
"intérêt";0,617;-8,927;-16,915;-3,694;9,186;-3,249;6,234
"facile";-6,347;-5,349;-12,43;0,549;27,314;-0,216;0,405
"semaine";-6,229;-8,665;0,156;-1,172;-1,382;1,05;20,363
"casser";104,077;-7,456;-1,298;-2,704;-4,655;-0,982;-10,203
"traiter";13,11;-3,895;-3,347;11,623;1,259;-1,909;-7,825
"mdr";-7,542;-9,137;147,026;-1,428;-0,808;-0,864;-15,858
"long";-15,711;-7,197;-0,616;0,104;18,167;-1,935;1,914
"information";3,953;-0,882;-7,354;-0,195;41,543;-3,393;-22,023
"économique";-0,793;-7,042;-23,038;0,576;-32,721;-5,169;146,199
"économie";-36,022;-7,352;-24,057;-7,622;-47,677;-3,48;366,378
