"";"";"";"";"*postReposts_40";""
"199";"*postLikes_6400";"0.323155503677885";"0.00800753510600499";"0.826918511422248";"295"
"200";"-*jordi_nieriker_2003";"-1.18635749623257";"-0.652449801024571";"0.826469795027604";"297"
"201";"*i_0287";"-1.25523596745291";"-0.886573238410201";"0.826175454299186";"301"
"202";"*postLikes_639";"-1.25523596745291";"-0.886573238410201";"0.826175454299186";"302"
"203";"*postDate_29-10-2025";"0.823745368171801";"0.407218154059172";"0.82610737661805";"303"
"204";"*postDate_13-11-2025";"-0.116279184387453";"0.706152131509368";"0.826020416076452";"304"
"205";"*i_0364";"-0.929348135294534";"-0.421167791530264";"0.825515382378677";"309"
"206";"*postDate_10-11-2025";"-0.44252558538969";"0.307459851950246";"0.825230648719617";"310"
"207";"*i_0003";"0.100669069938212";"0.613074985866595";"0.825178969312039";"311"
"208";"*postReposts_32";"-0.395872294735428";"0.733430907750963";"0.825128780656603";"312"
"209";"*i_0372";"-1.33567576587735";"-0.637088172396673";"0.825116026443835";"313"
"210";"-*rominaxxo";"-0.171209707761127";"0.352512391853963";"0.824562791760146";"314"
"211";"-*lucas_khac";"-1.74151219269696";"-0.454032368334047";"0.82441520729812";"315"
"212";"*i_0409";"-0.864474394166845";"-0.368011769475046";"0.824382907668384";"316"
"213";"*postDate_18-11-2025";"-0.382546698011547";"0.024516200191882";"0.824073162501169";"318"
"214";"-*jeunes_udc_vaud";"0.396397325887914";"0.307880304014283";"0.823950423908171";"319"
"215";"*i_0404";"-0.888232537965255";"-0.326570252772982";"0.823694345818056";"320"
"216";"*postComments_298";"-0.888232537965255";"-0.326570252772982";"0.823694345818056";"321"
"217";"*i_0253";"-1.12566935792014";"-0.762069668095848";"0.823685898222587";"322"
"218";"*postReposts_45";"-1.12566935792014";"-0.762069668095848";"0.823685898222587";"323"
"219";"-*adrvth";"-0.77510037022725";"-0.928178144386075";"0.823536657369292";"324"
"220";"-*_guillaume_j";"-1.49329047643715";"-0.677112096279678";"0.823504854656937";"326"
"221";"*postDate_11-12-2025";"-0.899133241197603";"0.0919545425217969";"0.823381287868304";"327"
"222";"*postDate_26-10-2025";"-0.422356819414575";"-0.18900156822757";"0.823181858359573";"328"
"223";"-*suzie_b_pop";"-0.199561858336957";"-0.246451037309242";"0.822883211013858";"330"
"224";"*commentDate_25-12-2025";"-0.160758148226896";"0.644621675043382";"0.822883211013858";"331"
"225";"*postReposts_10";"-0.135098131103261";"0.741404799542854";"0.822424556271602";"333"
"226";"*postComments_675";"1.12723023475156";"0.216268019164715";"0.822295357752657";"335"
"227";"*i_0559";"-0.534251929482855";"0.613683712607763";"0.822261733009905";"336"
"228";"*postComments_172";"-0.534251929482855";"0.613683712607763";"0.822261733009905";"337"
"229";"*postDate_24-11-2025";"-0.071522875615926";"0.249521354149726";"0.822111829600104";"338"
"230";"*postReposts_208";"0.167876232112506";"0.0954224809547265";"0.821923663551999";"339"
"231";"*i_0013";"-0.0432689462794995";"0.727342414462649";"0.821918363099939";"340"
"232";"*postLikes_17500";"-0.986516963991366";"0.716127021475692";"0.821819973458589";"342"
"233";"*postReposts_93";"-0.986516963991366";"0.716127021475692";"0.821819973458589";"343"
"234";"-*beto_dias30";"-1.48247986890675";"-1.05591737746877";"0.821799268567732";"344"
"235";"*postLikes_6100";"-0.420082416731575";"0.815792868817271";"0.821797446537337";"345"
"236";"*postReposts_6";"-0.516971927548619";"0.487819853600751";"0.821765312546727";"346"
"237";"-*lesechosdecatia";"-1.12111153468585";"-0.659680365679762";"0.821520994834619";"347"
"238";"*commentDate_11-12-2025";"-0.879158174464579";"0.174577424009818";"0.821174312142116";"349"
"239";"*i_0423";"-1.13352209440543";"-0.207349038064222";"0.820880137052825";"350"
"240";"*postComments_306";"-0.0394709010839225";"0.561799171872609";"0.82039199854599";"352"
"241";"*postComments_98";"-0.697462932848546";"-0.308307956111911";"0.82033303101683";"354"
"242";"-*balthazar_bd";"-0.880481624909529";"0.160205280746846";"0.820182465050521";"356"
"243";"-*lyli_loyd";"-2.185165734839";"-0.789897232747259";"0.82014619008174";"360"
"244";"-*damienloichat";"-2.185165734839";"-0.789897232747259";"0.82014619008174";"362"
"245";"-*pipocaguarana";"-2.185165734839";"-0.789897232747259";"0.82014619008174";"363"
"246";"*commentDate_12-11-2025";"-0.397012750176521";"0.203470409265919";"0.820078443678857";"364"
"247";"*commentDate_18-11-2025";"-0.474139292650213";"0.0125207012513897";"0.819941294481823";"366"
"248";"*i_0260";"-1.15745662148598";"-0.39251931339";"0.81975776632927";"367"
"249";"*i_0351";"-1.59853219218568";"-0.671855121939196";"0.819451830861972";"368"
"250";"-*margauxschwab";"-0.105673629666827";"0.223040002853472";"0.819323129260408";"369"
"251";"-*bee_peps";"-0.105673629666827";"0.223040002853472";"0.819323129260408";"370"
"252";"-*jassem2300";"-0.105673629666827";"0.223040002853472";"0.819323129260408";"371"
"253";"-*_daavidx";"-1.54371868497794";"-1.1467205257254";"0.819219770445252";"372"
"254";"-*nzr_b_l";"-0.949272600778086";"0.284192766035045";"0.819218114053983";"373"
"255";"-*chetelatdelphine";"-0.376283817497463";"0.93324404401634";"0.818988703863292";"377"
"256";"*i_0099";"-0.742366976344895";"-0.0632009525077022";"0.818799212702172";"378"
"257";"*commentDate_10-11-2025";"-0.399004082274041";"0.307084080972706";"0.818766913072436";"379"
"258";"*postComments_248";"1.08365834617121";"0.136908672060529";"0.818716724416999";"380"
"259";"-*thomasbruchez";"-1.55876249586141";"-1.14422765045032";"0.818624297784215";"381"
"260";"*postReposts_50";"-0.0589868727744031";"0.606457104280481";"0.818522098442947";"382"
"261";"*postDate_17-11-2025";"-1.13705012942806";"-0.254270124678959";"0.818411451506209";"383"
"262";"*i_0170";"-0.0264406789027073";"0.316322503909872";"0.818361759768154";"384"
"263";"*i_0328";"-1.26143761771112";"-0.470741312677701";"0.818213844027874";"385"
"264";"*postReposts_14";"-0.759907122439955";"0.542202343779203";"0.818163821011564";"389"
"265";"-*music_and_foot";"-0.00368595380394074";"-0.0478894329479693";"0.818157526724744";"390"
"266";"-*papismgs_";"-1.37207559427085";"0.493876261727208";"0.818157526724744";"391"
"267";"-*pilgrimndiaye";"-1.37207559427085";"0.493876261727208";"0.818157526724744";"393"
"268";"-*gallifreyfoundation";"-0.750766751733599";"-0.664645306212125";"0.818108166264942";"394"
"269";"-*onepub_ch";"-1.01376654417449";"-0.589184788088027";"0.817927785255799";"397"
"270";"*postLikes_2100";"-0.17873189404474";"0.122687898946085";"0.817831217644844";"398"
"271";"*postLikes_4800";"-0.103135145719325";"0.278947887292177";"0.817689927469638";"400"
"272";"*postReposts_1";"-0.135184962320378";"0.0826650031361573";"0.81761456166692";"401"
"273";"*postReposts_77";"-0.949214486001589";"-0.107544530382882";"0.817503086534548";"402"
"274";"-*baumgartnerkater";"-1.91524845681011";"-0.909324962932137";"0.817470124348304";"403"
"275";"*postReposts_43";"0.53702929211365";"0.115970488514426";"0.817303657025817";"404"
"276";"*postComments_241";"-0.869453255824629";"-0.0669309707070307";"0.817293553039079";"406"
"277";"*postComments_214";"0.455977418442399";"-0.155657973643927";"0.817278976795916";"407"
"278";"*commentDate_21-11-2025";"-0.606091852827218";"0.681206531855284";"0.817213549340809";"408"
"279";"*postLikes_14900";"-1.46054339892375";"-0.193021131697753";"0.8171345394773";"409"
"280";"*i_0126";"-0.90459785310138";"-0.348429289619668";"0.817059173674582";"410"
"281";"*postReposts_55";"-0.90459785310138";"-0.348429289619668";"0.817059173674582";"411"
"282";"*commentLikes_0";"-0.123216499656122";"0.438440203594575";"0.817053873222523";"412"
"283";"-*yohan_thz";"-0.234311205707861";"-0.662341206251564";"0.816907116956131";"413"
"284";"-*parentvillegva";"-1.12606663163202";"-0.543559540947544";"0.816897841165027";"414"
"285";"-*bleudenie";"-0.0740261862273242";"0.20958868366067";"0.816784047084879";"415"
"286";"-*helenasylviana";"0.215490211950848";"-0.148571776447843";"0.816596543593282";"417"
"287";"-*robinson_crusoe87";"-1.19221288650712";"-0.874296595585131";"0.816504116960498";"421"
"288";"*postComments_127";"-0.33525909091772";"0.130919181275907";"0.816390654158604";"422"
"289";"*postReposts_41";"-0.710173204182043";"0.471422228947646";"0.816255658270219";"424"
"290";"*i_0215";"-1.08859387340518";"-0.276514659129786";"0.816196856380186";"426"
"291";"*postLikes_9500";"-1.06176357549067";"-0.115109469996147";"0.816168035172113";"427"
"292";"*postLikes_1900";"-0.955102412285808";"0.564474183886928";"0.816134079151109";"428"
"293";"*i_0778";"-0.753002726598927";"0.278479096344164";"0.816119337268819";"429"
"294";"*postLikes_11200";"-0.753002726598927";"0.278479096344164";"0.816119337268819";"430"
"295";"*i_0190";"-1.02502998285721";"-0.707020588326038";"0.816016309731916";"431"
"296";"-*omerta_13b";"-0.894595949006681";"-0.362101184106441";"0.815973409198061";"432"
