"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"policier";-11,884;-22,474;-5,113;1895,173;-3,72;-6,459;-5,536;-47,489;-19,85
"chercher";-12,441;-15,766;-2,257;0,51;-3,87;9,005;6,612;4,111;-2,819
"gagner";-11,049;-23,147;-18,982;-4,245;-0,605;-17,702;-16,741;459,264;-5,324
"malheureusement";-10,495;-19,327;0,636;-1,91;-0,852;63,1;0,06;-5,764;-1,08
"terroriste";-11,272;-23,544;1480,732;-9,248;-3,556;-49,245;-44,124;-47,524;-26,843
"solution";-13,647;-16,11;0;-1,505;-3,645;9,688;-1,18;12,57;0,878
"liberté";-9,184;-13,42;-3,116;21,042;-3,496;0,018;105,719;-19,405;-8,764
"civil";-13,422;-21,584;775,002;-2,23;-1,834;-3,886;-40,352;-22,072;-22,78
"canton";-13,03;-11,7;-26,426;-0,611;2,008;-28,206;-20,837;216,947;38,648
"étranger";-13,31;-19,333;-5,031;-11,255;38,883;-4,295;28,274;36,025;-6,712
"pire";-12,526;-5,576;2,256;-1,726;-0,024;27,56;-7,131;-17,612;34,491
"manière";-13,535;-19,725;-7,36;4,932;-1,862;-0,084;60,014;-0,416;-0,007
"expliquer";-13,647;-11,15;0;-0,088;-3,645;-3,14;30,787;8,214;-2,629
"argument";-11,439;-8,103;-8,357;-3,299;-1,848;0,004;160,759;-8,055;-9,415
"emji_drapeau_territoires_palestiniens";1360,344;-14,645;15,425;-5,057;-2,212;-37,059;-31,356;-26,395;-14,54
"aide";-13,535;-17,771;30,488;0,125;-0,685;1,287;-7,035;15,679;-4,961
"simple";-11,272;-15,536;-5,031;0,01;3,626;5,732;0,006;12,923;0
"apprendre";-12,918;-22,85;-9,654;-4,124;548,407;49,533;1,69;-22,018;-7,26
"triste";-4,53;-8,68;-2,971;-1,974;-3,466;227,002;-17,727;-12,203;-6,21
"international";-12,918;-22,85;287,498;71,948;-0,576;-27,73;-7,239;-14,591;-1,904
"ouvrir";-13,086;-18,94;-0,937;-0,228;-0,054;-2,169;83,275;-0,349;-1,003
"étude";-12,694;-18,254;-27,675;-6,936;-0,032;-0,587;24,641;64,986;-1,698
"honte";-12,806;-11,338;0,574;0,754;-1,684;118,287;-9,847;-2,799;-12,545
