"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"riche";1;1;1;0,012;0,746;0;0,194;1;1
"marier";1;1;1;1;0;1;1;0,011;1
"libre";1;1;1;0,042;0,023;0;1;1;1
"cest";0,611;1;1;0;1;1;0,969;0;1
"valeur";1;1;1;0,237;0;0;1;1;1
"peine";1;1;1;1;1;0;1;1;1
"p";1;1;1;1;0,996;1;1;0;1
"détester";1;1;0,877;1;1;1;1;0;1
"couleur";1;1;1;0;1;1;1;0;1
"capable";1;0,76;1;0;0;0;1;1;1
"village";1;0;0,363;1;1;0,897;0,006;0,004;1
"traiter";1;0;0,384;0;0;1;1;1;1
"tourner";1;1;1;1;1;1;0,381;0;1
"système";0,096;0,008;0,341;1;0;0;1;1;1
"preuve";1;1;1;0;0,082;1;1;1;1
"jésus";1;1;1;0,087;1;0,002;1;1;1
"fier";0,988;1;1;1;1;0,31;1;1;0,004
"chanson";0,627;1;1;1;1;1;0,99;0,586;0
"totalement";1;0,843;0,352;0;0,002;0,012;1;1;1
"mari";1;1;1;1;0;1;1;1;1
"gosse";1;1;0,363;1;1;0;1;1;1
"emji_visage_qui_tire_la_langue_et_fait_un_clin_d_oeil";1;1;1;1;1;1;0,092;0;1
"emji_visage_avec_un_léger_sourire";0,023;1;0,012;1;1;1;0;1;1
"doute";1;0,843;1;0;1;0,024;1;1;1
"bout";1;1;1;1;1;0;0,969;0,014;1
"toucher";1;1;1;0,786;0,405;0;1;1;0,683
"svp";1;1;0,082;1;0,996;0,409;1;0;1
"souhaiter";1;1;1;0,305;0,662;0;1;1;0,124
"rare";1;1;1;1;0,62;0;1;1;0,053
"match";1;1;1;1;0;0;0;1;1
"horreur";0,175;0,019;0,438;1;1;0,003;1;0,702;1
"film";1;1;0,838;1;1;1;1;0,083;0,002
"origine";1;1;1;0;1;1;0,003;1;1
"endroit";1;1;1;1;1;0;0,816;1;1
"emji_renard";1;0;1;1;1;1;1;1;0
"doux";0,627;0,843;1;1;0,075;1;1;1;0
"vacance";1;1;1;1;1;0,25;1;0;1
"service";1;0;0,32;0,072;0,154;0;1;1;1
"réfléchir";1;1;0,812;0;0,32;0;1;1;1
