"";"";"";"";"emji_se_rouler_par_terre_de_rire";""
"320";"emji_trèfle_à_quatre_feuilles";"-2.28662358383916";"1.74468259482651";"0.836371015649694";"503"
"321";"trouver";"0.290120616233473";"-0.222388379107604";"0.836182847593469";"504"
"322";"george";"-0.217935616650863";"-0.0500453597762638";"0.836174102603677";"505"
"323";"pâtisserie";"0.545589349500216";"-0.702285055213223";"0.836088763565357";"506"
"324";"remarquer";"0.239316959679519";"-0.586416430569256";"0.836086652705752";"507"
"325";"aider";"0.346474406633791";"-0.759007939064404";"0.836082430986542";"508"
"326";"emji_visage_très_souriant_aux_yeux_rieurs";"0.0543402693948784";"0.42029833501782";"0.836034484318369";"509"
"327";"tunis";"0.253317057336288";"0.410383251227234";"0.836023628468972";"510"
"328";"extraordinaire";"-2.17686720356611";"1.58969688336303";"0.835803797518671";"511"
"329";"famille";"0.0527933665067347";"-0.249884692109972";"0.835723283302306";"512"
"330";"connerie";"0.401442437309456";"-1.03967740585555";"0.835616835667935";"513"
"331";"pauvre";"0.199763159393126";"-0.669593983051624";"0.835601456547955";"514"
"332";"importer";"0.259408962666006";"-0.739899553484204";"0.835571602962112";"515"
"333";"nostalgie";"-2.11353224828342";"1.54197100286088";"0.83555320832841";"516"
"334";"reposer";"-2.27792092308323";"1.67380958599595";"0.835441031217969";"517"
"335";"expliquer";"0.502892729752604";"-0.550568855130045";"0.83533066341576";"519"
