"";"";"";"";"emji_se_rouler_par_terre_de_rire";""
"29";"égalité";"0.342301687425211";"-1.22976797251565";"0.951378487270283";"98"
"30";"allemand";"0.58642467848738";"0.246735690756754";"0.942633195926425";"100"
"31";"croquette";"0.552533175349973";"-1.65615468391662";"0.942590978734323";"101"
"32";"tâche";"0.176001048533098";"-1.01055054617736";"0.942002652007249";"102"
"33";"piège";"0.821925122580597";"-1.6652220004388";"0.940216563229977";"103"
"34";"réponse";"-0.000900342443914539";"-0.489990608351435";"0.938594216847785";"106"
"35";"payer";"0.420420693211944";"-0.994176400670286";"0.937459479034367";"109"
"36";"temps";"-0.0589865606169671";"-0.300094402239259";"0.936980917006757";"110"
"37";"augmenter";"0.641920839318472";"-1.29858274806757";"0.936773148111343";"111"
"38";"salaire";"0.490142029691926";"-1.21765901374347";"0.936554824917903";"112"
"39";"emji_visage_boudeur";"0.487965859827082";"-1.11353752460309";"0.935799438730655";"113"
"40";"belge";"0.376135783957853";"0.106253330391881";"0.935347111672423";"114"
"41";"emji_drapeau_italie";"5.14391972765361";"5.46497278169417";"0.931518615451547";"118"
"42";"migros";"0.500342215755187";"-1.31874691606985";"0.931022864995725";"119"
"43";"pain";"0.615850630270024";"-0.856143652680929";"0.930606724102151";"120"
"44";"emji_visage_qui_pleure";"-0.371336178611821";"-0.0888000889781077";"0.926288206901524";"121"
"45";"faune";"0.543899917422157";"-1.62224922906147";"0.925829245713105";"122"
"46";"forêt";"0.213802207355625";"-1.08625045404943";"0.920672415697887";"126"
"47";"bouffer";"0.513632573575807";"-1.38981843873866";"0.919506919644509";"128"
"48";"chasser";"0.427547181600662";"-1.38719436338618";"0.919506919644509";"129"
"49";"merveilleux";"-2.33566063369519";"1.77997211522382";"0.918820588721485";"130"
"50";"jour";"0.234287395797822";"-0.188160866264714";"0.917380680919447";"133"
"51";"mari";"0.122301338832488";"-0.800246535630505";"0.916346661264328";"134"
"52";"genevois";"0.401216264779835";"0.217544351024313";"0.916342137993746";"135"
"53";"vivre";"-0.0471647584624204";"-0.166643595608786";"0.915425120271023";"136"
"54";"verre";"0.673610772720084";"-0.920851844508758";"0.91452468787377";"138"
"55";"tête";"0.241870789048316";"-0.212866014812565";"0.913416185029729";"139"
"56";"sujet";"0.409449615353186";"-0.861169064777548";"0.91333235374827";"141"
"57";"huitante";"0.454003697930664";"0.366529399711443";"0.911387950500616";"144"
"58";"écrire";"0.247744404351735";"-0.702703709990217";"0.910803845492753";"146"
"59";"sport";"0.0802328238603278";"-0.460550245036422";"0.910505912737064";"147"
"60";"race";"0.222398641480461";"-1.1423916734105";"0.90992452169155";"148"
"61";"gens";"0.232300977593559";"-0.388392390953682";"0.909771635145867";"149"
"62";"mot";"0.453310980611264";"-0.0617002739988942";"0.9097257993373";"150"
"63";"région";"0.679812953398801";"0.511160568580683";"0.90945711706471";"152"
"64";"élastique";"-2.18133146616924";"1.60825415136578";"0.908843460022375";"153"
"65";"racisme";"0.427968441377229";"-1.01138985998997";"0.908123053794298";"154"
"66";"parent";"0.311609780585469";"-0.315860317867953";"0.907358319514513";"155"
"67";"chose";"0.212737172114989";"-0.467894942823962";"0.907244031544467";"156"
"68";"faux";"0.32172811312328";"-0.942463115701749";"0.906822764277567";"157"
"69";"emji_visage_épuisé";"0.670597189701484";"-0.367695341707617";"0.906586951104542";"158"
"70";"emmental";"5.25129615352059";"5.58214037358398";"0.906244991848518";"159"
"71";"écosystème";"0.756919914989094";"-1.296671854782";"0.904563239846012";"163"
"72";"parisien";"0.624278847576892";"0.474744291912572";"0.902403830470012";"167"
"73";"pigeon";"0.399385440994006";"-1.02081475472385";"0.898965541724704";"170"
"74";"masculin";"0.235299052240993";"-1.09465555467995";"0.898642278653754";"171"
"75";"patron";"0.0430805896225502";"-0.7544211869644";"0.898380532062724";"172"
"76";"nuage";"0.795146720401246";"-1.12886269036675";"0.897369430311889";"175"
"77";"féminin";"0.483270487644218";"-0.508653437498471";"0.8963058586223";"177"
