64;0;1;0;2;1;1;0;1;0;0;0;1;0;0;0;0
56;0;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0
2009;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
2007;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0
2001;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0
1990;0;0;1;1;0;0;2;1;0;0;0;0;0;1;1;0
120;1;0;2;0;0;0;0;1;0;0;1;0;0;0;1;0
voici;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0
tandis_qu;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;2
moindre;0;0;0;0;1;0;0;0;0;0;1;0;0;2;1;0
ma;0;0;0;0;1;0;0;0;0;1;1;0;0;0;2;0
lui_même;0;0;0;0;0;2;0;0;0;0;0;0;0;1;2;0
chacune;0;0;0;1;0;0;0;1;0;0;0;1;0;1;2;0
96;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3;0
94;1;2;0;1;0;0;0;0;0;0;0;0;0;1;1;0
82;0;0;0;0;1;0;0;1;0;1;0;0;0;2;1;0
76;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0
63;0;1;1;0;0;3;0;0;0;0;0;0;0;0;1;0
62;0;0;0;2;0;1;1;0;0;0;1;1;0;0;0;0
55;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;1
5000;2;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0
49;0;0;0;0;0;4;1;0;0;0;1;0;0;0;0;0
47;0;3;2;0;0;0;0;0;0;0;1;0;0;0;0;0
33;0;0;2;3;0;0;0;0;0;0;0;0;0;1;0;0
2031;0;0;0;1;1;0;0;0;0;0;0;3;0;0;0;1
2013;0;0;0;0;0;0;1;0;1;0;1;0;1;2;0;0
1995;0;0;0;0;1;0;0;0;0;0;0;1;1;0;3;0
1994;0;0;0;0;0;0;1;0;0;0;1;0;2;1;1;0
1400;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0
140;1;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0
tes;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0
quel;0;0;2;0;0;0;1;0;0;0;0;0;0;1;0;1
quasi;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0
mêmes;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0
lequel;0;0;0;1;0;0;0;0;0;0;2;1;0;1;0;0
enfin;0;0;2;0;0;0;0;0;0;1;0;1;1;0;0;0
diverses;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0
croire;0;1;0;0;0;0;0;1;2;0;0;1;0;0;0;0
ci;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0
certaine;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0
auxquels;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0
audit;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0
99;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0
81;0;1;2;0;1;0;0;0;0;0;0;0;1;0;0;0
73;0;1;2;0;0;0;0;0;0;0;0;0;2;0;0;0
59;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0
54;1;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0
51;0;0;1;1;0;1;0;0;0;0;0;0;0;0;2;0
43;0;3;0;0;1;0;0;0;0;0;0;0;0;0;1;0
4000;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0
2012;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0
2010;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;2
2006;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0
1960;0;0;0;0;1;1;1;0;0;0;0;0;0;0;2;0
1800;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0
180;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0
1500;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1
130;0;1;0;1;0;0;2;0;1;0;0;0;0;0;0;0
07;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
