"";"";"";"";"klaunzer";""
"166";"dénonciation";"-0.369681746182536";"-1.01759000123866";"0.844865380781723";"464"
"167";"centriste";"-0.369681746182536";"-1.01759000123866";"0.844865380781723";"465"
"168";"congrès";"-0.563265872545632";"-0.988849628001674";"0.844771602758087";"466"
"169";"express";"-0.468125327550653";"-0.402446249911341";"0.844682055321983";"467"
"170";"unil";"-0.334583872813084";"-0.678469059414442";"0.844682055321983";"468"
"171";"baptiser";"-0.318441601465604";"-0.541954328768182";"0.844682055321983";"469"
"172";"oiseau";"-0.282311349679759";"-0.606051278299535";"0.844569239654451";"471"
"173";"ministre";"-0.510863188087396";"-1.17784654833437";"0.8444909737851";"472"
"174";"cerveau";"-0.240884895712333";"-0.632432206709593";"0.844426809874191";"473"
"175";"recueillir";"-0.344151345606018";"-0.801571290145409";"0.844295661660685";"474"
"176";"médical";"-0.40932231742977";"-1.07102056646898";"0.844139129921984";"475"
"177";"emmanuel";"-0.603314094567515";"-1.12761750453369";"0.843968496224842";"479"
"178";"vénézuélien";"-0.603314094567515";"-1.12761750453369";"0.843968496224842";"480"
"179";"moule";"-0.506460466482636";"-0.308529120656132";"0.843960035049777";"481"
"180";"emji_thermomètre";"-0.506460466482636";"-0.308529120656132";"0.843960035049777";"482"
"181";"diablerets";"-0.506460466482636";"-0.308529120656132";"0.843960035049777";"483"
"182";"chômage";"-0.280837828462197";"-0.588639370390593";"0.843960035049777";"484"
"183";"solidaire";"-0.280837828462197";"-0.588639370390593";"0.843960035049777";"485"
"184";"texte";"-0.0724397677590167";"-0.769493584225599";"0.843878948788738";"486"
"185";"animation";"-0.402474551269209";"0.568292249365601";"0.843845104088478";"487"
"186";"inspirer";"-0.375254958172961";"0.183866535843854";"0.843803503311076";"488"
"187";"siège";"-0.416423103604523";"-0.686553301047163";"0.84360114020744";"489"
"188";"abonnement";"-0.29925853561023";"-0.556214814480224";"0.843597614717829";"490"
"189";"disputer";"-1.14169637702857";"4.33511909450611";"0.843510887673414";"491"
"190";"série";"-0.512102117335701";"0.395627452577117";"0.843441788077051";"493"
"191";"outil";"-0.289799244490409";"-0.544835603880024";"0.843312050059388";"494"
"192";"jamaïque";"-0.77562307353571";"-1.07828616290917";"0.842930592083545";"495"
"193";"thaïlande";"-0.69711924125659";"-1.8184970534412";"0.842930592083545";"497"
"194";"philippin";"-0.650424318159907";"-1.78198482367744";"0.842930592083545";"498"
"195";"kalmaegi";"-0.670910260026363";"-1.55261338207281";"0.842930592083545";"499"
"196";"bilan";"-0.363516671848622";"-1.12987790200622";"0.842577338024585";"503"
"197";"sekai";"-0.329333019443933";"-0.52997063674664";"0.842153574173417";"504"
"198";"nico";"-0.329333019443933";"-0.52997063674664";"0.842153574173417";"505"
"199";"débourser";"-0.299685502433559";"-0.559027123091089";"0.841918776565366";"506"
"200";"menacer";"-0.420519972156378";"-0.849701002961916";"0.841784102862249";"507"
"201";"décembre";"-0.268581702793885";"0.207052171788262";"0.841615584458873";"508"
"202";"euro";"-0.426407562393883";"0.745936982911074";"0.841307456666925";"510"
