éviter;2;0;0;0;1;1;0;1;1;0;0;3
vote;0;0;1;0;0;0;7;0;0;1;0;0
tenir;1;3;1;1;0;1;0;1;0;1;1;1
situer;1;0;0;3;0;0;0;0;0;1;3;0
réaliser;1;0;1;2;2;0;0;0;0;3;0;1
retrouver;0;1;0;0;3;1;0;0;1;0;0;0
question;1;0;0;1;0;0;2;0;1;0;1;4
période;0;0;0;1;0;0;0;0;3;0;3;1
provoquer;0;0;1;0;2;1;3;3;0;0;2;1
protection;0;0;0;2;1;1;2;0;2;0;0;4
policier;0;1;0;0;7;1;1;1;0;0;0;0
nommer;0;0;0;0;0;1;1;2;0;2;2;1
moyenne;0;0;0;0;0;0;0;0;7;0;4;0
menacer;0;1;0;1;1;0;0;1;0;0;1;1
joueur;8;0;0;0;0;0;0;0;0;2;0;1
interdire;0;0;1;0;0;0;2;1;0;1;0;4
historique;2;1;0;2;0;0;0;1;0;0;1;1
genevois;1;0;0;0;0;0;0;0;0;5;0;0
financier;0;0;0;5;0;1;1;2;1;0;0;1
emji_skieur;11;0;0;0;0;0;0;0;0;0;1;0
emji_porte_documents;0;0;0;3;0;0;1;1;5;0;0;0
emji_cerveau;0;0;0;0;0;0;0;0;1;0;0;7
dévoiler;1;0;0;1;1;0;0;0;0;2;0;0
découverte;0;1;0;1;1;0;0;0;0;0;1;1
dollar;2;1;1;0;0;0;0;0;1;2;0;0
course;7;0;1;0;0;1;0;0;0;1;0;1
communiqué;0;0;0;0;1;4;0;1;1;0;0;0
commun;1;0;0;2;1;1;2;0;0;0;0;0
commencer;2;1;0;0;0;1;0;0;2;1;3;1
climatique;0;0;0;0;0;0;1;0;1;0;6;0
arriver;0;0;0;0;0;2;1;0;0;0;3;0
accepter;0;0;1;1;1;0;3;1;0;0;0;0
évolution;0;0;0;4;0;0;0;0;4;2;0;0
étranger;0;1;0;1;0;1;2;1;1;0;0;0
voter;0;0;2;0;0;0;6;1;0;0;0;0
vin;0;0;0;1;0;0;0;0;1;0;1;2
tête;2;0;0;1;0;0;2;0;1;1;1;1
société;0;0;0;3;0;0;1;0;1;1;1;0
seul;0;0;0;3;1;0;0;0;1;0;2;0
réduction;0;0;1;2;0;0;1;1;1;0;0;0
représenter;0;1;1;0;0;0;1;0;2;1;0;1
reprendre;1;0;1;1;1;3;0;0;0;0;1;1
relation;0;0;4;1;0;0;0;0;0;0;0;1
procès;0;9;0;0;0;0;0;1;0;0;0;0
porte;1;0;0;7;1;0;0;0;0;0;0;0
populaire;0;1;0;0;0;0;3;0;3;4;0;0
parlement;0;0;0;0;0;0;2;8;0;0;1;1
oeuvre;0;0;0;0;0;0;1;0;0;7;0;0
objectif;0;0;0;0;0;1;1;0;1;1;0;1
naître;1;3;0;0;0;0;0;0;0;1;0;0
média;1;1;3;1;0;1;1;0;0;0;0;1
musée;0;3;0;1;1;0;0;0;0;2;0;0
match;11;0;0;0;0;0;0;0;0;0;0;0
manquer;0;0;0;3;0;0;1;1;2;1;0;1
laisser;0;2;1;0;0;1;0;2;0;1;1;1
journaliste;0;0;0;4;1;2;0;0;0;0;0;0
israël;0;0;0;0;0;9;0;2;0;0;0;0
inquiéter;0;1;0;2;0;1;3;0;0;1;0;0
initialement;0;0;0;2;2;0;0;2;0;2;0;1
grave;1;1;0;0;2;5;0;0;1;1;0;0
fonds;0;2;0;1;0;1;0;1;1;0;1;3
final;6;0;0;0;0;0;1;0;0;2;0;0
faux;0;3;0;0;0;0;0;1;2;0;0;4
expérience;0;1;1;0;0;1;1;0;0;4;1;0
essentiel;0;0;1;1;1;1;1;0;0;2;0;3
entrer;0;1;1;1;0;1;2;1;0;0;0;0
emji_étincelles;1;0;0;0;0;1;0;0;0;1;2;1
emji_montagne_enneigée;0;0;0;0;0;0;0;1;0;0;2;0
emji_livres;0;0;2;1;0;0;1;0;2;2;0;0
emji_graphique_en_baisse;0;0;0;1;0;0;0;0;9;0;0;1
emji_avion;0;0;0;2;2;3;0;1;0;0;0;1
emblématique;0;0;1;0;0;1;0;0;0;5;1;0
déposer;0;2;2;0;1;0;3;2;0;1;0;1
décéder;0;0;0;0;3;1;0;1;0;0;0;0
déclarer;0;1;2;0;0;0;2;1;2;0;1;0
débat;2;1;0;3;0;0;2;1;0;0;0;0
droite;0;1;1;0;0;0;5;0;0;0;0;0
donner;0;0;1;0;0;0;4;1;1;0;1;0
diminuer;0;0;0;0;1;0;0;0;8;0;0;0
croissant;0;0;0;1;0;0;0;1;0;0;0;1
cour;0;7;0;0;0;1;0;1;1;0;0;0
citoyen;0;1;0;0;0;0;9;0;0;0;0;0
choisir;0;0;1;1;0;0;0;0;0;1;0;5
charger;0;0;0;3;0;0;0;3;2;1;0;0
but;6;0;1;0;0;0;0;0;0;1;0;0
besoin;0;0;0;1;1;4;0;0;1;0;0;0
aérien;0;1;0;0;1;6;0;0;1;0;0;0
assurer;0;0;0;5;0;1;0;0;0;1;0;1
appel;0;5;0;0;0;2;2;1;0;1;0;0
vigueur;0;0;1;0;0;1;1;2;0;0;1;0
venir;1;1;1;1;0;0;0;0;0;1;1;0
tôt;1;0;0;0;1;3;0;0;1;0;2;0
tribunal;0;5;1;0;0;0;2;0;0;0;0;0
travers;0;0;1;0;1;2;0;0;0;1;2;1
transport;0;0;0;1;0;0;1;0;2;1;0;0
transformer;0;0;1;1;0;1;0;0;0;3;0;0
traitement;0;0;0;0;0;1;1;0;0;0;0;4
tendance;0;0;0;2;0;0;1;0;6;0;0;1
tempête;1;0;0;0;2;0;1;0;0;0;7;0
température;0;0;0;0;0;0;0;0;0;0;9;0
sujet;1;0;1;5;0;0;1;1;0;0;0;0
stratégie;0;0;0;3;0;0;1;1;0;1;1;1
soin;0;1;0;1;1;4;2;0;1;0;0;1
sentir;0;0;0;1;0;0;2;1;0;0;2;0
répondre;0;0;0;3;0;1;1;0;1;1;0;0
régime;0;1;0;0;0;1;0;1;0;0;0;3
russe;0;2;3;0;2;3;0;0;0;0;0;0
rices;0;0;0;1;0;0;0;3;0;0;1;1
retraite;2;0;1;1;0;0;0;1;1;2;0;0
rejeter;0;2;0;0;0;1;7;0;0;0;0;0
quotidien;0;0;0;4;0;0;0;1;0;1;2;0
position;0;1;0;1;0;1;2;1;0;0;0;1
plateforme;1;2;1;0;0;0;0;0;1;4;0;0
part;1;1;0;0;0;1;0;1;3;0;0;0
parent;0;0;0;2;0;0;1;1;1;0;0;2
officiellement;1;0;0;0;0;2;2;3;0;0;0;1
obtenir;0;1;2;1;0;2;1;0;1;0;0;0
