"";"banalfreq";"X.rts_a";"X.rts_i"
"ramasser";49;-0,3933;0,3933
"emji_visage_éméché";23;1,3123;-1,3123
"quelque";313;-1,3317;1,3317
"terriblement";14;0,7437;-0,7437
"typiquement";12;1,1454;-1,1454
"ramener";77;0,6808;-0,6808
"réaction";69;0,3792;-0,3792
"comportement";115;0,5187;-0,5187
"signaler";29;-0,3748;0,3748
"plaire";129;1,2458;-1,2458
"plaie";14;-0,6187;0,6187
"silence";36;0,7107;-0,7107
"harcèlement";53;-0,4712;0,4712
"rdv";16;-0,3226;0,3226
"influence";40;-0,4407;0,4407
"expo";10;0,7134;-0,7134
"site";96;-0,881;0,881
"parc";35;-0,8301;0,8301
"activité";98;0,5472;-0,5472
"thème";21;1,3149;-1,3149
"partager";213;0,6132;-0,6132
"subir";147;-0,6541;0,6541
"résister";17;-0,6518;0,6518
"pire";343;1,3908;-1,3908
"parallèle";28;-0,6827;0,6827
"adresse";46;0,4722;-0,4722
"office";32;-1,3996;1,3996
"foyer";80;-1,0213;1,0213
"vierge";13;1,3817;-1,3817
"prince";19;0,2459;-0,2459
"moderne";54;0,4174;-0,4174
"nuit";117;1,3131;-1,3131
"absolument";282;-1,1066;1,1066
"nécessiter";15;-0,7377;0,7377
"talent";54;0,4174;-0,4174
"préférer";307;1,7124;-1,7124
"aborder";27;-1,5299;1,5299
"côté";423;-0,8779;0,8779
"supposer";41;0,8645;-0,8645
"banaliser";26;-0,5155;0,5155
"standard";27;0,73;-0,73
"fil";42;1,2364;-1,2364
"ainsi";254;0,8941;-0,8941
"souffrir";97;0,5941;-0,5941
"co";49;0,4338;-0,4338
"peine";237;-1,6322;1,6322
"emji_femme_qui_hausse_les_épaules";56;0,5663;-0,5663
"note";44;0,4528;-0,4528
"ennuyeux";11;1,4283;-1,4283
"anglais";89;0,7806;-0,7806
"tourner";193;-0,3368;0,3368
"vers";243;1,4001;-1,4001
"grace";13;-0,5071;0,5071
"merde";148;1,1714;-1,1714
"vive";138;0,627;-0,627
"valeur";219;-1,0199;1,0199
"moral";51;-1,5752;1,5752
"famille";483;-0,9558;0,9558
"fermer";181;-0,8087;0,8087
"er";15;0,5994;-0,5994
"sinon";292;-1,0072;1,0072
"résumer";27;-0,8429;0,8429
"ménage";101;-0,4144;0,4144
"esclave";32;-0,2735;0,2735
"tranquille";90;-1,1629;1,1629
"ambition";11;0,2923;-0,2923
"vomir";29;-0,2434;0,2434
"misogynie";14;1,131;-1,131
"apparemment";109;-0,8877;0,8877
"incapable";65;0,5778;-0,5778
"habitude";127;0,6011;-0,6011
