"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"124";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;49
"125";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32
"126";2;5;5;9;10;13;15;17;19;21;21;21;21;21;21;21;21;36;36;36;42;42;42;42
"127";2;4;7;7;7;7;7;7;7;7;22;24;26;26;26;26;26;26;26;26;26;26;26;26
"128";2;4;7;7;7;7;7;7;7;7;22;24;26;26;26;26;26;26;26;26;26;26;26;26
"129";2;5;5;9;10;13;15;17;19;21;21;21;21;21;21;21;21;36;36;36;42;42;42;42
"130";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32
"131";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;49
"132";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;49
"133";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32
"134";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32
"135";2;5;5;9;10;13;15;17;19;20;20;20;20;28;28;28;28;28;28;28;28;28;28;28
"136";2;4;7;7;7;7;7;7;7;7;22;24;27;27;31;31;31;31;31;31;31;44;47;47
"137";2;5;5;9;10;13;15;17;19;21;21;21;21;21;21;21;21;36;36;36;42;42;42;42
"138";2;4;7;7;7;7;7;7;7;7;23;23;23;23;23;23;23;23;23;23;23;23;23;23
"139";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;49
"140";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32
"141";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32
"142";2;4;7;7;7;7;7;7;7;7;22;24;26;26;26;26;26;26;26;26;26;26;26;26
"143";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;49
"144";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32
"145";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32
"146";2;4;7;7;7;7;7;7;7;7;23;23;23;23;23;23;23;23;23;23;23;23;23;23
"147";2;5;5;9;10;13;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14
"148";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32
"149";2;5;5;9;10;13;15;17;19;21;21;21;21;21;21;21;21;36;36;36;43;43;43;43
"150";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;49
"151";2;5;5;9;10;13;15;17;19;20;20;20;20;28;28;28;28;28;28;28;28;28;28;28
"152";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32
"153";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;49
"154";2;5;5;9;10;13;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14
"155";2;5;5;9;10;13;15;17;19;20;20;20;20;28;28;28;28;28;28;28;28;28;28;28
"156";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;49
"157";2;5;5;9;10;13;15;17;19;21;21;21;21;21;21;21;21;36;36;36;42;42;42;42
"158";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;48
"159";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;48
"160";2;5;5;9;10;13;15;17;19;21;21;21;21;21;21;21;21;36;36;36;42;42;42;42
"161";2;5;5;9;10;13;15;17;19;21;21;21;21;21;21;21;21;36;36;36;43;43;43;43
"162";2;4;7;7;7;7;7;7;7;7;23;23;23;23;23;23;23;23;23;23;23;23;23;23
"163";2;5;5;9;10;13;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14
"164";2;4;7;7;7;7;7;7;7;7;22;24;26;26;26;26;26;26;26;26;26;26;26;26
"165";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"166";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"167";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;49
"168";2;4;6;6;6;6;6;6;6;6;6;6;6;6;6;6;34;34;34;34;34;34;34;34
"169";2;4;7;7;7;7;7;7;7;7;22;24;27;27;31;31;31;31;31;31;31;44;46;46
"170";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;49
"171";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;48
"172";2;5;5;9;10;13;15;17;19;21;21;21;21;21;21;21;21;36;36;36;42;42;42;42
"173";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;49
"174";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;49
"175";2;5;5;9;10;13;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14
"176";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32
"177";2;4;6;6;6;6;6;6;6;6;6;6;6;6;6;6;34;34;34;34;34;34;34;34
"178";2;5;5;9;10;13;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14
"179";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"180";2;5;5;9;10;13;15;17;19;21;21;21;21;21;21;21;21;37;37;37;37;37;37;37
"181";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;49
"182";2;5;5;9;10;13;15;17;19;21;21;21;21;21;21;21;21;36;36;36;42;42;42;42
"183";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32
"184";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32
"185";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32
"186";2;4;7;7;7;7;7;7;7;7;22;24;27;27;31;31;31;31;31;31;31;44;47;47
"187";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;49
"188";2;4;7;7;7;7;7;7;7;7;22;24;27;27;31;31;31;31;31;31;31;44;47;47
"189";2;5;5;9;10;13;15;17;19;21;21;21;21;21;21;21;21;36;36;36;42;42;42;42
"190";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32
"191";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;49
"192";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;49
"193";2;5;5;9;10;13;15;17;19;20;20;20;20;28;28;28;28;28;28;28;28;28;28;28
"194";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32
"195";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;49
"196";2;5;5;9;10;13;15;17;19;20;20;20;20;28;28;28;28;28;28;28;28;28;28;28
"197";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32
"198";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;49
"199";2;5;5;9;10;13;15;17;19;21;21;21;21;21;21;21;21;36;36;36;42;42;42;42
"200";2;5;5;9;10;13;15;17;19;20;20;20;20;28;28;28;28;28;28;28;28;28;28;28
"201";2;4;7;7;7;7;7;7;7;7;22;24;27;27;30;30;30;30;38;41;41;41;41;41
"202";2;5;5;9;10;13;15;17;19;21;21;21;21;21;21;21;21;36;36;36;42;42;42;42
"203";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32
"204";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;32;32;32;32;32;32;32;32;32
"205";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;49
"206";2;4;7;7;7;7;7;7;7;7;22;24;27;27;31;31;31;31;31;31;31;44;47;47
"207";2;5;5;9;10;13;15;17;19;21;21;21;21;21;21;21;21;36;36;36;42;42;42;42
"208";2;5;5;9;10;13;15;17;19;20;20;20;20;29;29;33;33;33;33;33;33;33;33;49
