"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11"
"*postDate_30-5-2025";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*a_0861";0;0;0;0;0;0;0;0;0;0;0
"*postLikes_15200";0;0;0;0;0;0;0;0;0;0;0
"*postDate_28-5-2025";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;9,053
"*a_0860";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;9,053
"*postLikes_4400";-1,193;3,36;-1,221;-1,643;0,87;-0,097;-1,211;1,987;0,254;0,621;-0,075
"*postComments_64";-0,548;0,471;-0,561;0,185;0,557;0,263;-0,557;-0,39;-0,746;0,414;0,303
"*a_0859";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postLikes_4900";-0,732;0,141;-0,749;1,558;-0,726;-0,924;2,838;-0,52;1,6;-0,806;0,058
"*postComments_178";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postDate_26-5-2025";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0858";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postDate_25-5-2025";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0857";-0,091;10,421;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postDate_22-5-2025";-0,091;10,421;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0856";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;9,053
"*postDate_21-5-2025";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;9,053
"*a_0855";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postLikes_35000";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postComments_360";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postReposts_98";-0,182;-0,192;-0,187;3,053;-0,181;-0,23;4,46;-0,13;-0,248;-0,201;-0,221
"*postDate_19-5-2025";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0854";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postDate_18-5-2025";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0853";0;0;0;0;0;0;0;0;0;0;0
"*postDate_16-5-2025";0;0;0;0;0;0;0;0;0;0;0
"*a_0852";10,992;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postLikes_19100";10,992;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postComments_532";10,992;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postDate_14-5-2025";10,992;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
