"";"";"";"";"humanitaire";""
"89";"ia";"0.651652612615008";"-1.54568082793629";"0.922192912534789";"362"
"90";"emji_bébé";"0.801381015843444";"-1.46382372642708";"0.922192912534789";"363"
"91";"dépression";"0.801381015843444";"-1.46382372642708";"0.922192912534789";"364"
"92";"cérébral";"0.801381015843444";"-1.46382372642708";"0.922192912534789";"365"
"93";"vraisemblablement";"1.67950065416505";"2.22269245705758";"0.921877110973007";"366"
"94";"soudanais";"1.67950065416505";"2.22269245705758";"0.921877110973007";"367"
"95";"paramilitaire";"1.67950065416505";"2.22269245705758";"0.921877110973007";"368"
"96";"cambodge";"1.67950065416505";"2.22269245705758";"0.921877110973007";"370"
"97";"arabe";"1.67950065416505";"2.22269245705758";"0.921877110973007";"371"
"98";"accru";"0.878260455901577";"-1.2991043173899";"0.921342105974223";"372"
"99";"violent";"0.598260919231877";"-1.04190912358017";"0.921018873787457";"373"
"100";"interroger";"0.446288780860063";"-0.571722691914378";"0.920955713475101";"374"
"101";"perturber";"0.485638834446807";"-0.772721879213268";"0.920613904725878";"381"
"102";"affaire";"0.898127014635574";"0.659757726347177";"0.919447296603529";"384"
"103";"violence";"1.02197349760991";"0.0761643752101308";"0.919313545353833";"385"
"104";"proportion";"0.906216615922716";"-1.23920635046729";"0.919031181604475";"387"
"105";"doubler";"0.906216615922716";"-1.23920635046729";"0.919031181604475";"388"
"106";"symptôme";"0.906216615922716";"-1.23920635046729";"0.919031181604475";"389"
"107";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";"-1.30015441649011";"-1.5499938779778";"0.91847016941825";"392"
"108";"milan";"0.861678592597321";"-0.939663491935609";"0.917530195357886";"400"
"109";"chercher";"0.103049069559585";"-1.12942593670208";"0.917530195357886";"401"
"110";"permettre";"0.404014089738735";"-0.748177931449236";"0.917329568483342";"404"
"111";"épineux";"-1.6164594406468";"-0.861340388756558";"0.917024912859034";"407"
"112";"récréation";"-1.6164594406468";"-0.861340388756558";"0.917024912859034";"409"
"113";"critique";"0.917491511138476";"0.0419946877166559";"0.916605082547489";"410"
"114";"hauteur";"0.403170020079207";"-1.34612232886068";"0.916553068172607";"411"
"115";"emji_tornade";"0.427085725591721";"-1.50114907529675";"0.916553068172607";"412"
"116";"novembre";"0.469712001399257";"-0.318318580622269";"0.91617782161096";"413"
"117";"emji_voiture";"0.897819823198839";"-0.457885213867903";"0.915022359426086";"415"
"118";"artiste";"-0.251383492246467";"-1.06931759008147";"0.914970345051204";"416"
"119";"animation";"0.307303003008972";"-1.56663475650411";"0.914543084114675";"417"
"120";"emji_trèfle_à_quatre_feuilles";"0.307303003008972";"-1.56663475650411";"0.914543084114675";"420"
"121";"sud";"1.48187530042922";"1.30768168167552";"0.914134399740604";"422"
"122";"représentant";"1.25653222498893";"0.786940741318703";"0.913718284741549";"424"
"123";"chercheur";"0.684598851228198";"-0.992458257194757";"0.911585695371396";"431"
"124";"contenir";"0.566835594168945";"-0.83451645485015";"0.911585695371396";"432"
"125";"professionnel";"0.412788762609644";"-0.901172540624962";"0.91123645599719";"433"
"126";"tester";"0.782597633851522";"-0.678997331645626";"0.911217879434732";"434"
"127";"régional";"0.782597633851522";"-0.678997331645626";"0.911217879434732";"435"
"128";"aéroport";"0.306018582558758";"-0.543526172380868";"0.911217879434732";"436"
"129";"ambitieux";"0.690771071289913";"-0.684585045930379";"0.911217879434732";"437"
"130";"minimum";"1.00372362939693";"-0.0496885603169189";"0.911217879434732";"438"
"131";"principe";"0.306018582558758";"-0.543526172380868";"0.911217879434732";"439"
"132";"impliquer";"1.13273159438273";"-0.430551128437129";"0.910827771623119";"440"
"133";"emji_maison";"0.600525604980471";"-1.08427135836102";"0.910827771623119";"441"
"134";"seulement";"0.57790012466434";"-0.829657623338214";"0.910812910373153";"444"
"135";"réduire";"0.886982765521786";"-0.888435416174709";"0.910812910373153";"445"
"136";"ukraine";"1.7918303188028";"1.86403299885252";"0.910244467561944";"446"
"137";"paiement";"0.786638088360149";"-0.464072618286945";"0.909545988813532";"449"
"138";"loyer";"0.786638088360149";"-0.464072618286945";"0.909545988813532";"450"
"139";"soumettre";"0.786638088360149";"-0.464072618286945";"0.909545988813532";"451"
"140";"protester";"0.786638088360149";"-0.464072618286945";"0.909545988813532";"452"
"141";"colère";"0.786638088360149";"-0.464072618286945";"0.909545988813532";"453"
"142";"cantonal";"1.33862156294233";"0.705161039338936";"0.909092720689562";"455"
"143";"phénomène";"-0.102973567080802";"-1.21262277918211";"0.905343970385582";"463"
"144";"période";"0.0652113579621735";"-1.06547468067737";"0.904203369450674";"464"
"145";"assurer";"0.449268981568064";"-0.242308310222861";"0.904039895701046";"465"
