"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"253";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"254";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"255";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"256";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"257";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"258";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"259";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"260";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"261";3;4;6;6;6;12;14;17;17;17;17;17;17;29;29;29;29;29;39
"262";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"263";3;4;6;6;6;12;14;17;17;17;17;17;17;29;29;29;29;29;38
"264";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"265";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"266";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"267";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"268";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"269";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"270";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"271";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"272";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"273";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"274";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"275";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"276";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"277";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"278";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"279";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"280";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"281";3;4;6;6;6;12;14;17;17;17;17;17;17;29;29;29;29;29;38
"282";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"283";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"284";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"285";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"286";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"287";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"288";3;4;6;6;6;12;14;17;17;17;17;17;17;28;28;28;28;28;28
"289";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"290";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"291";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"292";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
