"";"classe 1";"classe 2"
"humilier";0;0
"humanitaire";-3,075;3,075
"géopolitique";0,151;-0,151
"gratuit";10,526;-10,526
"grandement";-3,075;3,075
"gentiment";-6,088;6,088
"frère";-3,075;3,075
"front";-3,075;3,075
"fribourg";0,113;-0,113
"frais";-0,611;0,611
"fortement";1,215;-1,215
"formule";0,151;-0,151
"fondue";-1,081;1,081
"fleur";-1,081;1,081
"fake";0,151;-0,151
"facteur";0,151;-0,151
"existence";6,403;-6,403
"exclusion";6,403;-6,403
"exclure";10,526;-10,526
"evidemment";-3,075;3,075
"ete";-0,611;0,611
"enfermer";-1,081;1,081
"emji_visage_souriant_aux_yeux_rieurs";-1,081;1,081
"emji_visage_qui_fond";3,941;-3,941
"emji_signe_de_la_main";-6,088;6,088
"emji_personne_qui_hausse_les_épaules";-0,611;0,611
"emji_homme_avec_la_paume_sur_le_visage";3,299;-3,299
"emji_femme_qui_hausse_les_épaules";-6,088;6,088
"elon";10,526;-10,526
"détailler";6,403;-6,403
"dérèglement";10,526;-10,526
"dérouler";-1,081;1,081
"déplacer";0,151;-0,151
"dégrader";-6,088;6,088
"dégoûter";-1,081;1,081
"décéder";-3,075;3,075
"dose";-0,611;0,611
"documentaire";6,403;-6,403
"dingue";-1,081;1,081
"digne";-3,075;3,075
"diagnostiquer";0;0
"diagnostic";7,893;-7,893
"delà";6,403;-6,403
"crédible";6,403;-6,403
"crédibilité";6,403;-6,403
"crème";-3,075;3,075
"cruel";-0,106;0,106
"coupable";3,299;-3,299
"conversation";-1,081;1,081
"convention";-1,081;1,081
"contrer";-1,081;1,081
"continent";0,555;-0,555
"contacter";-6,088;6,088
"consensus";9,21;-9,21
"confédération";-0,106;0,106
"comédien";-5,327;5,327
"complémentaire";10,526;-10,526
"complot";3,299;-3,299
"compliquer";-0,106;0,106
"compassion";-3,075;3,075
"compagnie";-3,075;3,075
"clé";-1,081;1,081
"client";2,275;-2,275
"chrétien";1,215;-1,215
"chapeau";6,403;-6,403
"chanson";10,526;-10,526
"cesse";0,151;-0,151
"catastrophique";6,403;-6,403
"casseur";-0,106;0,106
"briller";1,215;-1,215
"botte";-6,088;6,088
"blâmer";0,555;-0,555
"bleu";-1,081;1,081
"bisounours";-6,088;6,088
"beurre";-3,804;3,804
"bateau";-2,386;2,386
"augmentation";3,299;-3,299
"atrocité";1,215;-1,215
"asie";-0,106;0,106
"arrivée";-1,081;1,081
"architecte";-5,327;5,327
"anniversaire";0;0
"ampleur";1,215;-1,215
"alémanique";-3,075;3,075
"algorithme";10,526;-10,526
"ado";-3,075;3,075
"accomplir";-1,081;1,081
"3h";-3,075;3,075
"éteindre";-2,386;2,386
"équiper";0,555;-0,555
"émission";2,275;-2,275
"éclater";-2,386;2,386
"wokes";9,21;-9,21
"vénézuélien";2,275;-2,275
"vraisemblablement";2,275;-2,275
"visibilité";0;0
"vendeur";-0,238;0,238
"valide";-0,611;0,611
"vacance";-2,386;2,386
"télévision";9,21;-9,21
"téléphone";-5,327;5,327
"tribunal";-0,611;0,611
"travailleur";0;0
"trajectoire";2,275;-2,275
"tolérer";0,555;-0,555
"tester";-2,386;2,386
"tdah";0,555;-0,555
"taliban";1,347;-1,347
"sélectionner";0,555;-0,555
"systématique";2,275;-2,275
"survivre";-0,611;0,611
"soulager";-2,386;2,386
"socialisme";7,893;-7,893
"socialement";-0,611;0,611
"secteur";0;0
"satisfaire";-5,327;5,327
"satisfaction";-2,386;2,386
"sanction";-0,611;0,611
"réparer";-0,611;0,611
"rédiger";5,16;-5,16
"rythme";-5,327;5,327
"rigoureux";9,21;-9,21
"reprise";9,21;-9,21
"repas";-2,386;2,386
"refuge";-5,327;5,327
"reculer";-5,327;5,327
"recul";5,16;-5,16
"rapide";-0,611;0,611
"rage";-5,327;5,327
"quotidiennement";-0,611;0,611
"qualifier";2,275;-2,275
"pull";-1,722;1,722
"ptdr";0,555;-0,555
"présentation";-2,386;2,386
"provoquer";-0,611;0,611
"probable";2,275;-2,275
"priver";0;0
"principalement";5,16;-5,16
"pragmatique";-0,611;0,611
"posséder";5,16;-5,16
"plomb";-5,327;5,327
"philosophie";-2,386;2,386
"perspective";0,555;-0,555
"perroquet";-1,722;1,722
"passionnant";0;0
"passif";-2,386;2,386
"pari";-0,611;0,611
"ouin";5,261;-5,261
"omettre";9,21;-9,21
"oeuf";-2,386;2,386
"oeillère";0,555;-0,555
"octobre";0,555;-0,555
"nécessairement";2,275;-2,275
"noble";0,113;-0,113
"naturellement";0;0
"médical";-2,386;2,386
"mythe";5,16;-5,16
"mouche";-2,386;2,386
"motiver";-0,238;0,238
"morceau";-1,722;1,722
"monopole";5,16;-5,16
"modération";5,16;-5,16
"misogyne";0,555;-0,555
"mignon";-5,327;5,327
"mdrrrr";-5,327;5,327
"masqué";2,275;-2,275
"lecteur";9,21;-9,21
"lambda";9,21;-9,21
"jardin";-5,327;5,327
"japon";-5,327;5,327
"italien";0,575;-0,575
"interne";0;0
"insister";2,275;-2,275
"inox";-2,386;2,386
"injonction";-2,386;2,386
"initial";5,16;-5,16
"inhumain";-0,611;0,611
"indiquer";5,16;-5,16
"inclusion";7,893;-7,893
"inacceptable";0,555;-0,555
"imbécile";0;0
"illustration";9,21;-9,21
"iels";2,761;-2,761
"identique";5,16;-5,16
"hôpital";-5,327;5,327
"hurler";2,275;-2,275
"humble";-5,327;5,327
"h";-2,386;2,386
"gênant";0;0
"génétique";-0,238;0,238
"fracasser";-2,386;2,386
"forêt";-5,327;5,327
"formuler";5,16;-5,16
"format";-0,611;0,611
"fonctionnement";9,21;-9,21
"flagrant";0;0
"fils";0;0
"fiable";0;0
"exploit";0,555;-0,555
"existant";5,16;-5,16
"esthétique";-2,386;2,386
"entrain";2,275;-2,275
"entourer";0;0
"engendrer";9,21;-9,21
"enft";-5,327;5,327
"emji_visage_avec_bouche_ouverte";-1,722;1,722
"emji_doigts_croisés";-3,043;3,043
"emji_coeur_brisé";-3,804;3,804
"emji_biceps_contracté";-1,097;1,097
"désastreux";2,275;-2,275
"dépendance";2,275;-2,275
"découverte";2,275;-2,275
"découler";2,275;-2,275
"déclencher";5,16;-5,16
"déclaration";2,275;-2,275
"débuter";-0,611;0,611
"distance";0,555;-0,555
"disque";-5,327;5,327
"disponible";2,275;-2,275
"disparition";2,275;-2,275
"didier";0,555;-0,555
"dessiner";-2,386;2,386
"dent";-0,611;0,611
"cruellement";-0,611;0,611
"craindre";-2,386;2,386
"coût";0;0
"covid";0;0
"contribution";-0,238;0,238
"contre_productif";2,275;-2,275
"contester";9,21;-9,21
"consister";0;0
"confortable";0;0
"compétent";-0,611;0,611
"coach";-5,327;5,327
"circuler";9,21;-9,21
"ciel";0;0
"cicr";-5,327;5,327
"chômage";-0,611;0,611
"charité";-2,386;2,386
"certitude";5,16;-5,16
"carrément";-0,611;0,611
"cantonal";5,16;-5,16
"cameroun";-2,386;2,386
"cagoule";5,16;-5,16
"cage";-2,386;2,386
"cabine";-2,386;2,386
"bêtement";2,275;-2,275
"bénéfice";0,555;-0,555
"bodycams";2,761;-2,761
"balle";0;0
"autruche";-2,386;2,386
"arrogant";0;0
"argumentation";0,555;-0,555
"appui";2,275;-2,275
"applaudir";-2,386;2,386
"appartenance";7,893;-7,893
"analyser";5,16;-5,16
"amérindien";0,113;-0,113
"amusant";0,555;-0,555
"allemagne";0;0
"alcoolisé";5,16;-5,16
"agressivité";-0,611;0,611
"africain";2,275;-2,275
"adjectif";9,21;-9,21
"adhésion";9,21;-9,21
"évidement";0,113;-0,113
"étrangement";7,893;-7,893
"épaule";-1,722;1,722
"yodel";0,113;-0,113
"wikipédia";6,577;-6,577
"whatsapp";0,113;-0,113
"vérifiable";3,941;-3,941
"véracité";7,893;-7,893
"véhiculer";3,941;-3,941
"véhicule";-0,238;0,238
"vulnérable";0,113;-0,113
"vitesse";7,893;-7,893
"village";-4,565;4,565
"verbal";2,761;-2,761
"vasi";-4,565;4,565
"vache";0,113;-0,113
"uniforme";-1,722;1,722
"troisième";3,941;-3,941
"trauma";-4,565;4,565
"transport";0,113;-0,113
"tranche";7,893;-7,893
"traduire";-0,238;0,238
"tkt";-4,565;4,565
"tj";-1,722;1,722
"tit";-0,238;0,238
"thème";7,893;-7,893
"tempête";3,941;-3,941
"température";-0,238;0,238
"technologie";0,113;-0,113
"tapis";0,113;-0,113
"taf";-1,722;1,722
"séparer";3,941;-3,941
"séance";0,575;-0,575
"synonyme";7,893;-7,893
"symbolique";0,113;-0,113
"structurel";3,941;-3,941
"stigmatiser";3,941;-3,941
"spécialement";-0,238;0,238
"souris";-1,097;1,097
"soudan";0,113;-0,113
"sombrer";-4,565;4,565
"sombre";-1,722;1,722
"soldat";-4,565;4,565
"sirène";7,893;-7,893
"sincère";-1,097;1,097
"sexualité";3,941;-3,941
"septembre";-0,238;0,238
"sensibilisation";-0,238;0,238
"scolaire";-1,722;1,722
"scientifiquement";7,893;-7,893
"schéma";3,941;-3,941
"sauce";0,113;-0,113
"sanctionner";0,575;-0,575
"samedi";-3,804;3,804
"rêver";-4,565;4,565
"résumé";3,941;-3,941
"résumer";0,113;-0,113
"résider";1,347;-1,347
"régner";-1,722;1,722
"récemment";3,941;-3,941
"ressortir";-4,565;4,565
"respirer";-3,804;3,804
"respectable";-1,722;1,722
"renverser";-1,722;1,722
"regretter";-1,722;1,722
"recrutement";-0,238;0,238
"recommencer";-4,565;4,565
"ravager";-0,238;0,238
"rappel";1,347;-1,347
"racisé";0,113;-0,113
"quota";-0,021;0,021
"péter";-4,565;4,565
"puer";0,113;-0,113
"psychiatrie";2,761;-2,761
"prévenir";-0,238;0,238
"près_de";0,113;-0,113
"propriétaire";-4,565;4,565
"propager";7,893;-7,893
"promouvoir";3,941;-3,941
"progressiste";-4,565;4,565
"profondeur";3,941;-3,941
"processus";3,941;-3,941
"privilégier";1,347;-1,347
"populiste";3,941;-3,941
"pont";-4,565;4,565
"ponctuation";6,577;-6,577
"plutot";-0,238;0,238
"plateformes";3,941;-3,941
"planter";-1,722;1,722
"plante";-4,565;4,565
"piéger";-0,238;0,238
"piège";3,941;-3,941
"piste";1,347;-1,347
"pillage";6,577;-6,577
"pile";0,113;-0,113
"phase";-0,238;0,238
"perdant";-4,565;4,565
"pedophiles";-4,565;4,565
"parvenir";-1,722;1,722
"paresse";-0,021;0,021
"otage";-4,565;4,565
"ong";3,941;-3,941
"offenser";7,893;-7,893
"nécessité";3,941;-3,941
"nuire";-1,722;1,722
"noter";-0,238;0,238
"nn";-1,722;1,722
"netflix";-1,722;1,722
"neo";3,941;-3,941
"navrant";-1,722;1,722
"médiocrité";-4,565;4,565
"médiatique";3,941;-3,941
"mère";-1,722;1,722
"moyenne";3,941;-3,941
"morges";1,347;-1,347
"mordre";-1,722;1,722
"moralement";3,941;-3,941
"modèle";7,893;-7,893
"mini";7,893;-7,893
"milice";-1,722;1,722
"micro";6,577;-6,577
"matériel";7,893;-7,893
"marge";0,113;-0,113
"manipulateur";3,941;-3,941
"maltraiter";-1,722;1,722
"malaise";-4,565;4,565
"mal_être";-1,097;1,097
"mainstream";7,893;-7,893
"magnus";6,577;-6,577
"magasin";-0,238;0,238
"mafia";2,761;-2,761
"louer";-0,238;0,238
"longévité";0,113;-0,113
"lobbies";7,893;-7,893
"littérature";3,941;-3,941
"like";3,941;-3,941
"lent";-4,565;4,565
"jsuis";-4,565;4,565
"jean";-4,565;4,565
"ironique";-1,722;1,722
"irlande";3,941;-3,941
"invoquer";7,893;-7,893
"inverser";3,941;-3,941
"interdiction";0,113;-0,113
"intensité";-4,565;4,565
"influenceurs";0,113;-0,113
"indifférence";3,941;-3,941
"indice";3,941;-3,941
"inculte";0,113;-0,113
"inconvénient";-0,238;0,238
"incompréhensible";-4,565;4,565
"incohérence";0,113;-0,113
"idéaliste";7,893;-7,893
"hypothèse";7,893;-7,893
"hauteur";-0,238;0,238
"handicap";0,575;-0,575
"halluciner";-4,565;4,565
"gueule";-1,722;1,722
"grippe";2,761;-2,761
"grimper";7,893;-7,893
"gratter";-4,565;4,565
"goûter";0,113;-0,113
"gagnant";7,893;-7,893
"fée";-3,804;3,804
"flemme";3,941;-3,941
"fierté";3,941;-3,941
"fascinant";3,941;-3,941
"exciter";-1,722;1,722
"excessif";1,347;-1,347
"euro";-1,722;1,722
"essence";1,347;-1,347
"entretien";-1,722;1,722
"enregistrer";-4,565;4,565
"ennemi";-0,238;0,238
"enfoncer";-1,722;1,722
"enfantin";-0,238;0,238
"empirer";0,113;-0,113
"emji_visage_qui_vomit";-1,097;1,097
"emji_visage_démoralisé_avec_goutte_de_sueur";-4,565;4,565
"emji_visage_avec_fumée_sortant_des_narines";-1,722;1,722
"emji_pouce_vers_le_haut_peau_claire";-1,722;1,722
"emji_femme_qui_hausse_les_épaules_peau_claire";-1,722;1,722
"effrayant";-1,722;1,722
"effondrer";-0,238;0,238
"effectif";-1,722;1,722
"désir";3,941;-3,941
"dépenser";-3,804;3,804
"dépendant";-1,722;1,722
"département";0,113;-0,113
"déménager";-4,565;4,565
"délai";-1,722;1,722
"décevant";-4,565;4,565
"ds";-4,565;4,565
"droguer";-1,722;1,722
"drastique";0,113;-0,113
"donneur";-4,565;4,565
"domestique";-1,722;1,722
"dissuader";-4,565;4,565
"disproportionné";1,347;-1,347
"diplôme";0,575;-0,575
"diminution";-1,722;1,722
"dictatorial";1,347;-1,347
"deviner";1,347;-1,347
"cv";-0,238;0,238
"curiosité";1,347;-1,347
"création";1,347;-1,347
"cousin";-3,804;3,804
"corrompre";7,893;-7,893
"corporel";1,347;-1,347
"contrat";-0,238;0,238
"contrainte";3,941;-3,941
"continuation";7,893;-7,893
"constituer";3,941;-3,941
"constamment";3,941;-3,941
"considération";1,347;-1,347
"congé";-3,804;3,804
"conférence";-1,722;1,722
"conduite";0,113;-0,113
"commerçant";-1,722;1,722
"combler";-0,238;0,238
"cohérence";0,113;-0,113
"civisme";0,113;-0,113
"cigarette";-0,238;0,238
"cibler";1,347;-1,347
"cible";0,113;-0,113
"chuter";-4,565;4,565
"choc";0,113;-0,113
"chier";-4,565;4,565
"chaos";-0,238;0,238
"cellule";-0,238;0,238
"cauchemar";-4,565;4,565
"catégoriser";1,347;-1,347
"calme";-0,238;0,238
"cagnotte";-4,565;4,565
"café";-3,804;3,804
"cadeau";0,113;-0,113
"budget";1,347;-1,347
"brouillard";-4,565;4,565
"bracelet";-3,804;3,804
"bouquin";-4,565;4,565
"bordel";-4,565;4,565
"bolsonaro";-3,804;3,804
"bois";-4,565;4,565
"blessure";-1,722;1,722
"bizarrement";-0,238;0,238
"biodiversité";2,761;-2,761
"bienvenue";-0,238;0,238
"bavure";-1,722;1,722
"bain";-3,804;3,804
"audience";0,113;-0,113
"attribuer";1,347;-1,347
"attraper";3,941;-3,941
"attitude";-0,238;0,238
"asile";-0,238;0,238
"arracher";0,113;-0,113
"appartement";-4,565;4,565
"appart";-1,722;1,722
"apparence";0,113;-0,113
"apparement";1,347;-1,347
"août";-0,238;0,238
"amateur";3,941;-3,941
"alzheimer";3,941;-3,941
"aigri";-0,238;0,238
"adolescent";0,113;-0,113
"activiste";-0,021;0,021
"achat";3,941;-3,941
"accoucher";-0,238;0,238
"accent";-0,238;0,238
"abstenir";0,113;-0,113
"absence";3,941;-3,941
"éventuellement";2,761;-2,761
"étudiant";2,761;-2,761
"élevé";-3,804;3,804
"écriture";-3,804;3,804
"économiser";-3,804;3,804
"you";-3,043;3,043
"wiki";6,577;-6,577
"week_end";-0,021;0,021
"vomir";-1,097;1,097
"volontairement";0,075;-0,075
"voiler";6,577;-6,577
"vocabulaire";-0,021;0,021
"vieillir";-1,097;1,097
"verbe";-1,097;1,097
"venezuela";-0,021;0,021
"vaudois";-0,021;0,021
"validation";2,761;-2,761
"valaisans";-3,804;3,804
"ultime";-0,021;0,021
"témoin";-3,804;3,804
"trompeur";6,577;-6,577
"traverser";-0,021;0,021
"trahir";-0,021;0,021
"trafiquer";-0,021;0,021
"traduction";6,577;-6,577
"tournoi";-3,804;3,804
"touchant";0,575;-0,575
"tonne";-0,021;0,021
"thématique";-0,021;0,021
"thaïlande";-3,804;3,804
"tenue";-1,097;1,097
"tech";3,946;-3,946
"séjour";-1,097;1,097
"surpoids";-3,804;3,804
"supposer";-0,021;0,021
"superbe";0,575;-0,575
"sundhage";-3,804;3,804
"structure";-1,097;1,097
"stresser";-3,804;3,804
"stress";-3,804;3,804
"stable";-1,097;1,097
"spectateur";-3,804;3,804
"sourd";2,761;-2,761
"souffle";-3,804;3,804
"souche";6,577;-6,577
"sommet";-1,097;1,097
"situer";2,761;-2,761
"singapour";1,649;-1,649
"simplifier";6,577;-6,577
"sexuel";2,761;-2,761
"score";2,761;-2,761
"saison";-3,804;3,804
"révolution";2,761;-2,761
"résilience";0,575;-0,575
"réparation";6,577;-6,577
"rural";0,575;-0,575
"royalement";-3,804;3,804
"ridiculiser";2,761;-2,761
"rh";0,075;-0,075
"revue";2,761;-2,761
"retraite";-0,021;0,021
"reproduire";0,575;-0,575
"repenser";-3,804;3,804
"repartir";-3,804;3,804
"reparler";-3,804;3,804
"rente";-1,097;1,097
"renier";1,649;-1,649
"relâcher";-1,097;1,097
"relativement";-1,097;1,097
"rejeter";2,761;-2,761
"rat";6,577;-6,577
"raisonner";-1,097;1,097
"raclette";-3,043;3,043
"pyramide";2,761;-2,761
"puéril";2,761;-2,761
"purée";-1,097;1,097
"psychopathe";6,577;-6,577
"psychique";0,575;-0,575
"présentateur";-0,54;0,54
"prématuré";-3,804;3,804
"provenir";6,577;-6,577
"protocole";-1,097;1,097
"proportionnalité";2,761;-2,761
"proportion";2,761;-2,761
"prompt";6,577;-6,577
"projection";6,577;-6,577
"prof";-0,021;0,021
"productif";6,577;-6,577
"primordial";-1,097;1,097
"prier";-1,097;1,097
"poursuite";-3,043;3,043
"pourri";-1,097;1,097
"pourcentage";0,575;-0,575
"potentiellement";2,761;-2,761
"postuler";-0,021;0,021
"posts";6,577;-6,577
"populisme";-3,804;3,804
"pollution";2,761;-2,761
"polir";-1,097;1,097
"pluie";-3,043;3,043
"plier";-0,021;0,021
"plateforme";2,761;-2,761
"pirater";-3,804;3,804
"pilule";-3,804;3,804
"pessimisme";2,761;-2,761
"perturber";6,577;-6,577
"perception";5,261;-5,261
"pedophilie";6,577;-6,577
"patience";-3,804;3,804
"parisien";-1,097;1,097
"parier";-3,804;3,804
"pardonner";-1,097;1,097
"paragraphe";0,575;-0,575
"paradoxal";0,575;-0,575
"paradis";-1,097;1,097
"outrance";2,761;-2,761
"one";-0,021;0,021
"office";-0,021;0,021
"occident";-1,097;1,097
"négociateur";-3,804;3,804
"néfaste";0,575;-0,575
"noyer";0,575;-0,575
"next";-3,804;3,804
"nettoyage";-1,097;1,097
"nati";-3,804;3,804
"médiocre";-0,021;0,021
"médecine";-0,021;0,021
"mythomane";6,577;-6,577
"mtv";-0,119;0,119
"monstre";0,075;-0,075
"migratoire";2,761;-2,761
"midi";-3,804;3,804
"merdique";2,761;-2,761
"mensonger";6,577;-6,577
"maîtrise";6,577;-6,577
"matraque";-0,021;0,021
"marx";6,577;-6,577
"marginal";-0,021;0,021
"malheureux";-1,097;1,097
"maire";-0,021;0,021
"maigreur";-3,043;3,043
"mai";-0,021;0,021
"léger";2,761;-2,761
"lâche";6,577;-6,577
"louable";6,577;-6,577
"londres";-3,804;3,804
"laxiste";0,575;-0,575
"latin";-0,021;0,021
"kosovo";0,575;-0,575
"kebab";5,261;-5,261
"justification";-0,021;0,021
"jogging";-3,043;3,043
"japonais";-0,54;0,54
"issu";2,761;-2,761
"israélien";-0,021;0,021
"intégrité";6,577;-6,577
"intégration";-3,804;3,804
"intimité";-3,804;3,804
"intense";-1,097;1,097
"insinuer";6,577;-6,577
"insensé";2,761;-2,761
"inoxtag";6,577;-6,577
"inintéressant";-1,097;1,097
"indécent";2,761;-2,761
"industriel";-3,804;3,804
"industrie";6,577;-6,577
"incompréhension";6,577;-6,577
"incomplet";6,577;-6,577
"incendie";-1,097;1,097
"incarner";-1,097;1,097
"incapacité";6,577;-6,577
"inapproprié";6,577;-6,577
"impacte";-0,021;0,021
"immobilier";2,761;-2,761
"hôtel";-3,804;3,804
"héros";0,575;-0,575
"humilité";6,577;-6,577
"humanisme";-3,804;3,804
"huile";2,761;-2,761
"horlogerie";-1,097;1,097
"homophobe";6,577;-6,577
"hiérarchiser";-0,021;0,021
"gérant";-0,021;0,021
"génératif";6,577;-6,577
"good";0,575;-0,575
"glisser";2,761;-2,761
"gitan";-0,021;0,021
"gay";0,075;-0,075
"gauchisme";2,761;-2,761
"galer";-3,804;3,804
"féminisme";0,575;-0,575
"fuite";-0,021;0,021
"foule";-0,021;0,021
"fonds";6,577;-6,577
"flux";6,577;-6,577
"flipper";-3,804;3,804
"flamme";-1,097;1,097
"fiscal";-0,021;0,021
"filer";-3,804;3,804
"fidèle";6,577;-6,577
"fichier";6,577;-6,577
"feuille";-1,097;1,097
"feminicides";-0,021;0,021
"favorable";6,577;-6,577
"factuelle";6,577;-6,577
"fact";5,261;-5,261
"faciliter";-0,021;0,021
"exécutif";-0,021;0,021
"expulser";-3,043;3,043
"excellence";1,649;-1,649
"etres";-3,804;3,804
"essai";-0,54;0,54
"escalade";-0,54;0,54
"entrée";-0,021;0,021
"entretenir";-3,804;3,804
"entièreté";0,575;-0,575
"enseignant";-0,021;0,021
"enregistrement";6,577;-6,577
"emji_étincelles";-1,097;1,097
"emji_visage_souriant_avec_de_grands_yeux";-1,097;1,097
"emji_visage_déguisé";-0,021;0,021
"emji_visage_avec_un_doigt_sur_la_bouche";-3,804;3,804
"emji_tête_de_fou";0,674;-0,674
"emji_tas_de_crotte";0,674;-0,674
"emji_point_d_interrogation_rouge";0,674;-0,674
"emji_mains_en_prière_peau_claire";0,575;-0,575
"emji_drapeau_brésil";-3,804;3,804
"emji_applaudissements_peau_moyennement_claire";-2,282;2,282
"em";-1,097;1,097
"efficacité";6,577;-6,577
"effectuer";-0,021;0,021
"détenir";6,577;-6,577
"désaccord";6,577;-6,577
"dépression";-3,804;3,804
"démissionner";-1,097;1,097
"dégueulasse";-0,021;0,021
"déformer";6,577;-6,577
"défenseur";2,761;-2,761
"décrédibiliser";6,577;-6,577
"dysfonctionnement";-1,097;1,097
"durée";-3,804;3,804
"durer";-3,043;3,043
"douter";0,575;-0,575
"douleur";-3,804;3,804
"domination";6,577;-6,577
"dominant";-1,097;1,097
"domicile";-0,021;0,021
"document";6,577;-6,577
"disposition";6,577;-6,577
"disposer";2,761;-2,761
"discernement";2,761;-2,761
"directeur";0,575;-0,575
"différemment";6,577;-6,577
"diffamation";6,577;-6,577
"dessin";-3,804;3,804
"dessert";-0,021;0,021
"célèbre";-1,097;1,097
"cure";-0,021;0,021
"culot";-3,804;3,804
"créatif";-0,021;0,021
"croix";-0,021;0,021
"crasse";-1,097;1,097
"coutume";2,761;-2,761
"cordialement";-0,021;0,021
"contraint";2,761;-2,761
"contestation";6,577;-6,577
"constant";6,577;-6,577
"connecter";-0,021;0,021
"condamnable";2,761;-2,761
"comédie";-0,021;0,021
"complotistes";6,577;-6,577
"complice";1,649;-1,649
"complexité";0,575;-0,575
"commandant";-3,043;3,043
"collectivité";2,761;-2,761
"coincer";-3,804;3,804
"cohésion";-3,043;3,043
"clore";-3,804;3,804
"classique";-0,021;0,021
"classement";2,761;-2,761
"claque";2,761;-2,761
"cité";-0,021;0,021
"cirque";-3,804;3,804
"circulation";-1,097;1,097
"circonstance";-0,021;0,021
"chialer";-3,804;3,804
"checker";2,761;-2,761
"champignon";-1,097;1,097
"capital";0,575;-0,575
"cancérigène";-0,021;0,021
"canapé";-1,097;1,097
"calmement";6,577;-6,577
"calcul";6,577;-6,577
"caissier";-2,282;2,282
"bénéfique";6,577;-6,577
"bruyant";2,761;-2,761
"brin";2,761;-2,761
"bombarder";-3,804;3,804
"bodycam";0,575;-0,575
"blond";-3,804;3,804
"bijoux";-0,021;0,021
"biaisées";6,577;-6,577
"bernois";0,575;-0,575
"bataille";-0,54;0,54
"banque";-3,804;3,804
"bannir";0,575;-0,575
"bande";-3,804;3,804
"bancaire";-0,119;0,119
"avs";6,577;-6,577
"aveugler";-0,021;0,021
"aventure";-3,804;3,804
"avancée";-3,804;3,804
"autorisation";5,261;-5,261
"au_delà";6,577;-6,577
"attentif";-0,021;0,021
"asseoir";-3,804;3,804
"asiatique";-1,097;1,097
"artisan";-0,021;0,021
"apprentissage";-1,097;1,097
"app";6,577;-6,577
"anéantir";-3,804;3,804
"anxiogène";2,761;-2,761
"anti_démocratique";6,577;-6,577
"ancrer";0,575;-0,575
"amoureux";-3,804;3,804
"ambition";-1,097;1,097
"alternative";6,577;-6,577
"alpinisme";2,761;-2,761
"aire";0,075;-0,075
"aggraver";0,575;-0,575
"afghan";-3,804;3,804
"admiration";-0,021;0,021
"acide";6,577;-6,577
"accueillant";-1,097;1,097
"absurdité";0,575;-0,575
"abonner";2,761;-2,761
"abandon";0,075;-0,075
"île";1,649;-1,649
"évoquer";5,261;-5,261
"étiquette";1,649;-1,649
"épuiser";-3,043;3,043
"épuisement";0,075;-0,075
"éloigner";1,649;-1,649
"élever";-0,54;0,54
"écart";0,075;-0,075
"ème";-0,54;0,54
"zombie";-2,282;2,282
"zero";0,075;-0,075
"yaourt";1,649;-1,649
"xénophobie";1,649;-1,649
"wue";-3,043;3,043
"weekend";-3,043;3,043
"véritablement";5,261;-5,261
"vérification";5,261;-5,261
"vulgaire";1,649;-1,649
"volant";0,075;-0,075
"vitrine";-3,043;3,043
"violer";-0,119;0,119
"vieillissement";5,261;-5,261
"vicieux";-3,043;3,043
"vengeance";-2,282;2,282
"vape";-0,54;0,54
"valoriser";1,649;-1,649
"validé";5,261;-5,261
"vachement";0,075;-0,075
"utilité";-0,54;0,54
"utilisateur";5,261;-5,261
"usager";1,649;-1,649
"urss";5,261;-5,261
"univers";-0,54;0,54
"télécharger";5,261;-5,261
"turquie";-0,54;0,54
"tricher";-0,119;0,119
"tri";5,261;-5,261
"traumatisme";-0,54;0,54
"transformation";1,649;-1,649
"tranquillement";-0,54;0,54
"training";-2,282;2,282
"tqt";-3,043;3,043
"toxique";-0,54;0,54
"tournée";0,075;-0,075
"tournure";1,649;-1,649
"thérapie";1,649;-1,649
"thaï";-3,043;3,043
"terrorisme";0,674;-0,674
"temp";-0,54;0,54
"taupe";3,946;-3,946
"séparation";1,649;-1,649
"syrie";-0,54;0,54
"suède";-3,043;3,043
"surreprésentés";5,261;-5,261
"sud";-0,119;0,119
"stipuler";0,075;-0,075
"stat";0,075;-0,075
"standard";5,261;-5,261
"st";-3,043;3,043
"spécifiquement";0,674;-0,674
"souverain";0,075;-0,075
"sous_estimer";5,261;-5,261
"soi_disant";1,649;-1,649
"soeur";0,674;-0,674
"sociétal";-0,54;0,54
"singulier";5,261;-5,261
"serrer";1,649;-1,649
"serieux";-3,043;3,043
"sensibiliser";0,075;-0,075
"sensation";-3,043;3,043
"sdf";-0,54;0,54
"sauvage";0,075;-0,075
"satellite";5,261;-5,261
"sarcastique";0,075;-0,075
"salir";-3,043;3,043
"saisonnier";5,261;-5,261
"rösti";-3,043;3,043
"révélateur";1,649;-1,649
"révolte";5,261;-5,261
"réviser";5,261;-5,261
"rétablir";-0,54;0,54
"résister";-0,54;0,54
"résidence";5,261;-5,261
"réputation";5,261;-5,261
"rédaction";1,649;-1,649
"russie";-0,54;0,54
"ruiner";-2,282;2,282
"rouler";-0,54;0,54
"romandie";1,649;-1,649
"risquer";-3,043;3,043
"rhône";-2,282;2,282
"revendiquer";5,261;-5,261
"revendication";-3,043;3,043
"restreindre";5,261;-5,261
"restaurer";0,075;-0,075
"ressource";0,075;-0,075
"rentabilité";-3,043;3,043
