"";"";"";"";"camp";""
"292";"classique";"-0.542763794677832";"0.675670212507688";"0.822247183330537";"656"
"293";"août";"-0.381580593119964";"-0.130235917492118";"0.822247183330537";"657"
"294";"patiner";"-0.576195269081118";"0.669523592027127";"0.822247183330537";"658"
"295";"loi";"-0.446542308832362";"0.697749300446738";"0.822247183330537";"659"
"296";"emploi";"-0.446542308832362";"0.697749300446738";"0.822247183330537";"660"
"297";"lancer";"-0.418997104760867";"-0.502177279858231";"0.821707153377207";"661"
"298";"repos";"-0.499342612740627";"0.185518070579313";"0.821433720489445";"662"
"299";"boîte";"-0.579367038074218";"0.649061359119688";"0.821433720489445";"663"
"300";"santé";"-0.49599707649944";"-0.0155455823507938";"0.82084242186966";"664"
"301";"style";"-0.477485546316377";"0.221464941407997";"0.82084242186966";"665"
"302";"rassembler";"-0.452319261070314";"-0.135808791454844";"0.82084242186966";"666"
"303";"écouter";"0.128170847634626";"0.0271238833528816";"0.818719899078407";"667"
"304";"vallée";"-0.579174180813551";"0.293861965326872";"0.818145690014107";"671"
"305";"congé";"-0.576198749056734";"0.374160620792514";"0.818145690014107";"672"
"306";"georges";"-0.378434954874473";"-1.02681412385659";"0.818145690014107";"673"
"307";"draguer";"-0.543898145568519";"0.554489765426744";"0.818145690014107";"674"
"308";"ressembler";"-0.537690402171332";"1.65058145152388";"0.818145690014107";"675"
"309";"grève";"-0.44767665972305";"0.576568853365794";"0.818145690014107";"676"
"310";"dépendre";"-0.44767665972305";"0.576568853365794";"0.818145690014107";"677"
"311";"dormir";"-0.475787311635015";"-0.874710687641968";"0.818145690014107";"678"
"312";"population";"-0.28536258725011";"-0.403519800787682";"0.818145690014107";"679"
"313";"policier";"-0.546873577325336";"0.474191109961102";"0.818145690014107";"680"
"314";"maussade";"-0.543898145568519";"0.554489765426744";"0.818145690014107";"681"
"315";"habituer";"-0.446545788807978";"0.402386329212124";"0.818145690014107";"682"
"316";"fashion";"-0.601354825264372";"0.472543067969627";"0.818145690014107";"683"
"317";"saison";"-0.49395669827476";"0.0889598105262686";"0.816163301577832";"685"
"318";"nombreux";"-0.236338931757726";"0.472826997542803";"0.816036838867242";"686"
"319";"principe";"-0.578039829922863";"0.415042412407816";"0.815999241845175";"689"
"320";"nautique";"-0.415725757449924";"-0.56504624174566";"0.815999241845175";"690"
"321";"vendeur";"-0.576908959007791";"0.240859888254146";"0.815999241845175";"691"
"322";"cas";"-0.382294283046638";"-0.558899621265099";"0.815999241845175";"692"
"323";"sirène";"-0.476497521586072";"-1.00801142018034";"0.815999241845175";"693"
"324";"exercice";"-0.472412074966674";"0.367468043850869";"0.815999241845175";"695"
"325";"bienvenue";"-0.382294283046638";"-0.558899621265099";"0.815999241845175";"696"
"326";"aider";"-0.472412074966674";"0.367468043850869";"0.815999241845175";"697"
"327";"monter";"-0.382294283046638";"-0.558899621265099";"0.815999241845175";"698"
"328";"imaginer";"-0.383425153961709";"-0.38471709711143";"0.815999241845175";"699"
