"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11"
"téléspectateur";1;0,517;1;0,278;1;1;1;1;0,342;1;0,042
"téléphone";1;0;1;1;0,765;1;0,346;1;1;1;1
"tromper";1;1;1;1;1;1;1;0,965;0,001;0,981;0,932
"série";1;1;1;1;1;1;0;1;1;1;0,002
"sécurité";1;1;0,305;1;0,765;0,255;0,346;0,965;0,954;0,981;1
"spécialiste";1;1;1;1;0,006;1;0,346;1;1;0,264;0,932
"sourire";1;1;1;1;0,642;0,186;1;1;0,155;0,848;0,801
"sapin";1;1;1;1;1;1;0;1;0,954;0,981;1
"retraité";1;0,333;1;1;0,075;0,186;1;1;0,155;1;1
"rapidement";1;1;0,305;1;1;1;0;1;0,954;0,981;0,932
"président";1;1;0;1;0,642;1;1;1;1;1;0,801
"profession";0,459;1;1;0,214;0,129;1;1;1;0,954;0,981;0,932
"porter";1;1;1;1;1;1;1;1;1;0;1
"pilote";1;1;1;1;1;0,186;1;0;1;0,848;1
"pierre";1;1;1;1;0;1;1;1;0,954;0,981;1
"pied";1;1;1;0;1;1;1;1;1;0,524;1
"phénomène";1;1;1;1;1;1;1;1;1;0,366;0
"physique";1;1;1;0,096;0,506;1;1;0,682;0,672;1;0,652
"particulier";1;1;1;0;0,765;1;1;1;0,954;1;0,932
"parole";1;1;1;1;0;1;0,346;1;1;0,264;1
"pain";1;1;0,382;0;1;1;1;1;1;1;1
"obligatoire";1;1;1;1;0,002;1;1;1;0,822;0,17;1
"novembre";1;1;1;1;0,765;1;0;1;1;1;0,228
"ménager";1;1;1;1;1;1;1;1;1;0;1
"mémoire";0,552;1;1;1;1;1;0,022;1;1;1;0
"médecin";1;1;1;0,214;0,006;1;1;1;0,244;0,981;1
"musical";0,459;0,021;0,305;1;0,765;1;1;1;0,244;1;1
"moyen";1;0,238;0,153;1;0,506;1;0,181;0,682;1;1;1
"mouvement";1;1;1;1;0,035;0,121;1;1;1;0,697;0,652
"légende";1;1;1;1;0,765;0,255;1;1;0,954;0,027;0,932
"lieu";1;1;1;1;1;0,325;1;1;0,002;1;0,042
"jouet";1;0,238;1;1;0,035;1;1;1;1;0,092;1
"interview";0,048;1;1;1;0,876;1;0,022;1;1;1;1
"incontournable";1;1;1;1;1;0,065;1;1;0;1;1
"important";1;1;1;1;0,359;1;1;1;0;1;1
"hésiter";1;0,427;1;1;0,765;0,255;1;1;0,954;0,264;0,932
"habitant";1;1;1;0;1;0,255;1;1;0,244;1;1
"final";1;1;1;1;1;1;0;1;0,822;1;1
"facile";1;0,427;0;1;1;0,255;1;1;0,954;1;1
"entier";0;1;1;0,278;1;0,325;1;1;1;1;1
"emji_drapeau_suisse";1;1;1;1;1;1;0,004;1;1;0,848;0,008
"dieu";1;1;1;0,096;1;1;1;0,682;0,083;0,697;1
"crédit";1;1;1;1;1;1;0;1;1;0,524;0,485
"comprendre";1;1;1;1;0;1;1;0,511;1;1;1
"championnat";1;1;1;1;1;0,186;1;1;0,822;1;0
"carte";1;0,001;1;1;1;0,065;1;0,511;1;1;1
"café";1;1;0,153;0,096;1;1;1;0,087;0,672;1;1
"bois";1;0,238;1;1;0,035;1;1;0,682;0,672;1;1
"bernard";0,361;1;1;1;0,642;1;1;0,833;1;0,17;0,801
"bain";1;0,146;1;0,049;0,359;1;1;1;1;1;0,485
"aventure";1;1;1;1;1;1;1;0,252;0,244;0,981;0,228
"artiste";1;1;1;1;0;1;1;0,965;1;0,981;1
"arriver";1;0,333;1;1;1;1;1;1;0;1;0,801
"argent";1;0;1;1;1;1;1;1;1;1;1
"annonce";1;0,333;0,228;0,153;0,075;1;1;0,833;1;1;1
"ancien";0,552;1;0,015;0,278;1;1;0,428;1;0,342;1;1
"affronter";1;1;1;1;1;1;0;1;1;1;0
"affaire";1;1;0,003;0,153;1;1;1;1;0,822;1;0,144
"accueillir";1;1;0,003;1;1;1;0,263;1;0,822;1;0,144
"étape";1;1;1;1;1;1;1;1;0,316;0,333;0,302
"élève";1;1;1;1;1;1;1;1;1;0;1
"édition";1;1;1;1;1;1;1;1;1;1;0
"vih";1;1;1;1;0;1;1;0,833;1;1;0,801
"vendredi";1;0;0,153;1;1;1;1;1;1;1;0,652
"vaud";1;1;1;1;0;1;1;1;1;0,027;1
"vache";1;0,333;1;0,153;1;0,001;1;1;0,155;1;1
"tradition";1;1;1;1;0,006;1;0,346;1;0,244;0,981;1
