"";"V1"
"1696";0
"1697";1
"1698";0
"1699";2
"1700";0
"1701";0
"1702";0
"1703";1
"1704";3
"1705";0
"1706";1
"1707";1
"1708";0
"1709";1
"1710";0
"1711";1
"1712";3
"1713";1
"1714";3
"1715";0
"1716";1
"1717";0
"1718";0
"1719";0
"1720";0
"1721";0
"1722";0
"1723";0
"1724";0
"1725";0
"1726";0
"1727";0
"1728";0
"1729";0
"1730";2
"1731";0
"1732";0
"1733";0
"1734";1
"1735";0
"1736";0
"1737";3
"1738";1
"1739";2
"1740";0
"1741";0
"1742";3
"1743";3
"1744";0
"1745";0
"1746";0
"1747";0
"1748";0
"1749";0
"1750";0
"1751";0
"1752";0
"1753";0
"1754";3
"1755";3
"1756";3
"1757";0
"1758";0
"1759";0
"1760";0
"1761";1
"1762";3
"1763";3
"1764";0
"1765";0
"1766";1
"1767";0
"1768";0
"1769";0
"1770";0
"1771";0
"1772";0
"1773";0
"1774";1
"1775";0
"1776";0
"1777";0
"1778";1
"1779";3
"1780";2
"1781";0
"1782";3
"1783";0
"1784";0
"1785";3
"1786";0
"1787";0
"1788";2
"1789";0
"1790";3
"1791";0
"1792";1
"1793";0
"1794";2
"1795";1
"1796";0
"1797";0
"1798";0
"1799";0
"1800";0
"1801";2
"1802";0
"1803";0
"1804";0
"1805";0
"1806";0
"1807";0
"1808";0
"1809";0
"1810";2
"1811";3
"1812";3
"1813";1
"1814";3
"1815";0
"1816";1
"1817";1
"1818";0
"1819";2
"1820";2
"1821";1
"1822";3
"1823";0
"1824";3
"1825";3
"1826";0
"1827";2
"1828";0
"1829";0
"1830";0
"1831";3
"1832";3
"1833";3
"1834";1
"1835";1
"1836";3
"1837";0
"1838";3
"1839";0
"1840";0
"1841";1
"1842";0
"1843";0
"1844";0
"1845";0
"1846";0
"1847";0
"1848";1
"1849";3
"1850";0
"1851";0
"1852";0
"1853";3
"1854";2
"1855";2
"1856";0
"1857";2
"1858";1
"1859";0
"1860";2
"1861";0
"1862";2
"1863";0
"1864";0
"1865";3
"1866";0
"1867";3
"1868";2
"1869";0
"1870";0
"1871";0
"1872";3
"1873";0
"1874";3
"1875";0
"1876";2
"1877";0
"1878";3
"1879";0
"1880";3
"1881";3
"1882";0
"1883";0
"1884";3
"1885";3
"1886";0
"1887";3
"1888";3
"1889";0
"1890";3
"1891";2
"1892";3
"1893";0
"1894";3
"1895";0
"1896";0
"1897";1
"1898";0
"1899";0
"1900";0
"1901";0
"1902";3
"1903";1
"1904";0
"1905";2
"1906";2
"1907";0
"1908";1
"1909";0
"1910";3
"1911";3
"1912";0
"1913";0
"1914";0
"1915";0
"1916";0
"1917";0
"1918";0
"1919";0
"1920";0
"1921";0
"1922";0
"1923";0
"1924";1
"1925";0
"1926";0
"1927";3
"1928";0
"1929";0
"1930";1
"1931";0
"1932";3
"1933";2
"1934";2
"1935";2
"1936";0
"1937";1
"1938";0
"1939";0
"1940";0
"1941";0
"1942";0
"1943";3
"1944";0
"1945";1
"1946";3
"1947";0
"1948";3
"1949";0
"1950";1
"1951";3
"1952";3
"1953";1
"1954";0
"1955";0
"1956";0
"1957";0
"1958";3
"1959";3
"1960";0
"1961";3
"1962";0
"1963";0
"1964";0
"1965";0
"1966";0
"1967";0
"1968";0
"1969";2
"1970";0
"1971";0
"1972";1
"1973";0
"1974";1
"1975";3
"1976";0
"1977";2
"1978";0
"1979";3
"1980";0
"1981";0
"1982";0
"1983";0
"1984";0
"1985";0
"1986";0
"1987";3
"1988";3
"1989";0
"1990";0
"1991";0
"1992";1
"1993";0
"1994";0
"1995";0
"1996";0
"1997";0
"1998";0
"1999";0
"2000";2
"2001";2
"2002";1
"2003";2
