"";"*rts_a";"*rts_i"
"inspirer";11;22
"emji_visage_souriant_avec_une_larme";14;19
"pardonner";14;2
"ignorance";21;28
"quasi";10;9
"visage";7;18
"informer";19;41
"occasion";6;13
"tien";4;8
"cest";27;30
"subir";24;37
"ceci";14;13
"information";23;101
"fascinant";12;5
"votations";1;9
"assez";38;70
"emji_femme_avec_la_paume_sur_le_visage_peau_moyennement_claire";3;8
"dangereux";13;34
"arbitre";11;2
"emji_femme_qui_hausse_les_épaules_peau_claire";5;15
"admirer";11;4
"dont";50;83
"malsain";12;9
"immense";9;13
"adjectif";3;7
"coller";8;17
"désigner";22;5
"habitant";3;9
"région";9;10
"arriver";75;107
"catastrophe";13;5
"protection";2;21
"civil";2;21
"intervenir";3;23
"emji_visage_bâillant";8;13
"us";1;10
"pompier";1;12
"leurs";84;143
"emji_deux_coeurs";5;5
"doute";34;59
"chemin";7;11
"ramasser";2;8
"moderne";12;6
"historique";15;24
"couple";16;58
"emji_visage_retenant_ses_larmes";7;3
"dépendre";14;3
"ancêtre";17;5
"identité";8;17
"respecter";23;42
"stp";12;23
"citoyen";4;44
"20";27;22
"correctement";30;33
"frère";7;5
"culture";52;84
"nommer";13;4
"ressembler";16;13
"étrangement";5;6
"conclure";5;10
"etat";1;11
"majorité";16;48
"partenaire";4;7
"mondial";4;6
"libéral";4;10
"conservateur";3;13
"apprécier";28;10
"garder";25;27
"indiquer";6;10
"adresse";6;7
"ouverture";6;7
"zéro";6;17
"contact";3;8
"emji_visage_qui_hurle_de_peur";7;7
"reprendre";9;22
"approcher";14;12
"honte";28;39
"entièrement";6;11
"critique";26;56
"pari";7;6
"13";8;3
"quartier";8;11
"adorable";11;1
"caissier";6;5
"négatif";19;20
"fermer";9;17
"gueule";10;14
"positif";17;32
"sûrement";18;37
"douter";6;6
"souci";20;47
"certes";12;13
"refuser";11;39
"censé";6;20
"déplacer";8;8
"acte";8;38
"population";31;67
"général";21;45
"questionner";5;7
"expérience";27;32
"rappel";11;5
"contrôler";5;13
"tradition";3;10
"courant";23;35
"ensuite";22;45
"jouer";11;34
"vérifier";8;16
"profiter";6;24
"rappeler";19;40
"ridicule";32;39
"qqch";9;22
"quelque";40;70
"mien";6;4
"filmer";6;8
"diffuser";10;14
"soirée";5;8
"emji_visage_de_clown";23;30
"caméra";6;7
"média";15;86
"exposer";13;16
"télévision";10;3
"devant";18;25
"mental";6;17
"renseigner";25;67
"expert";8;16
"intérêt";24;43
"mentir";6;29
"pote";8;13
"ennemi";6;5
"entrain";8;7
"humanité";22;41
"tromper";36;24
"anti";8;35
"ethnie";9;3
"sale";10;1
"italien";21;14
"allemand";7;44
"théorie";12;22
"choc";4;7
"sympa";4;12
"équipe";10;6
"carrément";5;7
"mode";28;29
"2023";15;4
"tes";56;85
"acheter";14;16
"mille";5;11
"vote";13;36
"réfléchi";14;21
"sensé";15;19
"dépasser";8;14
"générer";3;13
"12";8;9
"11";5;6
"emji_visage_confus";6;4
"tolérance";4;12
"marketing";2;8
"souffrance";7;26
"magasin";6;4
"quotidien";7;17
"tv";4;8
"largement";6;13
"visible";2;12
"diriger";5;8
"consommateur";4;7
"maladie";7;11
"régime";2;22
"retourner";15;14
"plait";9;2
"admettre";14;8
"parfaire";9;13
