"";"X.rts_a";"X.rts_i"
"tabac";0,4064;-0,4064
"expliquer";-1,7294;1,7294
"cacher";-0,3238;0,3238
"considérer";-1,6579;1,6579
"grave";-1,1769;1,1769
"accident";-2,5412;2,5412
"21";-0,8682;0,8682
"janvier";-2,8821;2,8821
"vd";-1,8617;1,8617
"genevois";1,4329;-1,4329
"immense";0,6907;-0,6907
"naître";-0,2853;0,2853
"htag_culte";5,2577;-5,2577
"europe";-5,0274;5,0274
"noir";-0,2912;0,2912
"5";-2,3612;2,3612
"vidéo";-1,4678;1,4678
"demander";-2,592;2,592
"sexuel";-2,0218;2,0218
"romands";0,9178;-0,9178
"roi";1,0953;-1,0953
"siècle";0,596;-0,596
"inspirer";-0,3397;0,3397
"artiste";-1,46;1,46
"9";-0,7952;0,7952
"nuit";-1,3861;1,3861
"neige";0,7464;-0,7464
"quatre";-4,3051;4,3051
"mois";-1,9863;1,9863
"tôt";-1,8617;1,8617
"remporter";-2,7045;2,7045
"nature";1,5033;-1,5033
"poursuivre";-0,7376;0,7376
"htag_nature";4,1309;-4,1309
"7";-1,1866;1,1866
"chien";1,8357;-1,8357
"mère";1,1412;-1,1412
"total";-0,4807;0,4807
"me";3,6063;-3,6063
"1980";4,1309;-4,1309
"abri";1,0953;-1,0953
"renoncer";-1,0311;1,0311
"souvent";-3,9805;3,9805
"mauvais";0,6907;-0,6907
"menace";-0,4807;0,4807
"condition";-2,1061;2,1061
"6";-1,8494;1,8494
"objet";-0,4692;0,4692
"projet";-8,8133;8,8133
"12";-1,0808;1,0808
"club";1,3429;-1,3429
"emblématique";-0,8953;0,8953
"genevoise";0,2655;-0,2655
"identifier";-2,6982;2,6982
"adepte";3,9514;-3,9514
"comprendre";-0,2251;0,2251
"htag_chanson";4,1309;-4,1309
"quelque";2,2677;-2,2677
"chose";3,333;-3,333
"région";-2,214;2,214
"week_end";-1,3175;1,3175
"entraîner";-0,5708;0,5708
"arbre";0,3758;-0,3758
"choix";0,6907;-0,6907
"tempête";-1,0245;1,0245
"vent";-0,2163;0,2163
"violent";-1,0311;1,0311
"spectaculaire";-0,4807;0,4807
"pluie";-0,6049;0,6049
"pousser";0,2373;-0,2373
"problème";-0,2163;0,2163
"htag_amour";7,5115;-7,5115
"magasin";0,2373;-0,2373
"venir";2,2061;-2,2061
"marché";-1,1717;1,1717
"boîte";0,7027;-0,7027
"possible";-0,3758;0,3758
"vente";-2,1812;2,1812
"32";-1,457;1,457
"franc";-6,9368;6,9368
"exemple";-0,2163;0,2163
"comportement";-0,4807;0,4807
"français";-0,5691;0,5691
"organiser";-0,8248;0,8248
"24";1,4335;-1,4335
"1981";3,7554;-3,7554
"ancien";-2,592;2,592
"unique";-1,1762;1,1762
"coup";0,3675;-0,3675
"delémont";-1,457;1,457
"espérer";-0,2163;0,2163
"ainsi";-3,8917;3,8917
"moitié";-2,106;2,106
"14";-1,3131;1,3131
"attention";4,5914;-4,5914
"droit";-0,6761;0,6761
"vote";-1,0308;1,0308
"devoir";-4,7674;4,7674
"chef";-0,2372;0,2372
"point";-0,265;0,265
"produire";-0,9168;0,9168
"contenir";-2,4864;2,4864
"mener";-3,6873;3,6873
"enquête";-5,873;5,873
"domicile";-0,5279;0,5279
"permettre";-3,0241;3,0241
"ménage";0,7027;-0,7027
"tsr";3,9514;-3,9514
"risque";-3,0982;3,0982
"90";1,0828;-1,0828
"dont";-5,0419;5,0419
"aérien";-1,1769;1,1769
"au_dessus";-0,3238;0,3238
"véhicule";-0,4807;0,4807
"incroyable";0,5298;-0,5298
"chanteur";0,7027;-0,7027
"phénomène";-1,1866;1,1866
"htag_2000s";13,1473;-13,1473
"htag_danse";3,7554;-3,7554
"air";1,0864;-1,0864
"particulier";0,8939;-0,8939
"htag_snow";4,1309;-4,1309
"chacun";1,3918;-1,3918
"htag_hiver";6,009;-6,009
"adulte";-1,1997;1,1997
"réunir";-0,4264;0,4264
"défi";-0,2912;0,2912
"preuve";0,6907;-0,6907
"déclarer";-0,8953;0,8953
"plateforme";-1,8617;1,8617
"site";-1,4678;1,4678
"géant";-3,4838;3,4838
"information";-0,8778;0,8778
"culture";-0,6431;0,6431
"évolution";-0,6796;0,6796
"impact";-2,4864;2,4864
"laisser";1,4335;-1,4335
"loin";4,1309;-4,1309
"étape";0,2655;-0,2655
"1999";2,9236;-2,9236
"celui";1,0953;-1,0953
"mercredi";-6,6391;6,6391
"tester";-1,457;1,457
"lorsqu";-0,4807;0,4807
"estimer";-2,1812;2,1812
"reconnaître";-0,6049;0,6049
"futur";-0,6431;0,6431
"fonds";-0,6796;0,6796
"fondue";2,3536;-2,3536
"membre";-3,892;3,892
"lutte";-0,7376;0,7376
"neuchâtelois";0,3758;-0,3758
"sembler";2,2677;-2,2677
"soldat";0,7027;-0,7027
"sortie";0,2373;-0,2373
"militaire";-0,265;0,265
"juillet";0,4064;-0,4064
"malgré";-1,8741;1,8741
"hiver";0,2671;-0,2671
"rapport";-3,0431;3,0431
"révéler";-9,2417;9,2417
"banque";0,3758;-0,3758
