htag_summer;1;0;0;2;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
htag_snow;0;0;0;2;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0
htag_skiing;0;0;0;1;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0
htag_nature;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1
htag_insolite;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0
htag_chanson;1;0;0;0;2;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0
croire;1;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0
90;0;0;0;0;0;0;0;2;0;1;1;2;0;1;2;0;0;0;1;0;1
5;0;0;1;0;0;0;1;0;0;1;3;0;0;0;0;0;1;0;0;1;0
1980;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;2
1969;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;2;1;0;1;0
1967;0;0;0;0;0;0;0;0;2;0;1;1;1;0;0;1;1;1;0;1;1
100;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;1;1;0
10;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;1;2;0;2;0
via;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0
