"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21"
"voir";1,34;-0,905;0,206;0,886;-0,039;0,168;7,371;-0,811;-0,968;0,518;1,453;-1,388;0,745;-1,128;-1,096;-0,595;0,106;-0,749;0;-1,192;-0,015
"soleil";-0,644;-0,582;0,843;43,666;-0,851;-0,462;-0,83;-0,522;0,315;-0,872;-0,623;0,042;-0,788;-0,726;-0,705;-0,383;-0,502;-0,482;-0,705;-0,767;15,798
"pays";-0,694;0,304;0,699;-0,805;0,031;-0,498;-0,895;0,439;0,233;-0,941;0,233;0,016;-0,85;-0,783;16,45;-0,413;-0,541;-0,52;0,13;0,076;0,063
"devenir";-0,949;0,053;-0,652;-1,101;-1,255;9,243;-1,224;0,116;-0,919;-0,028;1,655;-1,317;-1,162;9,962;0,002;4,259;-0,74;-0,71;-1,04;0,961;0,887
"rue";-0,898;-0,812;-0,616;18,407;-1,187;-0,644;0,904;-0,728;23,323;-1,216;-0,869;-1,246;-1,099;-1,012;-0,983;-0,534;18,101;-0,672;-0,983;1,132;-1,099
"passion";-0,593;13,067;-0,407;-0,688;-0,785;-0,426;0,13;-0,481;0,419;0,098;-0,574;0,084;0,17;-0,669;20,33;-0,353;-0,463;-0,444;-0,65;-0,707;-0,727
"musique";0,378;-0,537;-0,407;-0,688;0,113;-0,426;0,13;-0,481;-0,574;0,098;-0,574;-0,823;-0,727;-0,669;-0,65;-0,353;-0,463;-0,444;96,512;-0,707;-0,727
"histoire";-0,593;-0,537;-0,407;0,217;0,113;-0,426;-0,765;-0,481;0,419;-0,804;-0,574;-0,823;-0,727;-0,669;-0,65;1,364;15,811;-0,444;-0,65;30,875;-0,727
"festival";-0,196;-0,177;-0,134;-0,227;-0,259;5,778;2,644;-0,159;3,941;-0,265;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;5,211;-0,146;-0,214;-0,233;-0,239
"proposer";0,143;-0,674;-0,512;0,054;1,437;0,511;0,016;3,823;-0,721;-1,009;-0,721;-1,034;0,032;-0,84;0,083;-0,443;0,396;-0,558;-0,816;6,242;0,032
"lancer";-1,103;-0,999;-0,758;-1,28;0,373;39,818;0,417;-0,895;-1,068;10,721;-1,068;5,395;-1,351;-1,244;-0,012;-0,656;-0,86;0,072;-0,012;-1,316;-1,351
"évoquer";-0,745;3,158;-0,512;0,054;-0,985;-0,535;-0,961;-0,604;0,168;-1,009;-0,721;-1,034;1,72;2,059;7,128;-0,443;0,396;4,363;-0,816;0,042;-0,912
"venir";-0,846;-0,766;-0,581;0,01;4,135;-0,608;-1,092;-0,686;0,078;-1,147;-0,82;-0,006;0,002;-0,955;0,025;-0,503;19,559;0,289;-0,927;0,006;4,753
"réponse";-0,694;-0,628;5,584;-0,805;0,031;-0,498;-0,895;-0,563;-0,672;-0,941;-0,672;-0,963;143,343;-0,783;-0,761;-0,413;-0,541;-0,52;-0,761;-0,828;-0,85
"place";0,28;0,397;-0,442;-0,747;-0,851;-0,462;-0,83;0,552;-0,623;-0,872;-0,623;0,042;0,107;0,167;0,192;-0,383;0,614;14,962;2,943;-0,767;-0,788
"danse";-0,694;-0,628;-0,477;-0,805;-0,918;-0,498;13,225;4,31;-0,672;-0,941;0,233;0,016;-0,85;-0,783;-0,761;-0,413;-0,541;-0,52;42,508;-0,828;-0,85
"voyage";0,017;-0,859;186,605;-1,101;-1,255;3,069;-1,224;-0,769;0,027;-1,286;-0,919;-1,317;-1,162;0;-1,04;-0,564;-0,74;0,177;-1,04;0,961;-1,162
"travail";-0,694;0,304;0,699;-0,805;-0,918;-0,498;-0,895;0,439;0,233;0,023;0,233;1,53;2,023;-0,783;0,13;0,982;-0,541;-0,52;-0,761;0,076;0,063
"secret";-0,898;0,082;-0,616;1,219;119,618;-0,644;-1,158;-0,728;0,048;-1,216;-0,869;-1,246;-1,099;-1,012;-0,983;-0,534;-0,7;-0,672;0,01;0;-1,099
"prêt";-0,898;-0,812;10,665;0,002;-1,187;0,271;0,904;-0,728;1,884;-0,012;-0,869;-0,018;-1,099;-1,012;0,01;-0,534;18,101;-0,672;1,41;-1,07;-1,099
"plutôt";-0,393;-0,356;-0,27;-0,456;-0,52;-0,282;-0,507;1,682;-0,381;0,557;1,208;0,522;0,723;-0,444;0,934;-0,234;-0,307;1,93;-0,431;0,771;-0,482
"partager";-1;65,298;-0,687;-1,16;0,569;0,168;-1,29;0,082;-0,968;-0,049;0,012;-1,388;-1,225;-0,002;-1,096;3,898;0,106;0,135;-1,096;-0,009;-1,225
"parler";-0,694;3,59;-0,477;-0,805;-0,918;-0,498;-0,895;-0,563;-0,672;47,297;0,233;-0,963;0,063;-0,783;0,13;6,89;-0,541;-0,52;-0,761;-0,828;-0,85
"métier";-0,745;91,602;-0,512;-0,864;-0,985;-0,535;-0,961;-0,604;-0,721;-1,009;-0,721;0,003;5,977;0,067;0,083;0,835;-0,581;-0,558;-0,816;-0,888;-0,912
"mettre";-0,846;-0,766;-0,581;-0,982;9,388;-0,608;1,08;-0,686;-0,82;-1,147;2,145;-1,175;0,002;0,017;1,633;0,603;-0,66;-0,634;5,751;0,006;-1,037
"ville";-0,694;0,304;-0,477;0,092;-0,918;-0,498;-0,895;0,439;0,233;-0,941;-0,672;-0,963;-0,85;0,11;-0,761;-0,413;0,495;0,556;16,45;7,018;-0,85
