voilà;17;2;8;4;0;9;0;5;23;19;17;21;2;3;11;15;6;21;29
vite;9;9;2;3;1;4;4;5;21;21;29;16;1;2;6;13;6;46;7
3;22;17;5;4;0;2;1;8;20;18;14;15;4;4;7;11;7;47;2
pendant;33;12;1;7;0;15;3;4;13;15;23;9;2;1;4;5;18;42;6
bah;14;7;20;9;1;4;1;9;16;24;26;15;2;3;7;19;5;29;2
80;10;23;2;7;5;18;0;6;17;6;47;8;1;7;8;5;6;24;6
pourtant;17;8;4;8;0;4;1;4;23;22;31;27;2;6;6;5;4;23;4
aucun;15;8;22;3;2;4;2;6;42;34;13;11;1;0;5;3;5;27;0
peut_être;12;2;7;2;0;1;1;7;31;25;21;30;4;0;5;6;9;31;4
ici;7;7;6;15;0;5;3;11;21;21;13;19;2;0;10;12;7;33;6
loin;9;11;8;1;0;6;2;6;11;23;29;25;1;4;6;4;9;29;2
autant;26;3;8;6;0;3;0;7;20;23;16;26;2;4;7;2;12;28;6
ben;18;5;8;13;1;6;2;7;16;18;10;13;4;1;8;21;5;32;5
point;25;1;4;7;1;3;0;5;26;36;21;21;2;3;3;3;6;22;3
puis;21;8;7;7;0;8;0;6;14;22;16;21;2;0;3;6;11;37;3
sous;11;4;3;12;0;2;5;3;20;19;17;15;4;1;3;11;11;45;3
ailleurs;12;4;7;8;1;3;2;10;25;23;10;19;4;2;8;5;8;39;1
vive;7;1;3;12;1;43;13;12;5;15;11;5;0;0;2;4;3;7;24
assez;18;4;5;5;1;1;2;5;25;21;22;14;1;2;4;7;10;35;12
10;20;11;3;2;0;7;1;6;11;16;10;13;3;2;6;11;12;28;2
quelques;16;4;6;5;0;0;1;4;13;17;22;20;0;1;2;5;9;37;8
celui;13;2;5;1;0;4;1;6;22;18;10;21;2;4;4;9;4;20;7
tard;11;4;3;1;1;9;1;1;10;10;20;21;1;3;6;11;8;21;8
longtemps;17;2;6;6;1;3;2;5;10;13;18;16;3;3;4;8;5;34;7
fort;10;8;4;2;1;18;1;5;12;20;14;15;0;0;3;8;8;15;10
ok;9;6;4;5;1;7;0;6;23;19;9;14;4;1;8;11;4;18;3
60;7;7;1;3;1;9;1;6;32;12;26;9;0;1;2;8;4;18;5
quelqu_un;10;4;2;1;1;7;2;4;20;22;10;16;3;2;4;9;1;24;8
souvent;14;9;8;8;0;2;1;4;20;19;15;16;1;1;3;0;4;28;4
dont;15;2;6;4;1;7;2;3;21;30;14;17;2;2;2;2;12;16;2
70;6;19;1;4;3;11;1;8;13;6;37;8;0;0;6;5;7;26;1
50;9;6;1;2;0;5;0;2;19;17;21;8;2;2;3;8;10;31;6
aucune;11;1;7;8;1;4;0;1;20;37;14;18;3;1;4;2;8;10;2
tes;14;3;9;3;0;2;2;2;18;26;14;10;5;4;0;9;6;19;1
partout;16;2;10;18;0;2;0;4;15;9;9;10;0;1;4;9;4;33;3
sinon;9;4;6;19;0;3;0;2;13;17;12;15;2;3;5;5;8;26;3
hein;11;2;4;7;0;3;1;6;19;24;10;8;1;1;5;16;6;19;3
envers;9;2;15;4;1;9;0;1;15;19;17;14;2;0;3;5;4;24;3
20;11;9;6;3;1;3;2;5;18;12;14;9;1;3;3;8;6;33;0
enfin;13;4;4;3;0;9;2;4;22;23;13;11;2;0;3;4;2;18;6
2025;8;2;1;5;0;6;0;3;12;15;19;12;1;1;5;5;8;32;5
chacun;6;2;1;4;0;3;2;3;17;35;13;20;3;0;1;3;1;20;4
presque;10;5;4;6;0;5;0;10;15;8;13;15;1;0;5;12;5;21;4
parfois;19;7;0;1;0;2;1;6;12;21;13;15;2;1;4;9;4;21;1
5;10;16;2;7;0;5;2;1;9;7;5;5;2;2;7;7;9;33;1
sauf;17;5;3;7;0;1;2;17;14;16;11;4;1;0;3;5;8;26;0
con;12;5;2;2;2;4;2;2;11;13;11;8;2;0;2;14;5;29;6
quelque;10;2;3;0;0;1;1;1;24;23;11;27;2;2;0;4;2;16;3
plusieurs;12;3;6;12;0;3;0;11;12;14;14;10;3;0;0;0;10;23;2
4;11;5;4;4;1;5;4;6;10;8;10;7;1;1;5;5;7;30;3
90;3;14;8;2;5;9;0;3;7;7;27;5;0;2;7;6;3;23;3
mêmes;5;7;3;5;0;2;0;9;14;19;10;9;1;0;4;7;8;11;6
devant;10;5;5;1;0;4;0;1;11;15;11;15;4;0;5;5;6;27;1
vers;7;3;1;1;0;2;0;2;4;16;11;24;9;0;0;4;8;18;2
30;6;4;2;0;2;6;1;2;9;11;19;10;3;1;3;11;7;17;1
ainsi;18;6;1;2;0;1;0;0;16;25;11;19;3;0;0;2;7;13;2
celle;1;2;3;1;0;5;1;2;10;17;15;12;2;1;2;18;4;12;5
40;9;4;0;0;1;5;4;5;12;9;13;10;1;2;5;9;2;11;4
jusqu_à;7;9;5;3;0;1;4;3;8;10;6;14;0;1;2;1;6;26;2
grâce;7;3;1;2;1;7;0;1;6;20;7;7;2;0;2;1;11;18;15
certaines;13;6;2;5;0;3;0;3;6;23;12;9;0;0;2;0;7;18;2
derrière;4;3;4;16;0;5;0;2;10;9;7;6;1;2;1;3;2;27;1
8;2;11;0;4;0;0;0;0;10;9;14;9;2;1;0;3;5;24;3
2000;6;4;3;0;2;1;0;3;9;7;27;3;2;0;3;4;5;18;4
e;4;3;0;4;1;6;2;4;3;17;8;9;1;0;0;11;1;8;3
