"";"V1"
"1536";16
"1537";16
"1538";0
"1539";15
"1540";19
"1541";15
"1542";13
"1543";15
"1544";16
"1545";16
"1546";18
"1547";16
"1548";6
"1549";6
"1550";9
"1551";15
"1552";19
"1553";0
"1554";8
"1555";12
"1556";0
"1557";19
"1558";4
"1559";6
"1560";1
"1561";16
"1562";0
"1563";15
"1564";3
"1565";18
"1566";18
"1567";19
"1568";12
"1569";15
"1570";11
"1571";9
"1572";12
"1573";10
"1574";19
"1575";19
"1576";18
"1577";12
"1578";0
"1579";19
"1580";9
"1581";19
"1582";11
"1583";18
"1584";12
"1585";10
"1586";19
"1587";18
"1588";12
"1589";12
"1590";12
"1591";18
"1592";12
"1593";12
"1594";18
"1595";18
"1596";10
"1597";18
"1598";6
"1599";19
"1600";10
"1601";18
"1602";18
"1603";19
"1604";8
"1605";10
"1606";6
"1607";17
"1608";12
"1609";9
"1610";17
"1611";18
"1612";15
"1613";16
"1614";8
"1615";1
"1616";1
"1617";8
"1618";12
"1619";9
"1620";16
"1621";8
"1622";1
"1623";1
"1624";15
"1625";17
"1626";18
"1627";17
"1628";1
"1629";10
"1630";9
"1631";18
"1632";1
"1633";1
"1634";1
"1635";0
"1636";12
"1637";1
"1638";1
"1639";1
"1640";1
"1641";11
"1642";2
"1643";15
"1644";10
"1645";10
"1646";12
"1647";1
"1648";1
"1649";3
"1650";12
"1651";12
"1652";11
"1653";18
"1654";1
"1655";10
"1656";11
"1657";18
"1658";19
"1659";1
"1660";8
"1661";6
"1662";17
"1663";7
"1664";16
"1665";15
"1666";0
"1667";16
"1668";11
"1669";6
"1670";12
"1671";18
"1672";0
"1673";11
"1674";12
"1675";6
"1676";18
"1677";18
"1678";18
"1679";0
"1680";10
"1681";0
"1682";9
"1683";9
"1684";16
"1685";18
"1686";6
"1687";8
"1688";9
"1689";18
"1690";0
"1691";0
"1692";6
"1693";11
"1694";12
"1695";9
"1696";19
"1697";17
"1698";6
"1699";19
"1700";11
"1701";10
"1702";9
"1703";11
"1704";9
"1705";19
"1706";12
"1707";19
"1708";19
"1709";18
"1710";18
"1711";18
"1712";17
"1713";10
"1714";18
"1715";18
"1716";2
"1717";16
"1718";17
"1719";9
"1720";11
"1721";6
"1722";19
"1723";19
"1724";17
"1725";15
"1726";11
"1727";6
"1728";10
"1729";19
"1730";3
"1731";11
"1732";0
"1733";0
"1734";18
"1735";6
"1736";16
"1737";16
"1738";10
"1739";6
"1740";0
"1741";2
"1742";9
"1743";15
"1744";16
"1745";19
"1746";19
"1747";5
"1748";19
"1749";16
"1750";16
"1751";1
"1752";12
"1753";11
"1754";11
"1755";11
"1756";16
"1757";11
"1758";10
"1759";9
"1760";7
"1761";8
"1762";8
"1763";12
"1764";8
"1765";19
"1766";9
"1767";9
"1768";15
"1769";15
"1770";19
"1771";16
"1772";11
"1773";15
"1774";15
"1775";11
"1776";16
"1777";2
"1778";6
"1779";15
"1780";16
"1781";5
"1782";11
"1783";14
"1784";9
"1785";8
"1786";6
"1787";8
"1788";10
"1789";8
"1790";10
"1791";6
"1792";12
"1793";15
"1794";2
"1795";6
"1796";19
"1797";6
"1798";16
"1799";6
"1800";6
"1801";6
"1802";13
"1803";6
"1804";0
"1805";11
"1806";16
"1807";12
"1808";6
"1809";18
"1810";11
"1811";11
"1812";2
"1813";0
"1814";6
"1815";6
"1816";0
"1817";16
"1818";18
"1819";6
"1820";0
"1821";19
"1822";19
"1823";18
"1824";12
"1825";18
"1826";9
"1827";18
"1828";7
"1829";6
"1830";0
"1831";16
"1832";6
"1833";6
"1834";0
"1835";19
"1836";16
"1837";16
"1838";0
"1839";6
"1840";18
"1841";18
"1842";2
"1843";18
"1844";1
"1845";6
"1846";10
"1847";11
"1848";6
"1849";6
"1850";16
"1851";16
"1852";15
"1853";0
"1854";0
"1855";16
"1856";6
"1857";17
"1858";16
"1859";16
"1860";17
"1861";17
"1862";1
"1863";18
"1864";9
"1865";6
"1866";17
"1867";12
"1868";10
"1869";19
"1870";6
"1871";0
"1872";0
"1873";15
"1874";6
"1875";16
"1876";15
"1877";0
"1878";16
"1879";0
"1880";6
"1881";6
"1882";6
"1883";6
"1884";8
"1885";0
"1886";16
"1887";0
"1888";6
"1889";6
"1890";15
"1891";19
"1892";12
"1893";12
"1894";6
"1895";18
"1896";0
"1897";0
"1898";7
"1899";10
"1900";15
"1901";0
"1902";10
"1903";8
"1904";0
"1905";18
"1906";12
"1907";0
"1908";18
"1909";15
"1910";18
"1911";1
"1912";16
"1913";8
"1914";14
"1915";0
"1916";6
"1917";19
"1918";12
"1919";8
"1920";12
"1921";0
"1922";16
"1923";0
"1924";16
"1925";16
"1926";16
"1927";9
"1928";2
"1929";16
"1930";11
"1931";6
"1932";12
"1933";1
"1934";19
"1935";6
"1936";6
"1937";9
"1938";0
"1939";19
"1940";19
"1941";19
"1942";19
"1943";12
"1944";12
"1945";18
"1946";10
"1947";19
"1948";19
"1949";19
"1950";6
"1951";15
"1952";9
"1953";11
"1954";18
"1955";13
"1956";16
"1957";7
"1958";0
"1959";19
"1960";7
"1961";5
"1962";11
"1963";15
"1964";18
"1965";11
"1966";19
"1967";2
"1968";16
"1969";12
"1970";16
"1971";15
"1972";9
"1973";4
"1974";15
"1975";16
"1976";18
"1977";16
"1978";1
"1979";15
"1980";18
"1981";16
"1982";0
"1983";16
"1984";16
"1985";18
"1986";18
"1987";16
"1988";16
"1989";0
"1990";16
"1991";6
"1992";16
"1993";16
"1994";15
"1995";6
"1996";6
"1997";16
"1998";8
"1999";11
"2000";11
"2001";9
"2002";13
"2003";4
"2004";6
"2005";8
"2006";6
"2007";12
"2008";0
"2009";12
"2010";12
"2011";12
"2012";6
"2013";12
"2014";12
"2015";19
"2016";6
"2017";18
"2018";5
"2019";9
"2020";0
"2021";12
"2022";12
"2023";0
"2024";15
"2025";6
"2026";12
"2027";10
"2028";12
"2029";6
"2030";12
"2031";8
"2032";19
"2033";19
"2034";11
"2035";19
"2036";19
"2037";15
"2038";9
"2039";10
"2040";6
"2041";6
"2042";0
"2043";0
"2044";6
"2045";4
"2046";13
"2047";16
"2048";4
"2049";6
"2050";16
"2051";15
"2052";16
"2053";2
"2054";6
"2055";16
