emji_visage_soulagé;1;1;3;0;1;5;2;0;9;2;5;3;3;0;4;2;2;6;13
témoignage;2;0;1;1;0;1;0;0;7;8;9;17;0;0;0;0;1;3;80
lol;9;4;5;4;1;4;0;6;45;2;13;7;1;1;1;10;2;11;1
interdire;44;10;6;0;0;1;0;0;6;10;9;6;2;0;0;2;5;24;1
date;7;0;3;3;0;1;1;4;44;6;23;8;14;2;1;5;3;4;1
adulte;0;2;1;1;0;1;2;0;12;8;45;34;2;0;1;1;2;8;4
évoluer;12;1;1;2;0;0;0;0;17;63;11;4;0;0;1;2;3;6;0
prix;21;7;0;1;0;3;0;2;2;5;2;11;0;0;2;2;4;52;1
paix;3;1;1;2;0;1;0;0;2;6;3;13;0;0;1;0;1;9;79
moyen;6;1;3;11;0;1;2;0;6;24;15;21;3;1;2;3;8;15;1
etait;4;5;1;3;0;9;0;2;5;5;54;13;1;1;0;5;3;7;2
ouvrir;6;2;3;3;0;0;0;2;12;24;8;12;4;2;3;1;3;35;3
emji_visage_souriant_avec_une_larme;4;3;1;2;0;34;0;4;4;4;6;5;0;0;4;4;1;8;20
contraire;6;1;2;1;0;0;2;3;5;64;8;9;0;0;4;3;6;7;4
sauvage;116;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;1
bonjour;3;3;3;6;1;2;0;2;10;3;1;4;41;0;2;2;9;27;5
soir;31;12;3;5;0;2;2;0;3;0;6;4;1;0;0;4;2;43;2
nouveau;4;3;1;4;0;2;0;0;10;12;7;35;2;0;2;0;4;32;1
neige;4;2;8;1;0;3;45;4;5;3;6;2;0;1;2;3;4;22;2
maman;2;3;1;1;0;10;1;2;1;2;12;38;1;1;3;8;0;28;6
également;6;2;1;5;1;4;2;6;8;16;16;23;1;0;0;4;5;18;0
