"";"";"";"";"htag_christmas";""
"216";"car";"0.767783207703352";"-0.273877272108348";"0.821895426657676";"504"
"217";"145";"-0.139314838922966";"-0.555411989946041";"0.821827123854953";"505"
"218";"puisqu";"-0.210938660341821";"-0.470156344613451";"0.821827123854953";"506"
"219";"plus";"-0.0853343560696374";"0.124909070531792";"0.821616961385034";"507"
"220";"htag_animaux";"-1.63926518310476";"2.03893786354049";"0.821049522716254";"508"
"221";"htag_voyage";"-1.79015152471908";"1.50178033351707";"0.821049522716254";"509"
"222";"pour";"-0.308950212097357";"0.37110750949373";"0.820991728037027";"511"
"223";"1966";"-2.00117138383468";"0.76460362677201";"0.820870884616824";"513"
"224";"htag_summer";"-1.66975914157025";"1.77024130884383";"0.820846365662";"514"
"225";"htag_skinautique";"-1.66975914157025";"1.77024130884383";"0.820846365662";"515"
"226";"htag_waterski";"-1.66975914157025";"1.77024130884383";"0.820846365662";"517"
"227";"htag_tricot";"-3.11875253668879";"3.08721591460977";"0.820846365662";"518"
"228";"htag_knitting";"-3.11875253668879";"3.08721591460977";"0.820846365662";"519"
"229";"htag_camping";"-1.25670045178947";"1.71640712688465";"0.820846365662";"520"
"230";"même";"-0.412641016879598";"-0.331297054659855";"0.820723770887881";"521"
"231";"outre";"0.570761473180409";"0.468975976397481";"0.820657219439073";"522"
"232";"celles";"0.0278253944234659";"0.603995242498924";"0.820592419344182";"523"
"233";"surtout";"-0.0927775169943656";"0.122154126139021";"0.820574905805022";"524"
"234";"2030";"0.799152747512167";"0.280098072554392";"0.820550386850198";"525"
"235";"ailleurs";"1.05220098379838";"-0.35445516914443";"0.82049259217097";"526"
"236";"29";"-0.710109208250471";"-0.804450006384434";"0.820429543429995";"527"
"237";"différents";"0.484076077077026";"0.304649110476204";"0.820420786660415";"528"
"238";"comment";"-1.25464399363993";"0.990474912588855";"0.820412029890835";"529"
"239";"12";"-0.0716838365036422";"0.530195729663449";"0.820408527183003";"531"
"240";"sans";"-0.0641486161741522";"0.287440001177604";"0.820392764997759";"532"
"241";"des";"-0.0814457436553775";"0.390366459587696";"0.819996959012746";"533"
"242";"htag_running";"-2.54916318971578";"2.67629790904336";"0.81992515350219";"534"
"243";"htag_cuisine";"-2.70194187611844";"2.79588852748811";"0.81992515350219";"535"
"244";"tienne";"-1.16711285368195";"1.79377696811108";"0.81992515350219";"536"
"245";"trente";"0.302612840244066";"0.409284037482967";"0.819807812789819";"537"
"246";"pourquoi";"-2.21700927531782";"0.909396487915257";"0.819653693645212";"539"
"247";"avant";"-0.334785103605798";"-0.314620566246084";"0.819599401673817";"540"
"248";"qui";"-0.371387221570354";"0.179144352235028";"0.819546861056337";"541"
"249";"htag_60s";"-2.20941976057574";"1.96708945437532";"0.819240374121039";"543"
"250";"rien";"-1.63305094919924";"0.844969906231932";"0.819240374121039";"544"
"251";"tandis_qu";"0.153454139281567";"0.493300317505111";"0.819059984667693";"545"
"252";"htag_cheese";"-2.59839418234525";"2.60050520422285";"0.819059984667693";"546"
"253";"2004";"-1.35266473826973";"1.73488559905952";"0.819059984667693";"547"
"254";"212";"1.2380894604692";"-0.143409155374876";"0.819059984667693";"548"
"255";"aux";"-0.0156202602478746";"0.255149346569294";"0.818989930511053";"549"
"256";"65";"-0.210989613818742";"-0.461278990077286";"0.818764005855891";"553"
"257";"vos";"-1.86902027699396";"2.14565786799578";"0.818734232839319";"554"
"258";"6000";"0.856458939793902";"0.0277363457245636";"0.818665930036595";"555"
"259";"87";"-0.67813221726784";"0.959868514005681";"0.81860288129562";"557"
"260";"htag_swissfood";"-2.75823222919786";"2.78561309569297";"0.81860288129562";"558"
"261";"htag_radio";"-2.05831335214625";"0.557794087560581";"0.81860288129562";"560"
"262";"un";"-0.287006104720087";"0.356442420467964";"0.81857661098688";"563"
"263";"400";"0.746132024831462";"0.16000440290309";"0.818329670084726";"564"
"264";"encore";"-0.37934226709549";"-0.401864946313682";"0.818205323956691";"565"
"265";"trois";"0.178556575743877";"-0.578342486431895";"0.818049453458168";"566"
"266";"htag_70s";"-1.80960982070978";"1.97619198074006";"0.817989907425024";"567"
"267";"quant";"0.543350899933805";"-0.475760532362306";"0.817863809943073";"568"
"268";"htag_recette";"-2.60531788248633";"2.70482448344348";"0.817613366333087";"569"
"269";"voilà";"-2.65966106455818";"1.19123119002861";"0.817613366333087";"570"
"270";"htag_courseapied";"-2.60154904264168";"2.85450597572646";"0.817613366333087";"571"
