"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8"
"poser";0,16;-15,273;-18,294;2,188;-13,125;-2,171;550,374;-88,582
"respecter";-3,26;180,784;2,399;3,736;-5,913;1,644;-3,943;-83,932
"rappeler";-3,399;3,862;-0,899;-2,472;-10,233;-3,644;-5,407;36,521
"justement";-1,934;-0,372;-0,028;-2,441;-1,942;38,197;51,857;-95,724
"eau";619,863;-0,062;85,07;-1,118;0;-11,335;-25,416;-59,364
"voiture";-3,095;-31,808;766,314;-2,112;-11,996;-52,092;-55,641;-52,346
"service";-0,749;-8,047;146,173;0,716;-10,716;11,285;-3,964;-97,556
"santé";-3,196;-19,984;370,883;1,46;-12,425;-7,416;-17,024;-60,058
"écouter";-5,119;-19,078;-53,793;-7,159;-3,143;1,216;123,011;5,84
"garder";-0,19;-14,319;4,026;1,419;-2,239;67,137;-2,675;-31,561
"journée";13,722;-18,062;-22,807;-1,178;-2,766;71,007;0,175;-0,768
"sembler";-1,834;0,055;0,873;-0,135;-0,719;-2,659;108,613;-49,018
"mois";-0,652;-12,865;476,553;-2,009;-11,622;-19,975;-23,087;-65,377
"défendre";-4,907;359,09;-0,441;-6,863;-7,643;-0,076;2,49;-108,032
"réalité";-4,987;-0,491;0,002;-3,482;-12,264;23,338;108,098;-95,175
"valoir";-1,713;-8,864;109,734;-0,47;-0,071;-1,808;-9,831;-13,112
"exactement";-3,209;-3,33;-17,137;-5,15;0,111;0,091;195,236;-28,681
"ami";-0,644;-5,323;-17,135;0,313;-2,373;26,641;4,176;-0,086
"heureux";-3,045;-22,118;-32,901;0,279;-8,82;37,666;-16,751;62,991
"fou";-0,684;-2,739;-31,702;-0,429;-0,446;46,845;0,756;-0,005
"terre";-4,788;182,802;0,351;0,032;-7,214;11,262;-11,499;-70,598
"plaisir";-3,083;-19,14;-19,528;1,653;-4,299;-0,594;-3,542;115,602
"agir";-3,032;42,135;14,802;-2,038;-11,729;7,943;6,644;-106,786
"coeur";-4,722;-8,661;-30,394;9,019;-6,977;-3,128;-6,461;149,871
"air";-0,66;-17,144;-4,169;-2,024;0,087;43,35;-4,381;0,26
"reportage";0,316;-22,118;-60,009;-6,808;-11,782;-24,096;-12,171;438,7
"possible";-2,956;-0,658;83,2;-3,213;-5,971;1,917;-0,03;-52,845
"manière";-2,994;-0,737;-0,122;-1,994;-0,71;15,317;54,153;-57,364
"foutre";-4,841;8,433;-0,824;0,877;91,649;5,536;-0,335;-59,823
"ouvrir";-0,605;-0,003;2,081;-6,642;-2,967;13,743;34,024;-61,654
"mdr";0,016;-3,783;-17,135;-1,036;1207,219;-18,681;-15,049;-28,654
"expliquer";0,024;0,247;1,73;-0,979;-0,304;-1,738;121,703;-76,068
"truc";8,517;-8,052;0,318;-0,381;9,786;35,365;-0,134;-41,513
"gagner";-4,603;-18,561;563,608;-4,555;-5,394;-32,938;-18,016;-74,92
"incroyable";-1,593;-12,696;-22,56;-4,825;-6,06;-28,081;-13,775;311,528
"bidet";17969,272;-33,959;-84,664;-6,124;-14,939;-77,014;-49,025;-30,346
"europe";0,471;90,632;77,474;-4,591;-2,656;-7,439;-4,442;-86,854
"oeil";-0,59;1,167;-14,859;-3,146;-2,153;35,009;0,138;-2,516
"génération";-4,603;-18,561;-31,193;-2,997;0,592;166,135;-10,975;-0,921
"canton";-4,366;-23,697;730,161;-4,232;-18,889;-74,442;-21,151;-53,286
"trump";-4,577;546,922;0,297;-4,519;0,007;-28,23;0,022;-102,798
"protéger";-4,603;84,841;5,879;1,19;-9,217;12,781;-4,287;-74,92
"interdire";-1,307;1,663;108,977;32,612;-0,074;0,239;-20,531;-84,897
"gouvernement";-4,603;810,599;-0,299;-4,555;-7,83;-11,851;-9,014;-106,003
