"";"";"";"";"vous";""
"76";"assez";"0.24561083811059";"-0.341755869124638";"0.925297837104912";"129"
"77";"20";"0.242473181857435";"-0.041430606461053";"0.923713471898414";"130"
"78";"pendant";"0.283640997121308";"-0.110232464677367";"0.918389454518547";"133"
"79";"aucun";"0.533816581062693";"0.204835307364084";"0.917570904042831";"134"
"80";"me";"-0.507419247291287";"-0.0659016780736076";"0.916085131750775";"135"
"81";"personne";"0.150868679881192";"0.0466456267858832";"0.914872209617291";"136"
"82";"chacun";"0.155787799889403";"-0.430299816533634";"0.914415930780687";"137"
"83";"leurs";"0.409977718499399";"0.0226281586963106";"0.912393629605389";"138"
"84";"mal";"0.0179649047238838";"-0.148802647873957";"0.911281593244822";"139"
"85";"alors";"0.355956592667031";"-0.099102153207452";"0.909488577917063";"140"
"86";"an";"-0.162822565393041";"0.0257664567096924";"0.908122034265728";"141"
"87";"hors";"0.480279551055082";"-0.476255109556049";"0.907805619796123";"142"
"88";"sans";"0.292420255304588";"-0.186662946545273";"0.905331625501172";"144"
"89";"son";"-0.188651830006037";"0.0965566093866853";"0.904863882372192";"145"
"90";"surtout";"0.122675215144537";"-0.252104693800227";"0.903185509968202";"146"
"91";"avant";"0.020484693328291";"0.0264216213219007";"0.902550388170518";"147"
"92";"peut_être";"0.272123515225482";"-0.124448056774951";"0.901497966130312";"148"
"93";"non";"0.279789244082072";"0.00467408414707543";"0.899030850410786";"149"
"94";"quoi";"0.150793463513914";"0.0297473348699493";"0.897886714031564";"150"
"95";"ces";"-0.00612463844612443";"0.162751988286431";"0.894899119438125";"153"
"96";"14";"0.152566047366122";"-0.0191745194340468";"0.893294118505348";"155"
"97";"parce_que";"0.433336357716335";"-0.187052656805106";"0.891255767320722";"156"
"98";"13";"-0.0828425884059818";"0.17516712190238";"0.890886617106183";"157"
"99";"tous";"0.0486571182060627";"0.0609458793869967";"0.890581666928956";"159"
"100";"aucunement";"0.648086682317991";"0.121133320189517";"0.890164366686434";"160"
"101";"cela";"0.258462246604031";"-0.122420524956152";"0.889552173473503";"164"
"102";"derrière";"0.219396750748569";"-0.388437964646613";"0.88929995904121";"165"
"103";"cette";"-0.572976513443849";"0.17637423973904";"0.887983858276333";"166"
"104";"ta";"-0.00546401887158642";"-0.110906209069475";"0.883723727229049";"168"
"105";"chez";"-0.0944479769388234";"-0.359302539739556";"0.883203248355135";"169"
"106";"dont";"0.443440664429778";"0.222714297386049";"0.88215999774883";"171"
"107";"sinon";"0.176453905636203";"-0.436415605338657";"0.882052233400486";"172"
"108";"beaucoup";"-0.268350799281156";"-0.263135527811545";"0.880814089823773";"173"
"109";"point";"0.32186538505133";"-0.184219537902374";"0.876141244250918";"174"
"110";"jamais";"0.0918570124842962";"-0.0362290200796625";"0.875659743971085";"175"
"111";"autant";"0.246591458036011";"-0.211095560188771";"0.873311856892281";"177"
"112";"croire";"0.0729296025440479";"0.080083382821882";"0.873217849694789";"178"
"113";"htag_cqfd";"0.187625997243552";"-0.255913138117795";"0.86909987587298";"181"
"114";"ceux";"0.429937886369912";"-0.0649918361986769";"0.869033382977193";"182"
"115";"74";"-0.0566181310545681";"-0.191166788077949";"0.868336354000673";"183"
"116";"parfois";"-0.0562592982983658";"-0.259869010081265";"0.867137189018042";"187"
"117";"eux";"0.313629848437522";"0.0811852706424432";"0.866729060209421";"189"
"118";"certaines";"0.259818690156786";"-0.421429663698764";"0.864174815867831";"191"
"119";"tant";"0.120645785616808";"-0.00729432664091861";"0.859861949075613";"193"
"120";"vôtre";"0.238040316304027";"0.125486192344616";"0.858988369996488";"194"
"121";"bah";"0.0465933278872058";"-0.0899972775334431";"0.857225161828909";"196"
"122";"maintenant";"-0.175664374818965";"-0.079872563251935";"0.855996189686097";"197"
