"";"*rts_a";"*rts_i"
"emji_chat_qui_sourit_avec_des_yeux_rieurs";5;6
"spirituel";9;2
"ramasser";23;36
"lever";44;30
"emji_visage_éméché";49;25
"terriblement";14;6
"jeu";332;90
"lumière";47;55
"noisette";13;1
"québec";48;0
"ramener";47;50
"jurer";71;54
"ahah";39;15
"réaction";33;45
"mot";432;272
"comportement";53;75
"signaler";12;22
"plaire";81;80
"plaie";4;10
"parole";108;93
"silence";28;46
"harcèlement";20;35
"rdv";9;10
"faciliter";6;30
"influence";16;32
"expo";8;5
"site";37;73
"parc";14;26
"activité";45;58
"thème";15;9
"commencer";150;371
"ressentir";57;32
"relation";20;65
"amical";7;3
"mari";91;34
"âme";141;60
"riche";94;633
"laid";9;2
"salaire";65;383
"subir";63;145
"résister";8;20
"pire";205;254
"parallèle";10;25
"civil";13;255
"commun";48;113
"adresse";22;29
"couple";57;130
"mesure";23;165
"office";9;25
"foyer";29;62
"condition";42;144
"mariage";51;20
"égal";21;61
"prince";24;18
"moderne";29;39
"éviter";73;208
"boîte";71;28
"nuit";75;77
"lire";213;409
"avance";75;69
"nécessiter";5;15
"amoureux";31;7
"emji_étoile_brillante";84;22
"emji_coeur_jaune";23;10
"péjoratif";38;2
"préférer";209;201
"aborder";6;21
"titre";48;123
"éloquence";28;0
"propagande";17;7
"info";65;206
"supposer";24;28
"banaliser";9;19
"compliqué";46;111
"standard";16;16
"beauté";158;27
"fil";23;21
"impression";96;84
"policier";34;266
"violet";11;3
"bonjour";126;73
"marché";36;142
"ooh";8;6
"souffrir";50;64
"co";27;32
"confirmer";50;76
"math";8;5
"peine";94;187
"emji_femme_qui_hausse_les_épaules";45;50
"note";24;24
"professeur";69;16
"ennuyeux";12;3
"enseignement";37;9
"ahhhh";10;3
"anglais";60;57
"italien";147;49
"uniquement";47;182
"allemand";76;157
"tourner";92;121
"caméra";59;37
"grace";5;10
"valeur";94;172
"moral";16;38
"ke";5;6
"fermer";84;137
"er";10;15
"limiter";24;61
"ct";17;0
"cliché";15;21
"emji_visage_nauséeux";94;1
"résumer";10;23
"saint";62;42
"mature";16;0
"ménage";47;68
"éduquer";80;55
"esclave";15;22
"tranquille";37;67
"vaisselle";18;2
"ambition";5;6
"vomir";16;19
"misogynie";9;7
"cuisine";48;17
"apparemment";48;86
"incapable";34;42
"aide";83;249
"évoluer";128;46
"régresser";17;5
"habitude";67;84
"inégalité";13;57
"obtenir";27;88
"égalité";34;226
"salarial";11;33
"tâche";41;29
"ménager";61;10
"expérience";66;57
"renouveler";4;7
"course";81;79
"lessive";8;6
"soin";58;133
"extérieur";31;26
"infirmier";13;27
"30ans";9;4
"gestion";15;41
"valoir";181;208
"congé";15;53
"mat";11;3
"aise";18;19
"sain";47;35
"misogyne";15;10
"révolu";19;1
"principe";36;107
"débat";41;155
"stérile";4;10
"compenser";6;29
"déplaire";18;26
"partisan";3;20
"fameux";67;72
"progrès";24;24
"catastrophe";38;53
"continuer";151;482
"mine";21;6
"guerre";147;618
"journal";36;32
"boulot";86;71
"répartir";4;9
"préjugé";9;9
"actuel";143;148
"familial";19;38
"conserver";15;9
"âge";252;100
"liberté";99;259
"humanité";78;180
"généralisé";9;7
"évoquer";17;19
"pape";7;5
"fait";26;163
"historique";23;61
"accord";299;558
"abandonner";36;32
"repas";47;32
"carrière";24;31
"cest";101;109
"désolant";3;7
"gauche";87;444
"trans";6;13
"évolution";63;25
"internet";101;68
"dégénérer";1;12
"retourner";85;101
"pote";61;43
"tenter";24;64
"extrême";40;273
"bobo";19;14
"raisonnement";34;53
"débattre";11;43
"ect";29;29
"fermeture";11;9
"occuper";104;214
"insultant";12;12
"désaccord";5;6
"morale";18;66
