"";"X.rts_a";"X.rts_i"
"roger";0,07;0
"chapeau";0,24;0,06
"artiste";0,13;0,23
"tennis";0,03;0,01
"éternité";0,04;0,01
"emji_coeur_vert";0,18;0,07
"we";0,1;0,01
"lover";0,07;0,03
"you";0,06;0,07
"magique";0,25;0,09
"réussite";0,03;0,13
"sympa";0,49;0,17
"emji_tête_à_l";0,27;0,21
"léger";0,11;0,04
"crier";0,15;0,22
"scandale";0,07;0,21
"direct";0,23;0,34
"tour";0,27;0,26
"chien";0,45;0,23
"mauvais";0,75;0,78
"singe";0,07;0,02
"recevoir";0,69;0,53
"amour";0,96;0,18
"quotidien";0,16;0,25
"cuisinier";0,03;0,01
"client";0,49;0,21
"demander";1,82;2,24
"pousser";0,19;0,31
"aberrant";0,04;0,08
"exprimer";0,74;0,28
"bêtement";0,03;0,03
"pauvre";1,23;1
"servir";0,77;1,12
"bière";0,1;0,03
"métier";0,58;0,41
"sacrifier";0,02;0,02
"déplacement";0,02;0,08
"foutre";0,64;0,76
"lier";0,15;0,38
"crever";0,12;0,14
"ohh";0,06;0,01
"emji_coeur_brisé";0,29;0,47
"numéro";0,07;0,12
"étonner";0,27;0,47
"maltraiter";0,09;0,07
"signature";0,01;0,08
"quitter";0,21;0,33
"inoubliable";0,1;0
"honteux";0,1;0,37
"cure";0,03;0,02
"emji_visage_qui_vomit";0,29;0,17
"politesse";0,03;0,03
"epoque";0,21;0,03
"emji_tête_de_fou";0,32;0,21
"beurre";0,07;0,06
"horrifier";0,01;0,03
"maman";0,52;0,15
"quantité";0,08;0,17
"sucre";0,1;0,05
"secret";0,15;0,11
"grand_mère";0,25;0,02
"émission";0,48;0,18
"emji_étoile";0,14;0,06
"emji_visage_qui_bave";0,03;0,01
"régal";0,06;0,02
"enfance";0,93;0,09
"famille";0,96;1,34
"mec";0,87;0,49
"mdrrrr";0,06;0,04
"emji_tête_de_chat";0,05;0,01
"tuer";0,63;1,25
"xd";0,07;0,02
"justement";0,49;0,97
"marier";0,4;0,16
"vendredi";0,11;0,03
"chiffre";0,13;0,62
"humilité";0,32;0,02
"daron";0,11;0,01
"voix";0,57;0,26
"répondre";0,9;0,76
"menace";0,05;0,2
"pertinent";0,12;0,18
"mdrrr";0,17;0,09
"simple";1,02;0,84
"efficace";0,1;0,17
"chanceux";0,07;0,02
"couille";0,13;0,04
"emji_drapeau_belgique";0,04;0
"patate";0,08;0,01
"pourri";0,2;0,1
"attentat";0,02;0,12
"banane";0,07;0,01
"emji_cerveau";0,02;0,02
"chou";0,4;0,1
