"";"";"";"";"emji_visage_souriant_avec_coeurs";""
"27";"bête";"-0.0471519295556937";"-0.367014053587692";"0.871908185590333";"137"
"28";"travail";"-0.444696194965335";"0.0804674072903501";"0.870952596095957";"138"
"29";"sexe";"-0.286460983814993";"-0.28043623709122";"0.870814023944696";"139"
"30";"errant";"-0.112124129863689";"-0.368732152359617";"0.868543369507141";"143"
"31";"carnivore";"-0.168337524528507";"-0.475035354347698";"0.867692749686321";"144"
"32";"loup";"-0.2076685040635";"-0.256388608198149";"0.867230537961271";"145"
"33";"faune";"-0.306481825148186";"-0.251960759078397";"0.866896238991232";"147"
"34";"protéine";"-0.190297531130626";"-0.204405610709026";"0.864754614007342";"152"
"35";"écrire";"-0.342084297597021";"-0.0649417452562719";"0.864279611006791";"154"
"36";"maladie";"-0.649737078099214";"0.0271695057440342";"0.864114136569754";"155"
"37";"chasse";"-0.0910406866427635";"-0.624003609901142";"0.86411068495573";"156"
"38";"bombarder";"-1.08313334723813";"2.58689146566697";"0.862737247128319";"160"
"39";"emji_visage_retenant_ses_larmes";"3.32402802704004";"1.23454293878438";"0.861747446047881";"165"
"40";"maltraitance";"-0.233601233856557";"-0.217115438845536";"0.861684403332912";"166"
"41";"raciste";"-0.464872416225807";"0.0887327965208366";"0.861406040813675";"167"
"42";"chasser";"-0.210706041773694";"-0.0148889151138798";"0.8606975462762";"171"
"43";"ville";"-0.560121808849299";"0.190564016565412";"0.860452887752728";"173"
"44";"penser";"-0.208114692195242";"-0.266877484410185";"0.860206909494481";"175"
"45";"célibataire";"-0.10451656706037";"-0.0506100038013985";"0.858555515220072";"177"
"46";"stériliser";"0.354829281521368";"-0.162990034671992";"0.858260199184893";"179"
"47";"fortune";"-0.757539496943222";"0.0657515277654673";"0.857984882207442";"180"
"48";"emji_visage_déçu";"0.229842898624194";"-0.242478033979284";"0.857914733228305";"182"
"49";"ukraine";"-0.849657572689537";"2.26864312854961";"0.857789662978962";"183"
"50";"gagner";"-0.587270335994138";"0.0123790171337906";"0.857408970255716";"186"
"51";"octobre";"-0.958349840517596";"2.08617968426911";"0.856271967988956";"189"
"52";"santé";"-0.499994999329103";"0.0668651561710863";"0.855966094075586";"192"
"53";"illégal";"-0.961020007700155";"1.98979573683947";"0.854701585126054";"194"
"54";"moyenne";"-0.738281807636423";"0.069365119286812";"0.85409054792573";"195"
"55";"prime";"-0.732762421512975";"0.192742222182061";"0.85401897769376";"196"
"56";"âge";"0.283486284103158";"-0.389695110666756";"0.853696962408924";"197"
"57";"loyer";"-0.796844307612672";"0.0668338606921346";"0.853145110237307";"200"
"58";"mois";"-0.564720073654898";"-0.0477692822588878";"0.853042780033299";"201"
"59";"assassiner";"-1.14834245198903";"2.91492017593622";"0.852599247631203";"204"
"60";"emploi";"-0.762793715773592";"0.0518865546769";"0.851888418178359";"208"
"61";"innocent";"-0.741193750025838";"1.96807479491695";"0.851544779546843";"209"
"62";"faim";"-0.30202705395924";"-0.223553212815871";"0.851325602056313";"210"
"63";"transport";"-0.769090125330243";"-0.0194985699253196";"0.851277279459976";"211"
"64";"milliard";"-0.777273527924939";"0.272844391672913";"0.851064091534958";"212"
"65";"racisme";"-0.477525420418591";"0.188099898027851";"0.85042584749468";"214"
"66";"emji_mains_en_prière_peau_moyennement_claire";"3.8380526516805";"1.50534588255732";"0.850251033396165";"215"
"67";"pacifique";"-0.946384031479859";"2.10332632776236";"0.849446401256314";"216"
"68";"réponse";"-0.19701266338629";"-0.0205238528368291";"0.849040836608483";"220"
"69";"triste";"0.0520932580657575";"-0.101046417904016";"0.84860095885653";"222"
"70";"massacrer";"-1.09414270031886";"2.69916456979839";"0.848172248091126";"223"
"71";"écosystème";"-0.390983237367725";"-0.188348722771132";"0.848080374247249";"224"
"72";"emji_renard";"3.80732453646127";"1.47994442912084";"0.847984033608753";"225"
"73";"sanction";"-0.985535933390402";"2.18611044843421";"0.847948400769858";"226"
"74";"drone";"-0.989112527895141";"2.11215958108428";"0.847685875067908";"228"
"75";"banque";"-0.751793853677832";"0.190159661304206";"0.847368428095751";"230"
"76";"franc";"-0.433647302650616";"-0.43685943274045";"0.847311273428234";"231"
