emji_visage_qui_rougit;21;1;8;16;1;53
connaissance;13;0;2;23;2;85
unique;6;0;3;91;0;22
taux;0;0;1;100;1;18
paraître;8;0;4;20;2;89
emji_visage_pensif;40;0;6;12;2;55
construire;3;5;21;43;3;49
art;10;1;12;48;2;41
vaud;10;0;0;102;0;6
remplir;18;2;10;55;2;33
objet;2;2;4;24;7;80
mari;30;0;1;8;0;79
boire;16;1;1;49;8;46
intelligence;22;0;2;3;3;90
futur;7;0;4;35;0;75
expérience;14;0;3;19;1;84
climat;1;0;2;73;0;41
pur;38;0;3;26;1;54
professionnel;7;0;4;62;1;47
notamment;2;2;17;55;1;44
minute;11;0;5;44;0;55
contrairement;3;1;17;31;2;66
combat;10;0;17;8;1;83
centre;2;0;4;69;4;36
avancer;5;0;7;18;0;88
méchant;2;0;10;8;1;91
