"";"";"";"";"htag_cinemafrancais";""
"83";"htag_ecologie";"-0.573234084134657";"-0.452194259827537";"0.831624667186618";"312"
"84";"votre";"0.666743987409141";"0.0837463227636388";"0.831131610323714";"313"
"85";"des";"0.205852044781699";"0.0897146628452538";"0.830214524558714";"314"
"86";"htag_cigarette";"0.725677728980322";"0.516056933440398";"0.829435494715327";"316"
"87";"htag_vin";"0.604383622492603";"1.21212223953591";"0.829435494715327";"317"
"88";"madame";"0.258223330448907";"-0.309018779472625";"0.829110077185811";"319"
"89";"monsieur";"0.461674153820245";"0.398834821232518";"0.828636742597424";"320"
"90";"htag_green";"-0.884586688845562";"-0.138613654746743";"0.828469103264036";"324"
"91";"htag_acteur";"-0.779028166825798";"-0.240105452286922";"0.828469103264036";"325"
"92";"devant";"0.336949450791927";"-0.23750632735366";"0.826772987655649";"329"
"93";"chaque";"0.0529811977124369";"0.546039939342001";"0.826772987655649";"330"
"94";"gare";"1.18776685081804";"-0.601768335070897";"0.826023541224036";"332"
"95";"point";"0.922614024158709";"0.282620426281385";"0.826023541224036";"333"
"96";"juste";"0.824960475361603";"0.515278708374817";"0.826023541224036";"334"
"97";"htag_stoptabac";"0.800990535244516";"0.411134488293474";"0.826023541224036";"335"
"98";"1993";"0.289449087748801";"-0.445252655878649";"0.826023541224036";"336"
"99";"faire";"0.485006858048105";"-0.231836702134426";"0.825619234596455";"337"
"100";"par";"0.0981841983106281";"0.130378943309051";"0.823627284870326";"339"
"101";"dès";"0.124118805592895";"0.282536388285861";"0.822937005262261";"340"
"102";"lui";"-0.0181826086989341";"0.280840130212886";"0.822907421850487";"341"
"103";"1979";"0.702437311865969";"1.2143633058694";"0.822887699575971";"343"
"104";"htag_vigne";"0.655437607459254";"1.24641285560809";"0.822887699575971";"344"
"105";"htag_velo";"0.993644810127875";"0.593968863250021";"0.822887699575971";"345"
"106";"htag_fribourgregion";"0.692884720668349";"1.19726896731464";"0.822887699575971";"346"
"107";"plusieurs";"-0.436079342579487";"0.265561122833189";"0.821753668791294";"347"
"108";"1986";"-0.338512569919673";"0.0539409526878799";"0.821753668791294";"348"
"109";"htag_football";"-0.32913397817509";"0.38557505092621";"0.8215170014971";"349"
"110";"htag_fromage";"0.300606105079528";"0.409565454814087";"0.8215170014971";"350"
"111";"tout";"0.482327132171444";"-0.261464972668779";"0.821477556948068";"351"
"112";"htag_piscine";"1.29914909373347";"-1.30473489872458";"0.821063389183229";"352"
"113";"1962";"1.07554828343556";"-0.434501298244149";"0.821063389183229";"353"
"114";"htag_courseapied";"1.26076615325075";"-1.07774528235786";"0.821063389183229";"354"
"115";"htag_tricot";"1.21734170057979";"-1.51773581357936";"0.821063389183229";"358"
"116";"htag_lifestyle";"1.09801023858891";"-0.689981478868805";"0.821063389183229";"359"
"117";"htag_knitting";"1.21734170057979";"-1.51773581357936";"0.821063389183229";"360"
"118";"htag_gym";"1.33909899392861";"-1.13116119858901";"0.821063389183229";"361"
