pourquoi;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0
or;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0
davantage;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0
aucune;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;1;1;0
aucun;0;0;2;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
65;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;2
31;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2
21;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1
tels;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;2;1;0;0
tard;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0
tant;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
sept;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2
presque;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1
m;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0
lorsqu;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
jamais;0;1;0;1;0;0;0;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0
hors;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1
falloir;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
beaucoup;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;1
au_dessus;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;1;0;0;0
alerte;0;0;0;0;1;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0
90;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1
80;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0
45;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
35;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0
2000;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1
150;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0
ça;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
votre;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
savoir;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;1;0;0;0
parfois;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
neuf;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
lorsque;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
jusqu_au;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1
huit;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
envers;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0
concernant;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
celle;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
66;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
41;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
34;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0
2028;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0
x;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
telles;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
suivant;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
quelque;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1
quand;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
puis;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
pourtant;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
là;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
laquelle;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
eux;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0
douze;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0
divers;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
ceux;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0
celui;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0
car;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1
58;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
44;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
38;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1
2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0
1000;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
tu;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
trop;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
te;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0
quoi;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
longtemps;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0
ensuite;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
différents;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1
dehors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
certain;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
celles;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0
autant;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
96;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0
64;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
