"";"";"";"";"htag_metier";""
"220";"htag_pompiers";"-0.444014656880549";"0.600722133704991";"0.805984954947508";"464"
"221";"htag_plage";"-0.444014656880549";"0.600722133704991";"0.805984954947508";"465"
"222";"htag_drague";"-0.438156896970242";"0.541409329457884";"0.805984954947508";"466"
"223";"certain";"-0.297276144773125";"-0.865911523937979";"0.805984954947508";"467"
"224";"1954";"-0.317967784490102";"-1.04641896442212";"0.805984954947508";"468"
"225";"htag_voyage";"0.731794918740199";"-0.0528941860527878";"0.805964288666612";"469"
"226";"htag_60s";"-0.244656882295148";"0.142385528503609";"0.805798958419443";"471"
"227";"htag_musique";"0.26987127655784";"0.104470390049452";"0.805736959576755";"472"
"228";"dont";"-0.360309651673283";"-0.392070972827842";"0.805736959576755";"473"
"229";"1974";"-0.412932448680625";"0.0687343190911381";"0.805364966520625";"475"
"230";"certains";"-0.426827339426647";"0.494116133632931";"0.805360833264446";"476"
"231";"htag_summertime";"-0.405636278172465";"-0.224078394966551";"0.805344300239729";"477"
"232";"htag_hopsuisse";"-0.344531889415821";"-0.880318398890258";"0.805278168140861";"478"
"233";"htag_fitness";"-0.470578761806268";"0.766822699236852";"0.805278168140861";"479"
"234";"htag_vih";"-0.470578761806268";"0.766822699236852";"0.805278168140861";"480"
"235";"htag_tricot";"-0.470578761806268";"0.766822699236852";"0.805278168140861";"481"
"236";"htag_fromage";"0.25978253827258";"0.160059505475504";"0.805249235347607";"482"
"237";"durant";"-0.401343118717914";"-0.345036580900134";"0.804654046457799";"484"
"238";"htag_myswitzerland";"0.513894114980031";"-0.0587316997227648";"0.80375299661073";"486"
"239";"htag_happybirthday";"0.519160269313654";"-0.0763436722244737";"0.80375299661073";"487"
