"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"sexualité";1,778;-0,942;-0,473;-0,428;-0,565;-0,317;-0,602;16,218;-1,234
"réaliser";-0,381;-1,132;0,497;-0,514;0,284;8,106;0,224;-1,089;-0,036
"règle";-0,19;-0,564;2,335;-0,257;-0,339;4,043;-0,36;0,755;-0,739
"revoir";10,433;0,066;-0,473;-0,428;0,539;-0,317;-0,602;0,086;-1,234
"retourner";-0,317;2,21;-0,473;-0,428;-0,565;-0,317;-0,602;0,086;1,302
"rentrer";-0,381;-1,132;-0,568;0,646;-0,679;-0,381;-0,723;21,536;-1,482
"remonter";-0,19;0,695;-0,283;-0,257;-0,339;-0,19;1,612;-0,543;0,351
"président";-0,381;11,725;-0,568;-0,514;-0,679;1,243;0,224;-1,089;-1,482
"professeur";-0,317;-0,942;-0,473;-0,428;-0,565;-0,317;-0,602;16,218;0
"preuve";-0,253;-0,753;1,37;9,842;-0,452;2,612;-0,481;-0,725;-0,987
"pousser";-0,317;0,066;-0,473;1,022;4,931;1,778;-0,602;-0,907;-1,234
"poser";-0,317;-0,942;0,827;1,022;0,539;-0,317;-0,602;0,086;0
"porte";-0,381;-1,132;-0,568;-0,514;-0,679;-0,381;0,224;21,536;-1,482
"plonger";-0,19;0,695;-0,283;-0,257;-0,339;4,043;1,612;-0,543;-0,739
"plage";-0,253;0,255;-0,378;-0,342;7,02;-0,253;-0,481;-0,725;0,07
"pierre";-0,317;-0,942;0,827;-0,428;0,539;1,778;-0,602;2,363;-1,234
"phénomène";-0,381;11,725;-0,568;0,646;-0,679;-0,381;-0,723;0,009;-1,482
"parole";-0,381;-1,132;-0,568;-0,514;-0,679;20,967;-0,723;5,602;-1,482
"paraître";-0,381;0,003;-0,568;-0,514;-0,679;1,243;3,232;1,513;-1,482
"paix";-0,317;-0,942;32,512;-0,428;-0,565;-0,317;0,454;-0,907;-1,234
