"";"X.rts_a";"X.rts_i"
"euh";0,9129;-0,9129
"écrire";0,4969;-0,4969
"peu";1,325;-1,325
"retard";1,0944;-1,0944
"rapport";-0,5476;0,5476
"ailleurs";-1,0935;1,0935
"fonction";-0,4779;0,4779
"principal";-0,2277;0,2277
"bidet";6,4051;-6,4051
"nettoyage";0,5301;-0,5301
"suite";2,2889;-2,2889
"principe";-1,7222;1,7222
"fruit";0,6666;-0,6666
"aliment";1,1076;-1,1076
"certaines";-0,4875;0,4875
"usage";-0,3974;0,3974
"toutes";1,6054;-1,6054
"alpe";0,6092;-0,6092
"petit";2,0336;-2,0336
"mémoire";0,9129;-0,9129
"étonnant";-0,8529;0,8529
"autorité";0,2468;-0,2468
"genevois";1,051;-1,051
"appel";-0,2681;0,2681
"leurs";-1,3028;1,3028
"collègue";1,7236;-1,7236
"fonds";0,6706;-0,6706
"gérer";-0,8841;0,8841
"camion";3,1072;-3,1072
"date";1,7938;-1,7938
"agenda";1,1076;-1,1076
"45";-0,3077;0,3077
"minute";1,651;-1,651
"150";0,2667;-0,2667
"gros";-0,5392;0,5392
"jeunesse";0,7302;-0,7302
"moment";-2,4642;2,4642
"logistique";-0,3383;0,3383
"hiver";-0,4;0,4
"ski";0,9223;-0,9223
"fond";1,5768;-1,5768
"voie";-1,5191;1,5191
"dos";0,4876;-0,4876
"station";0,5933;-0,5933
"hier";2,51;-2,51
"aéroport";-2,202;2,202
"36";0,4621;-0,4621
"galer";-0,4604;0,4604
"repartir";-0,2844;0,2844
"nettoyer";1,6468;-1,6468
"matin";-0,2277;0,2277
"haut";1,0529;-1,0529
"pression";-1,7024;1,7024
"marcher";0,8964;-0,8964
"emji_visage_qui_hurle_de_peur";2,6614;-2,6614
"clair";-0,4274;0,4274
"emji_pouce_vers_le_haut_peau_claire";-1,0461;1,0461
"sortir";-0,4336;0,4336
"dehors";0,4298;-0,4298
"polluer";-0,3578;0,3578
"gaspillage";-0,2146;0,2146
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";0,4632;-0,4632
"5g";-0,2292;0,2292
"vivement";0,5216;-0,5216
"durant";0,2945;-0,2945
"voter";-3,0451;3,0451
"référendum";-0,2292;0,2292
"moto";3,1072;-3,1072
"inverse";-0,3811;0,3811
"facile";0,2903;-0,2903
"appliquer";-1,6755;1,6755
"plutot";-0,2292;0,2292
"pleuvoir";0,3871;-0,3871
"éviter";-1,2514;1,2514
"matériel";0,6212;-0,6212
"ceux";-5,6012;5,6012
"adapter";-1,4343;1,4343
"barre";-0,6952;0,6952
"série";-0,3383;0,3383
"vive";0,3017;-0,3017
"discours";-0,5526;0,5526
"planète";1,3074;-1,3074
"sortie";-0,2478;0,2478
"siècle";0,5933;-0,5933
"emji_visage_sans_expression";-0,5883;0,5883
"chercher";0,3475;-0,3475
"retraité";-0,3647;0,3647
"commerce";-1,3296;1,3296
"équitable";-1,6583;1,6583
"prévoir";0,5201;-0,5201
"livre";0,4632;-0,4632
"arnaque";0,6092;-0,6092
"imaginer";-0,6814;0,6814
"aisé";-0,5883;0,5883
"objectif";-1,0105;1,0105
"nombre";-1,735;1,735
