devant;3;3;0;0;0;0;1;1;1;1;1;1;2;1;1;2;0;4;0;0;0;0
60;1;0;0;2;2;1;0;0;0;0;0;2;2;0;1;1;0;4;2;0;2;2
15;1;0;0;0;0;1;1;0;2;2;4;1;0;0;0;1;0;0;1;5;3;0
parmi;0;0;1;0;0;1;0;1;0;3;0;1;1;0;0;1;1;4;2;3;3;1
htag_vintage;0;1;0;1;8;2;3;0;3;1;0;0;6;0;1;0;0;0;0;0;0;0
100;0;1;0;1;0;0;1;0;4;1;1;2;0;1;2;1;1;1;2;2;1;1
pendant;0;0;0;0;0;2;2;0;2;1;0;2;2;0;0;2;0;3;1;1;0;2
e;1;0;1;1;1;0;0;1;0;0;0;0;2;0;0;0;0;1;0;2;3;2
12;1;1;1;0;0;1;0;0;0;3;1;1;0;0;0;2;1;2;0;3;1;0
11;0;0;2;0;0;1;0;1;2;0;4;1;0;1;3;4;0;0;0;3;0;0
vos;0;7;0;3;1;0;1;1;2;0;0;0;1;1;0;0;0;0;2;0;0;0
toutes;1;1;0;1;3;0;1;0;1;1;1;0;1;0;2;2;0;0;3;1;1;2
mon;1;3;0;0;1;1;3;0;0;0;0;0;2;0;0;0;1;3;3;0;0;0
jamais;0;1;1;1;2;2;3;0;0;0;1;0;1;1;1;0;1;1;1;2;0;0
htag_noel;0;9;0;5;0;0;2;0;3;0;0;0;1;0;0;0;0;2;0;0;0;0
htag_kids;0;0;0;6;4;2;2;0;1;0;0;0;3;0;0;0;0;1;0;0;0;0
force;0;0;0;0;1;0;2;1;1;0;4;2;0;0;0;3;7;1;0;0;0;0
tu;1;0;0;2;1;2;2;1;1;0;0;0;0;0;0;0;0;2;3;0;0;0
rien;0;1;1;4;3;2;2;0;2;0;0;1;3;0;0;0;0;1;0;0;0;0
moi;0;3;0;2;2;0;4;0;3;0;0;0;2;0;0;0;0;1;0;0;0;0
cependant;0;0;2;1;0;1;0;0;0;0;3;0;0;2;0;0;1;0;0;2;6;3
cela;1;2;0;1;1;1;2;0;0;0;0;0;3;0;0;0;0;0;1;2;5;2
7;0;0;1;1;0;0;0;3;4;0;0;2;0;1;2;0;1;0;0;3;1;0
25;0;0;1;0;0;1;0;0;0;2;1;1;1;1;1;0;2;2;2;3;1;0
18;1;0;0;0;0;0;1;0;0;0;0;3;0;2;1;0;0;0;1;5;2;2
vers;0;0;0;0;1;0;0;0;0;2;2;0;0;4;0;3;2;1;0;1;2;1
htag_retro;0;1;0;2;4;1;3;0;3;1;0;0;4;0;1;0;0;0;0;0;0;0
htag_eighties;0;1;0;1;6;1;1;0;1;0;0;0;5;0;0;0;0;0;1;0;0;0
13;0;0;1;0;0;0;0;0;1;1;0;2;0;1;3;1;2;0;1;1;1;2
htag_look;0;0;0;1;3;0;2;0;2;0;0;0;7;0;1;0;0;2;1;0;0;0
autour;1;0;1;0;1;1;0;0;1;0;2;1;0;0;0;0;2;1;0;3;0;1
70;0;1;1;0;2;0;1;1;0;0;0;0;2;1;1;0;0;4;0;3;1;0
22;1;0;1;0;0;0;1;1;1;1;1;0;0;3;1;0;2;0;4;0;0;2
1990;0;0;0;0;1;5;1;0;2;1;1;0;1;0;1;1;0;1;0;1;1;1
1970;0;0;0;1;3;0;0;2;2;0;0;0;1;0;2;0;0;2;1;1;1;1
14;0;0;2;1;0;1;0;1;0;2;0;0;0;0;4;0;1;0;1;1;1;1
via;0;0;0;0;0;1;0;0;0;4;0;0;0;1;0;0;0;0;9;1;1;1
monsieur;0;2;0;0;2;0;4;0;0;0;0;0;4;0;0;0;0;0;2;0;1;0
ici;0;0;1;0;0;1;2;0;0;1;1;0;2;2;1;0;0;0;0;1;0;3
htag_instafood;0;3;0;0;1;0;4;0;5;0;0;0;0;0;0;0;0;1;1;0;0;0
htag_geneve;0;0;0;1;2;0;2;0;2;1;0;0;1;0;0;1;0;1;1;0;0;0
htag_fashion;0;0;0;1;3;1;1;0;2;0;0;0;5;0;1;0;0;2;1;0;0;0
2023;0;1;0;0;0;1;0;0;1;0;1;1;0;3;0;1;1;0;0;7;0;2
2000;0;2;0;1;3;2;1;0;1;1;1;0;0;0;2;1;1;2;0;0;0;1
200;0;0;0;0;0;0;0;0;1;2;1;2;1;1;3;0;1;0;1;0;3;2
quel;1;1;0;0;2;1;0;0;2;0;0;0;1;0;1;0;0;5;1;0;0;0
htag_amour;0;0;0;1;3;0;7;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0
surtout;0;0;2;0;2;2;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
quelque;0;2;1;3;4;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;1
