"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
"*postDate_1-12-2024";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0752";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_39000";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postComments_481";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_29-11-2024";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0751";1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_13300";1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postComments_150";1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_27-11-2024";1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0750";1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_27300";1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postComments_317";1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_25-11-2024";1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0749";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postComments_60";1;1;0,299;1;1;1;1;1;1;0,218;0,424;0,017;1;1;1;1;1;1;1;0;0,066;1
"*postDate_24-11-2024";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0748";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_849";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_22-11-2024";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0747";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_20-11-2024";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0746";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"*postDate_18-11-2024";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"*a_0745";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_17-11-2024";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0744";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_584400";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postComments_14800";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_15-11-2024";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0743";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_7000";0,063;1;1;1;1;1;0,247;1;1;1;1;0,148;0,284;1;1;1;1;1;1;1;0,279;0,205
"*postComments_115";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_13-11-2024";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0742";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"*postLikes_383";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"*postDate_11-11-2024";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"*a_0741";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_10-11-2024";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0740";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
"*postLikes_2100";1;1;0,917;1;1;1;1;0,844;1;0,147;1;0,056;1;0,268;1;0,931;1;1;1;1;0,002;0,485
"*postDate_8-11-2024";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
"*a_0739";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_347";1;1;1;0,001;0,009;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_5-11-2024";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0738";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
