"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
"film";-0,714;-0,833;-0,833;-0,848;0,456;65,209;-1,29;0,112;-1,384;-0,7;-1,044;-0,999;-1,4;-0,878;55,232;-0,848;-0,999;-1,044;0,099;-1,197;-0,067;-1,167
"expliquer";-0,714;-0,833;-0,833;-0,848;-0,061;-0,878;-1,29;-0,759;-0,067;0,173;-1,044;-0,999;-1,4;1,732;0,002;-0,848;0,004;1,123;-0,774;-0,013;50,179;0,81
"course";2,207;-0,914;-0,914;0,017;-1,501;-0,963;-1,415;-0,832;56,906;0,103;-0,006;0,969;0,258;-0,963;-1,112;-0,93;-0,001;-0,006;-0,848;-1,313;-0,126;-0,034
"commencer";1,514;83,934;-1,076;-1,095;-1,766;-0,005;-0,206;4,865;0,081;-0,903;-1,348;-1,289;-1,807;0,858;-1,309;-1,095;-0,039;-0,058;-0,999;0,236;0,081;-1,506
"chiffre";-0,714;-0,833;1,947;-0,848;-1,368;0,036;-1,29;0,112;0,434;-0,7;-1,044;4,783;-1,4;1,732;-1,014;-0,848;-0,999;-1,044;-0,774;45,354;-1,384;0,81
"vin";-0,236;-0,275;-0,275;-0,28;0,843;-0,29;0,959;2,488;-0,457;-0,231;-0,345;-0,33;-0,462;1,97;9,355;-0,28;-0,33;1,457;-0,256;-0,395;-0,457;-0,385
"soleil";-0,406;-0,473;5,553;0,665;-0,777;0,608;0,154;-0,431;-0,786;-0,397;-0,593;-0,567;26,329;5,132;-0,576;-0,482;-0,567;-0,593;-0,439;-0,68;-0,786;-0,663
"seulement";0,38;0,212;-0,673;-0,685;-0,001;-0,709;-1,042;-0,613;-1,117;-0,565;-0,843;-0,806;-0,002;2,752;-0,819;0,196;2,131;-0,843;-0,625;5,178;9,107;0,016
"réduire";-0,543;-0,633;3,403;-0,644;-1,039;-0,667;-0,98;-0,576;-1,051;0,494;2,221;-0,758;-1,063;0,223;-0,77;-0,644;-0,758;-0,793;-0,588;12,416;10,073;1,752
"politique";-0,784;-0,914;-0,914;0,017;-1,501;-0,963;-1,415;-0,832;-1,518;2,304;8,471;102,502;-1,535;-0,963;-0,002;-0,93;-1,095;-0,006;-0,848;0,526;-1,518;-0,034
