"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"burqa";4,332;-0,312;-1,233;-0,159;-0,323;12,635;-1,509;-0,301;4,764;-1,6
"brûlant";-0,054;-0,364;3,301;-0,186;1,219;-0,307;-0,147;-0,351;-0,185;-0,193
"brevet";-1,284;-0,312;-1,233;-0,159;1,657;-0,264;14,947;-0,301;-0,158;-1,6
"brandir";32,722;-0,364;-1,438;-0,186;-0,377;-0,307;-1,761;-0,351;-0,185;-1,867
"bouquin";-1,498;-0,364;-1,438;-0,186;-0,377;1,765;-1,761;-0,351;-0,185;17,612
"boisson";-1,498;-0,364;0,659;-0,186;39,149;-0,307;-1,761;-0,351;-0,185;-0,193
"bodycams";-1,07;-0,26;0,031;-0,133;-0,269;-0,22;-1,258;-0,251;-0,132;10,454
"blocage";9,941;-0,312;-0,001;-0,159;-0,323;-0,264;-1,509;-0,301;-0,158;-0,069
"biden";13,96;-0,364;-1,438;-0,186;1,219;-0,307;-1,761;-0,351;3,839;-1,867
"bibliothèque";-1,498;1,299;-0,038;-0,186;1,219;-0,307;-0,147;-0,351;-0,185;2,002
"biaiser";7,531;-0,364;-1,438;-0,186;-0,377;-0,307;-1,761;-0,351;3,839;0,238
"berger";-1,284;-0,312;-0,001;-0,159;1,657;-0,264;0,655;-0,301;-0,158;0,544
"barème";-0,054;-0,364;-1,438;3,805;-0,377;-0,307;5,985;-0,351;-0,185;-0,193
"baiser";-1,498;-0,364;-0,038;-0,186;-0,377;10,315;5,985;-0,351;-0,185;-1,867
"aveugler";0,578;-0,364;-1,438;-0,186;-0,377;-0,307;-1,761;-0,351;45,394;0,238
"avancée";-1,498;1,299;-1,438;-0,186;-0,377;-0,307;-0,147;-0,351;-0,185;10,689
"automatique";-0,054;-0,364;-1,438;3,805;1,219;-0,307;2,259;-0,351;-0,185;-0,193
"autochtone";3,07;-0,364;-1,438;-0,186;-0,377;1,765;-0,147;-0,351;3,839;-0,193
"audace";-1,498;1,299;0,659;-0,186;1,219;1,765;-0,147;-0,351;3,839;-1,867
"assimiler";-0,054;-0,364;-0,038;-0,186;-0,377;-0,307;-0,147;-0,351;-0,185;5,486
"architecture";-1,498;-0,364;-1,438;3,805;-0,377;-0,307;11,491;1,392;-0,185;-1,867
"apprenti";-1,284;-0,312;-1,233;-0,159;1,657;-0,264;8,106;1,866;-0,158;-1,6
"apparence";-1,498;-0,364;-1,438;-0,186;-0,377;1,765;-1,761;-0,351;-0,185;17,612
"apercevoir";-1,284;-0,312;-0,001;-0,159;-0,323;-0,264;14,947;-0,301;-0,158;-1,6
"antiquité";-0,054;-0,364;23,358;-0,186;-0,377;-0,307;-1,761;-0,351;-0,185;-1,867
"anticipé";-1,498;-0,364;-1,438;-0,186;1,219;-0,307;-1,761;100,86;-0,185;-1,867
"anarchiste";13,4;-0,26;-1,027;-0,133;-0,269;-0,22;-1,258;-0,251;-0,132;-0,003
"amoureux";-0,054;1,299;-1,438;-0,186;-0,377;1,765;0,313;-0,351;-0,185;0,238
"amont";-1,284;-0,312;-1,233;-0,159;1,657;-0,264;14,947;-0,301;-0,158;-1,6
"ambulance";0,578;-0,364;-1,438;-0,186;-0,377;-0,307;-1,761;-0,351;3,839;5,486
"amalgame";7,531;-0,364;-1,438;-0,186;-0,377;-0,307;0,313;-0,351;-0,185;-0,193
"aléatoire";-0,054;-0,364;-1,438;3,805;20,605;-0,307;-0,147;-0,351;-0,185;-0,193
"alliance";13,96;-0,364;-0,038;-0,186;-0,377;-0,307;-1,761;-0,351;-0,185;-0,193
"allergie";-1,498;-0,364;-1,438;-0,186;63,594;-0,307;0,313;-0,351;-0,185;-1,867
"aller_retour";-1,498;-0,364;3,301;3,805;-0,377;1,765;-0,147;1,392;-0,185;-1,867
"alarme";-1,498;-0,364;3,301;-0,186;1,219;-0,307;2,259;-0,351;-0,185;-1,867
"ajd";-1,284;-0,312;-1,233;-0,159;1,657;12,635;0,655;-0,301;4,764;-1,6
"aire";-1,284;-0,312;1,127;-0,159;-0,323;2,312;-0,044;-0,301;-0,158;0,544
"aile";-1,498;-0,364;0,659;-0,186;-0,377;-0,307;-0,147;-0,351;3,839;2,002
"ahh";-1,498;-0,364;-0,038;-0,186;-0,377;-0,307;-0,147;1,392;3,839;2,002
"agrandir";-1,284;-0,312;-1,233;-0,159;-0,323;-0,264;23,863;-0,301;-0,158;-1,6
"agissement";32,722;-0,364;-1,438;-0,186;-0,377;-0,307;-1,761;-0,351;-0,185;-1,867
"affilier";-0,004;-0,312;-0,001;-0,159;-0,323;-0,264;-0,044;-0,301;-0,158;3,025
"adoption";-0,004;-0,312;-0,001;-0,159;1,657;-0,264;0,655;-0,301;-0,158;-0,069
"admirer";-1,498;8,311;-0,038;-0,186;-0,377;-0,307;-1,761;-0,351;-0,185;5,486
"adjectif";-1,498;-0,364;-1,438;-0,186;-0,377;-0,307;-1,761;-0,351;-0,185;26,253
"addictions";-1,498;-0,364;-1,438;-0,186;-0,377;1,765;11,491;-0,351;-0,185;-0,193
"acide";-1,284;-0,312;-1,233;-0,159;9,875;58,101;-1,509;-0,301;-0,158;-1,6
"accueillant";-0,054;1,299;0,659;-0,186;-0,377;-0,307;-0,147;-0,351;-0,185;0,238
"accentuer";-0,054;-0,364;-1,438;-0,186;7,962;1,765;-0,147;-0,351;-0,185;0,238
"absorber";-1,284;-0,312;-1,233;4,724;46,962;-0,264;-0,044;-0,301;-0,158;-1,6
"abriter";1,02;-0,312;-1,233;-0,159;-0,323;-0,264;3,343;1,866;-0,158;-1,6
"abord";-0,054;-0,364;-0,038;18,77;-0,377;-0,307;0,313;1,392;-0,185;-1,867
"abject";3,07;-0,364;-1,438;-0,186;-0,377;1,765;-1,761;-0,351;-0,185;2,002
"4x";-0,054;-0,364;-1,438;18,77;-0,377;-0,307;5,985;-0,351;-0,185;-1,867
"4k";3,07;1,299;-0,038;-0,186;-0,377;-0,307;-1,761;1,392;-0,185;-0,193
"3a";-1,498;-0,364;-1,438;-0,186;-0,377;-0,307;27,841;-0,351;-0,185;-1,867
"évènement";1,02;-0,312;-0,001;-0,159;-0,323;-0,264;-0,044;10,762;-0,158;-1,6
"éveiller";1,724;-0,26;0,031;-0,133;-0,269;3,096;0;-0,251;-0,132;-1,334
"évasion";-1,284;-0,312;-1,233;-0,159;-0,323;-0,264;23,863;-0,301;-0,158;-1,6
"épuisant";-0,856;-0,208;3,074;-0,106;-0,215;-0,176;2,228;-0,201;-0,105;-1,067
"épaule";-1,284;-0,312;-0,001;-0,159;-0,323;-0,264;-1,509;-0,301;4,764;7,512
"émirat";28,047;-0,312;-1,233;-0,159;-0,323;-0,264;-1,509;-0,301;-0,158;-1,6
"éliminatoire";0,51;-0,156;-0,616;-0,08;-0,161;-0,132;4,053;-0,15;-0,079;-0,8
"écrivain";-0,642;-0,156;0,563;-0,08;-0,161;-0,132;-0,754;-0,15;-0,079;3,756
"écharpe";-1,284;-0,312;-0,001;-0,159;46,962;-0,264;-1,509;-0,301;-0,158;-0,069
"ânerie";-0,004;1,753;1,127;-0,159;-0,323;-0,264;-0,044;-0,301;-0,158;-0,069
"zombie";-1,07;-0,26;1,865;6,021;-0,269;-0,22;1,234;-0,251;-0,132;-1,334
"yo";0,15;-0,208;0,179;-0,106;16,65;-0,176;-1,006;-0,201;-0,105;-1,067
"yann";-1,07;2,41;1,865;-0,133;-0,269;3,096;-1,258;-0,251;-0,132;-0,003
"weekend";-1,07;-0,26;0,031;-0,133;-0,269;-0,22;0;-0,251;-0,132;4,564
"web";0,019;-0,26;0,031;-0,133;2,291;3,096;0;-0,251;-0,132;-1,334
"watch";6,185;-0,26;-1,027;-0,133;2,291;-0,22;-1,258;-0,251;-0,132;-0,003
"wait";-0,004;-0,312;1,127;-0,159;-0,323;-0,264;0,655;-0,301;-0,158;-0,069
"véhiculer";-1,284;-0,312;-1,233;-0,159;1,657;-0,264;-0,044;-0,301;22,687;0,544
"vulgaire";-1,284;-0,312;-0,001;-0,159;-0,323;58,101;-1,509;-0,301;-0,158;-0,069
"vss";-1,284;-0,312;-0,001;-0,159;-0,323;31,231;-0,044;-0,301;-0,158;-0,069
"vivable";-1,284;-0,312;1,127;-0,159;9,875;-0,264;0,655;-0,301;-0,158;-1,6
"visiteur";-1,284;-0,312;1,127;-0,159;24,976;2,312;-1,509;-0,301;-0,158;-1,6
"violenter";-0,004;-0,312;-1,233;-0,159;-0,323;12,635;-0,044;-0,301;-0,158;0,544
"vieillard";17,846;-0,312;-1,233;-0,159;-0,323;-0,264;-1,509;-0,301;-0,158;-0,069
"vevey";-1,284;-0,312;18,657;-0,159;-0,323;-0,264;-1,509;1,866;-0,158;-1,6
"veto";9,941;-0,312;-0,001;-0,159;-0,323;2,312;-1,509;-0,301;-0,158;-1,6
"vermelho";17,846;-0,312;-1,233;-0,159;-0,323;-0,264;-0,044;-0,301;-0,158;-1,6
"veiller";6,185;-0,26;0,031;-0,133;-0,269;-0,22;-1,258;-0,251;6,069;-1,334
"vecu";-1,284;-0,312;18,657;-0,159;-0,323;-0,264;-0,044;-0,301;-0,158;-1,6
"vape";-1,284;-0,312;-0,001;-0,159;1,657;-0,264;0,655;-0,301;-0,158;0,544
