"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
"htag_enfants";-0,445;0,419;-0,592;-0,508;2,011;0,016;-0,403;-0,445;-0,852;0,471;-0,764;-0,614;15,172;-0,487;-0,985;-0,403;0,196;-0,83;0,17;5,299;-0,918;-0,614
"dès";-0,316;-0,406;-0,421;-0,361;-0,605;-0,684;-0,286;-0,316;3,938;1,124;-0,543;6,471;-0,574;-0,346;0,211;1,996;0,647;-0,589;-0,512;3,08;-0,652;-0,436
"chaque";2,035;-0,365;-0,378;-0,324;-0,544;-0,615;-0,257;2,035;-0,544;-0,351;0,687;7,557;0,595;1,745;-0,629;-0,257;-0,446;-0,53;-0,46;-0,629;-0,586;7,557
"50";3,06;2,083;-0,293;-0,251;-0,422;-0,477;-0,2;-0,22;-0,422;-0,272;-0,378;-0,304;-0,4;-0,241;0,717;-0,2;-0,346;-0,411;-0,357;-0,488;6,316;10,694
"2000";-0,316;-0,406;-0,421;-0,361;0,364;0,232;-0,286;-0,316;-0,605;1,124;0,508;0,887;-0,574;1,429;-0,7;-0,286;-0,497;-0,589;-0,512;3,08;0,279;0,887
"1987";-0,348;6,207;-0,463;-0,397;0,251;2,655;-0,316;-0,348;-0,667;-0,43;0,372;-0,48;0,307;-0,381;-0,771;-0,316;-0,547;10,202;-0,564;-0,771;-0,718;0,698
"1972";-0,412;-0,529;-0,549;-0,471;-0,79;-0,893;-0,374;0,985;0,106;5,053;-0,709;0,427;-0,749;-0,451;0,033;-0,374;-0,648;2,493;3,236;1,747;-0,851;0,427
"toutes";-0,252;-0,324;-0,336;-0,288;-0,483;-0,546;-0,228;-0,252;0,718;-0,312;-0,433;1,437;6,156;-0,276;0,489;-0,228;1,114;0,765;-0,409;-0,558;0,594;-0,348
"htag_voiture";8,758;-0,447;-0,463;-0,397;-0,667;-0,753;-0,316;-0,348;-0,667;6,551;-0,598;5,589;3,623;-0,381;-0,771;-0,316;-0,547;0,278;-0,564;-0,771;2,898;-0,48
"htag_vaud";-0,412;-0,529;12,616;15,401;-0,79;-0,893;-0,374;-0,412;-0,79;-0,51;2,912;0,427;-0,749;-0,451;0,033;-0,374;-0,648;-0,77;0,241;0,033;0,063;-0,569
"htag_sport";-0,157;-0,201;-0,209;-0,179;-0,3;-0,34;-0,142;-0,157;-0,3;-0,194;2,322;-0,216;-0,285;-0,172;-0,347;5,609;-0,247;-0,293;-0,254;-0,347;1,727;16,403
"htag_seventies";-0,284;1,301;-0,378;-0,324;-0,544;-0,615;-0,257;-0,284;0,515;1,398;-0,488;-0,392;-0,516;1,745;3,751;-0,257;0,849;-0,53;0,791;0,327;-0,586;-0,392
"htag_insolite";-0,189;-0,242;-0,251;-0,215;-0,361;1,094;-0,171;-0,189;-0,361;36,301;1,683;-0,26;-0,342;-0,206;-0,418;-0,171;1,956;-0,352;-0,306;-0,418;-0,389;-0,26
