"";"";"";"";"18h45";""
"331";"cuisine";"-0.157374131404978";"0.632366757145895";"0.836778407497805";"547"
"332";"esprit";"0.142341014718463";"0.252694386997092";"0.836461555668936";"548"
"333";"adepte";"0.715410931099949";"0.395797311722581";"0.836461555668936";"549"
"334";"sentir";"0.536191092628175";"0.392642607744675";"0.836306500518638";"551"
"335";"couper";"-0.905050336651725";"0.413528755324836";"0.836222231415215";"552"
"336";"programme";"0.623141323150629";"0.726761443556281";"0.836222231415215";"553"
"337";"moyen";"0.553570093007296";"0.542513678089232";"0.836222231415215";"554"
"338";"scolaire";"0.626457545141506";"1.04438938518649";"0.836222231415215";"555"
"339";"arriver";"-1.13131090000153";"-0.0849592770558377";"0.834637972270869";"557"
"340";"paix";"0.369486599153306";"0.704667304968914";"0.83414584070688";"559"
"341";"oeuvre";"0.136432626651103";"0.744720252997868";"0.83414584070688";"560"
"342";"surf";"0.478602189182081";"0.707337073659957";"0.83414584070688";"561"
"343";"ranger";"0.510510690887099";"1.04828491296233";"0.83414584070688";"562"
"344";"vent";"0.41068066926831";"0.216487783285734";"0.83414584070688";"563"
"345";"moderne";"0.390361937544465";"-0.157375093036985";"0.83414584070688";"564"
"346";"dessiner";"0.41068066926831";"0.216487783285734";"0.83414584070688";"565"
"347";"bout";"0.0885819940993084";"0.593224524253413";"0.83414584070688";"566"
"348";"transporter";"0.790673730142632";"0.85769746388817";"0.83414584070688";"567"
"349";"répondre";"0.639330548411248";"0.299280507225999";"0.83414584070688";"568"
"350";"dormir";"0.659402656466155";"0.505583995366717";"0.83414584070688";"570"
"351";"condition";"0.733195164598082";"0.33614936258452";"0.83414584070688";"571"
"352";"capillaire";"-1.77762771018329";"0.155876753703873";"0.83414584070688";"572"
"353";"article";"0.762154516364518";"0.63343981235111";"0.83414584070688";"573"
