"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
"romands";1;1;1;1;0,397;1;1;1;0,397;0,186;0,337;1;1;1;1;1;1;0,382;0,306;0,032;1;1
"recette";1;1;1;0,203;1;0,552;1;1;1;1;1;1;1;1;1;0,122;0,012;0;1;1;1;0,288
"prix";1;1;1;1;1;0,207;1;1;1;1;1;0,073;1;1;1;0,018;1;0,153;1;1;0,189;1
"permettre";0,002;0,007;0,327;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,597;1
"nuit";1;1;1;1;0,318;1;1;1;0;1;0,265;1;1;1;1;1;1;1;1;1;1;1
"nature";1;0,149;0,161;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,007;0,239;0,397;1;0,174
"mort";1;1;1;1;1;1;0,195;0,236;0,069;1;1;0,403;1;1;0,72;1;1;0,598;1;0;1;1
"montagne";1;1;1;0;1;0,015;1;1;1;1;1;1;0,292;1;0,397;1;1;1;1;1;1;0,174
"liberté";0,002;1;1;1;1;1;0,158;1;0,047;1;1;0,346;1;1;0,002;0,158;1;1;1;1;1;1
"international";1;0,254;0,271;1;1;1;1;1;1;0;0,407;1;0,44;1;1;1;1;1;1;1;0,521;1
"hiver";1;1;0,271;0,203;0,473;0,552;1;1;0,473;1;0,018;1;1;1;1;1;0,357;1;1;0,567;1;1
"fribourg";1;1;1;1;1;1;1;1;1;1;0,069;1;1;1;1;1;1;0,086;1;0,13;1;0,035
"football";1;1;1;1;0,037;1;1;1;0,037;1;1;1;1;1;1;1;1;1;1;1;1;0,011
"florilège";1;0,001;1;1;1;1;0,061;1;1;1;1;1;1;1;0,397;1;1;1;1;0,397;0,012;1
"film";1;1;0;1;1;1;1;1;1;1;1;0,073;1;1;1;1;1;1;1;1;0,001;1
"esprit";1;1;0,005;1;1;0,001;1;0,154;1;1;1;1;1;1;0,567;1;1;1;0,374;1;1;0,288
"drôle";1;1;1;1;0,239;1;1;1;1;1;1;1;1;1;1;1;1;1;0,173;0,307;0,273;0
"difficile";1;1;1;1;1;1;1;1;1;0,186;1;1;1;0;1;1;1;1;1;0,484;1;1
"cuisine";1;0,308;1;1;1;1;0,158;0,194;0,001;1;1;1;1;1;0,646;1;0,421;0,529;1;1;1;0,346
"créer";1;0,149;1;0,113;1;1;1;1;1;1;1;1;1;1;0,397;1;1;1;1;1;0;0,174
"coup";1;1;1;1;1;1;1;0,05;0,003;1;1;0,121;0,217;1;1;1;0,162;1;1;1;1;1
"chance";1;1;1;1;1;1;0;1;0,318;0,137;1;1;1;1;1;1;0,226;1;1;1;1;1
"bonheur";1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0,503;1;1;1
"attendre";1;1;1;1;1;0,703;1;1;1;0,341;1;0,018;0,057;0,278;0,111;1;1;1;1;0,111;1;1
