"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14"
"justice";-4,166;-23,109;-1,308;0,559;-0,59;0,475;-22,876;0,302;-0,338;-9,785;0,399;0,172;4,797;94,055
"fin";-13,858;-19,995;-1,385;-4,603;-0,657;-0,074;-3,95;4,49;94,034;9,062;-0,916;-3,632;-7,046;6,992
"respecter";-15,185;-24,691;-2,943;67,386;0,132;-0,688;3,202;1,431;-3,137;-8,113;-7,919;-0,13;-1,481;67,569
"santé";-13,19;-22,716;-2,954;-2,135;-1,685;-2,121;6,518;-8,006;-15,331;624,351;-0,107;-0,878;-9,592;-29,227
"situation";-15,521;-25,285;-3,009;4,571;-1,742;3,51;-6,016;-5,305;-11,166;-1,55;-3,485;77,087;103,368;-0,238
"protéger";-15,353;-24,988;-2,976;230,663;-1,708;22,777;-1,504;-0,077;-5,029;-7,171;-4,106;-0,462;5,97;-0,371
"justement";-15,577;-23,306;0;0,025;-3,495;0,002;-6,097;-0,375;-0,685;-0,044;4,138;4,239;124,399;-4,695
"emji_visage_roulant_des_yeux";-13,674;307,715;-2,651;-0,706;0,33;-15,503;-1,11;-0,6;0;-1,239;-0,758;-4,286;-1,344;-7,203
"seulement";-15,353;-6,019;0,403;1,802;0,792;-0,078;23,59;-2,906;-4,122;-0,121;10,015;-0,014;0,031;-0,371
"rapport";-14,961;-10,307;0,472;-1,254;-3,357;5,362;-7,207;-6,243;111,021;-0,187;-0,054;5,074;-0,531;-0,696
"frontalier";-14,065;-11,815;-2,726;-10,811;-0,003;-23,749;5,256;-5,53;-3,564;129,302;296,253;-5,927;-22,39;-32,663
"appeler";-10,849;-6,363;-0,242;2,267;-0,494;-3,733;-3,373;6,1;0,005;-4,424;-3,484;-0,705;47,453;12,778
"augmenter";-14,233;-17,111;-1,1;-9,107;-1,481;-20,14;5,847;-8,834;-17,118;793,946;0,206;-2,523;-10,669;-22,932
"école";-14,401;-25,47;-2,792;-9,256;25,046;323,933;2,34;-2,322;-13,944;18,881;-9,225;-1,085;-9,58;-12,183
"extrême";-14,177;-10,514;-1,09;-0,434;-3,181;-5,636;-16,702;1654,069;-17,022;-17,095;-5,439;-2,488;-6,806;-0,84
"mot";-12,133;-10,514;-2,748;-4,528;11,274;0,606;-20,205;1,42;138,224;-13,646;-14,776;1,805;1,568;9,826
"normal";-14,457;-12,44;0,573;-0,186;4,662;-0,623;3,646;-2,356;-2,439;142,907;1,025;-1,111;-0,97;-12,297
