"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17"
"lieu";0,118;0,251;1;1;1;1;0,463;1;1;1;0,67;0,01;0,081;1;1;1;1
"effet";1;0,104;1;1;1;1;1;0,191;0;0,097;0,312;1;1;1;1;0,001;1
"créer";1;1;0,323;1;0,928;1;1;0,919;0,075;0,735;1;1;1;0;0,352;0,236;1
"christophe";0,331;1;1;1;0;1;0,34;0,817;1;1;1;1;1;1;0;1;1
"centre";1;1;1;0,59;0,271;0,972;1;0,497;1;1;1;0,241;0,289;1;1;0,339;0,33
"toucher";1;0,012;1;0,058;1;0,097;0,407;0,983;1;1;1;1;0,241;1;0,948;1;1
"samedi";0,283;1;0,79;1;1;1;0,015;0,952;1;1;0,569;1;0;1;1;0,665;1
"pexels";1;0;1;1;1;0,864;1;1;0,001;0;1;1;1;1;1;1;1
"montrer";1;0,015;1;1;1;1;1;1;0,002;1;1;1;0;0,905;0,124;1;0,307
"donald";0,473;1;0,001;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"mercredi";0,186;1;0,633;1;1;1;0,275;0,008;1;1;0,002;1;1;0,712;1;1;0,181
"israélien";1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"autorité";0,805;1;0,162;1;1;0,121;1;1;0,972;1;1;1;0;1;1;0,105;1
"région";1;0,374;0,266;0,817;1;1;0,066;0,852;1;1;0,468;0,023;1;1;1;1;0,672
"animal";1;0,164;1;1;1;0;1;1;0,125;1;1;1;1;0,111;0,565;0,829;1
"nombreux";1;0,001;1;0,247;1;1;1;1;1;1;0,525;0,051;1;0,661;0,095;1;0,574
"début";1;1;0,713;0,408;1;0,815;1;0,354;1;1;0,032;1;0,177;1;1;0,592;0,704
"événement";1;1;1;0,979;1;1;1;0;1;1;0;0;0,241;0,874;1;1;1
"record";1;1;1;1;1;1;1;1;1;1;0;0,589;1;0,068;1;0,037;1
"nuit";1;1;0,936;1;1;1;0;1;1;1;0,745;0,228;0,054;0,504;1;1;1
"beutler";1;0,15;1;1;0,807;1;1;1;1;1;1;1;1;1;0;0,182;0,449
"bally";1;0,251;1;1;1;1;1;1;0,002;0,01;1;1;1;1;0;0,105;1
"accord";1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0,872;0
"trouver";1;0,003;0,633;1;1;0,048;0,056;1;0,748;1;0,979;1;1;1;1;0,519;1
"succès";1;1;1;1;1;1;0,565;1;1;0,442;0,005;1;1;0;0,565;0,829;1
"htag_sportxinfo";1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0,786;1
"gaetan";1;0,251;1;1;1;1;1;1;0,002;0,01;1;1;1;1;0;0,105;1
"estimer";1;0,014;1;0,059;1;1;0,662;0,702;1;1;1;1;1;1;0,012;0,22;1
"appeler";1;0,037;0,243;1;1;0,18;1;0,001;1;0,002;1;1;0,392;1;1;1;0,969
"ancien";0;1;1;1;1;1;1;0;1;0,826;0,242;0,602;1;1;1;1;0,009
"sport";1;0,968;1;1;1;1;1;1;1;1;0;1;1;1;1;0,741;1
"résultat";1;0,05;1;1;0,785;1;1;1;0,042;0,001;1;1;1;0,995;1;0,016;1
"important";1;0,277;1;0,022;1;1;1;1;0,456;1;0,081;1;0,093;1;1;1;0,353
"etat";0,006;1;0,001;0,774;0,802;1;1;0,001;1;1;1;1;1;1;1;1;1
"cours";0,133;0,004;1;1;1;0,135;1;1;1;0,885;1;1;0,019;1;0,154;1;0,885
"agir";0,222;1;1;0,168;0,446;1;0,633;0,072;1;0,474;1;0,828;1;1;1;0,975;1
"victoire";1;1;1;1;1;1;1;0,251;1;1;0;1;1;1;1;1;0,162
"plan";1;0,599;0;0,599;0,233;1;0,64;0,672;1;1;1;1;1;1;1;1;0,113
"mener";0,841;0,091;0,939;1;1;1;1;1;0,456;0,001;0,288;1;0,019;1;0,491;0,807;1
"vaudois";0,165;1;1;1;0;1;1;0;1;1;1;1;1;1;1;0,029;1
"saison";1;1;1;0,074;1;0,746;0,137;1;1;1;0,001;0,207;1;1;1;0,268;1
"raison";0,149;0,104;0,975;0,303;1;1;1;1;1;0,913;1;0,701;0,003;1;1;1;1
